subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
100,1501257294838370,1501257831251869,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257294853744,1501257831267245,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257294870369,1501257831283872,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257294887035,1501257831300540,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257294903743,1501257831317251,All_of_Extend_trial_5,1,0.3064616,0.8092079,0,NaN,NaN
100,1501257294920368,1501257831333878,All_of_Extend_trial_5,0,NaN,NaN,1,0.4373905,0.5087966
100,1501257294936994,1501257831350506,All_of_Extend_trial_5,0,NaN,NaN,1,0.4855143,0.5697587
100,1501257294953619,1501257831367133,All_of_Extend_trial_5,1,0.4667036,0.3590824,0,NaN,NaN
100,1501257294970370,1501257831383886,All_of_Extend_trial_5,1,0.4771345,0.3980897,0,NaN,NaN
100,1501257294986995,1501257831400513,All_of_Extend_trial_5,1,0.5113209,0.4977928,0,NaN,NaN
100,1501257295003620,1501257831417140,All_of_Extend_trial_5,1,0.4591081,0.3655405,0,NaN,NaN
100,1501257295020244,1501257831433766,All_of_Extend_trial_5,1,0.4780177,0.3807978,0,NaN,NaN
100,1501257295036870,1501257831450394,All_of_Extend_trial_5,1,0.4679192,0.3791104,0,NaN,NaN
100,1501257295053620,1501257831467146,All_of_Extend_trial_5,1,0.4866516,0.4243311,0,NaN,NaN
100,1501257295070242,1501257831483771,All_of_Extend_trial_5,1,0.460735,0.3584444,0,NaN,NaN
100,1501257295086868,1501257831500399,All_of_Extend_trial_5,1,0.4651755,0.2834781,0,NaN,NaN
100,1501257295103493,1501257831517026,All_of_Extend_trial_5,1,0.4524817,0.300069,0,NaN,NaN
100,1501257295120132,1501257831533667,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295136798,1501257831550335,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295153524,1501257831567063,All_of_Extend_trial_5,1,0.4589405,0.3720911,0,NaN,NaN
100,1501257295170162,1501257831583703,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295186777,1501257831600320,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295203397,1501257831616942,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295220162,1501257831633709,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295236772,1501257831650322,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295253403,1501257831666955,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295270021,1501257831683575,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295286775,1501257831700331,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295303401,1501257831716959,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295320026,1501257831733586,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295336651,1501257831750213,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295353277,1501257831766841,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295370027,1501257831783593,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295386652,1501257831800220,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295403277,1501257831816848,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
100,1501257295419903,1501257831833476,All_of_Extend_trial_5,0,NaN,NaN,0,NaN,NaN
