subjectID,system_time_stamp,point_description
108,1500577999925479,Experiment Start
108,1500578003158319,Start_Practice_Trial 
108,1500578003231594,ambigAudio_Practice 
108,1500578006006179,ambigVideo_Practice 
108,1500578011594710,ambigAudio_Practice_1_ball
108,1500578014394032,ambigVideo_Practice_1_ball
108,1500578020803485,trainingAudio_Practice_1_ball
108,1500578023566016,trainingVideo_Practice_1_ball
108,1500578027421511,trainingAudio_Practice_3_ball
108,1500578030189611,trainingVideo_Practice_3_ball
108,1500578035368202,testAudio_Practice_ball
108,1500578037900160,left_testVideo_Practice_ball
108,1500578043338282,right_testVideo_Practice_ball
108,1500578047596154,testAudio_Practice_ball
108,1500578050128619,testVideos_Practice_ball
108,1500578058330886,End_Practice_Trial_1 
108,1500578058403948,recenter 
108,1500578076209415,Start_Practice_Trial_2 
108,1500578076237868,ambigAudio_Practice_book
108,1500578078882030,ambigVideo_Practice_book
108,1500578083895408,trainingAudio_Practice_1_book
108,1500578086345091,trainingVideo_Practice_1_book
108,1500578092142483,trainingAudio_Practice_2_book
108,1500578094603282,trainingVideo_Practice_2_book
108,1500578100494078,trainingAudio_Practice_3_book
108,1500578102963404,trainingVideo_Practice_3_book
108,1500578108851545,testAudio_Practice_book
108,1500578111635027,left_testVideo_Practice_book
108,1500578117153384,right_testVideo_Practice_book
108,1500578122096586,testAudio_Practice_book
108,1500578124890983,testVideos_Practice_book
108,1500578133157322,End_Practice_Trial_2 
108,1500578133223464,recenter 
108,1500578144811474,Start_Practice_Trial_3 
108,1500578144831185,ambigAudio_Practice_1_cake
108,1500578147691317,ambigVideo_Practice_1_cake
108,1500578152662773,trainingAudio_Practice_1_cake
108,1500578155280876,trainingVideo_Practice_1_cake
108,1500578161653269,trainingAudio_Practice_1_cake
108,1500578164273564,trainingVideo_Practice_2_cake
108,1500578169089958,trainingAudio_Practice_3_cake
108,1500578171711550,trainingVideo_Practice_3_cake
108,1500578176491314,testAudio_Practice_cake
108,1500578179363231,left_testVideo_Practice_cake
108,1500578185536650,right_testVideo_Practice_cake
108,1500578190570872,testAudio_Practice_cake
108,1500578193385238,testVideos_Practice_cake
108,1500578202210094,End__Practice_Trial_3 
108,1500578202268875,recenter 
108,1500578206210936,Start_Practice_Trial_4 
108,1500578206216475,ambigAudio_Practice_car
108,1500578209624484,ambigVideo_Practice_car
