subjectID,trialNo,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,8,1500478789927880,1500479322876737,All_of_Main_trials,1,0.8026277,0.3295926,1,0.9413063,0.2576168
99,8,1500478789944502,1500479322893360,All_of_Main_trials,0,NaN,NaN,1,0.9250978,0.3061851
99,8,1500478789961259,1500479322910118,All_of_Main_trials,1,0.8703521,0.2282334,1,0.8952761,0.2914267
99,8,1500478789977883,1500479322926743,All_of_Main_trials,1,0.8682243,0.2809938,1,0.8807005,0.347056
99,8,1500478789994510,1500479322943371,All_of_Main_trials,1,0.8613766,0.2743208,1,0.8807834,0.3799176
99,8,1500478790011136,1500479322959998,All_of_Main_trials,1,0.8465142,0.3498802,1,0.8704822,0.3934451
99,8,1500478790027888,1500479322976751,All_of_Main_trials,1,0.8399871,0.3475235,1,0.8645195,0.3933114
99,8,1500478790044514,1500479322993379,All_of_Main_trials,1,0.8574059,0.3199665,0,NaN,NaN
99,8,1500478790061135,1500479323010001,All_of_Main_trials,1,0.8617589,0.3033397,1,0.8728052,0.3648524
99,8,1500478790077767,1500479323026634,All_of_Main_trials,1,0.8658689,0.2677886,1,0.8866502,0.3073246
99,8,1500478790094393,1500479323043261,All_of_Main_trials,1,0.8689801,0.3251563,1,0.8910796,0.3382564
99,8,1500478790111142,1500479323060011,All_of_Main_trials,1,0.8710972,0.3027407,1,0.894689,0.3013375
99,8,1500478790127768,1500479323076638,All_of_Main_trials,1,0.8426713,0.3571427,1,0.8829314,0.3606061
99,8,1500478790144399,1500479323093270,All_of_Main_trials,1,0.8702456,0.257087,1,0.8683326,0.364584
99,8,1500478790161033,1500479323109905,All_of_Main_trials,1,0.8606799,0.2909023,1,0.8816355,0.3567145
99,8,1500478790177772,1500479323126645,All_of_Main_trials,1,0.859777,0.2785875,1,0.8817427,0.359791
99,8,1500478790194402,1500479323143276,All_of_Main_trials,1,0.8585869,0.2878279,1,0.8692752,0.3517714
99,8,1500478790211025,1500479323159900,All_of_Main_trials,1,0.8538166,0.2864432,1,0.8869398,0.3812228
99,8,1500478790227650,1500479323176527,All_of_Main_trials,1,0.8584139,0.27522,1,0.875016,0.3637651
