subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,1500399092330000,1500399624399233,All_of_Practice_3,0,NaN,NaN,1,0.2911668,0.3926449
99,1500399092346625,1500399624415859,All_of_Practice_3,1,0.2051835,0.4245053,1,0.2971707,0.4171887
99,1500399092363258,1500399624432495,All_of_Practice_3,1,0.20608,0.4088404,1,0.3109457,0.4297124
99,1500399092379998,1500399624449238,All_of_Practice_3,1,0.2155708,0.4265091,1,0.3024005,0.4196525
99,1500399092396632,1500399624465874,All_of_Practice_3,1,0.1999878,0.3943783,1,0.2955227,0.4009793
99,1500399092413256,1500399624482499,All_of_Practice_3,1,0.1759023,0.3660945,1,0.2797852,0.4200089
99,1500399092429881,1500399624499127,All_of_Practice_3,1,0.2253982,0.4303582,1,0.2831126,0.3871092
99,1500399092446637,1500399624515886,All_of_Practice_3,0,NaN,NaN,0,NaN,NaN
99,1500399092463372,1500399624532622,All_of_Practice_3,1,0.2878353,0.4454583,1,0.3991445,0.378602
99,1500399092480007,1500399624549259,All_of_Practice_3,1,0.2327375,0.3955587,1,0.4035201,0.4499113
99,1500399092496631,1500399624565886,All_of_Practice_3,1,0.2772607,0.4619152,1,0.3974562,0.4340056
99,1500399092513257,1500399624582514,All_of_Practice_3,1,0.2761278,0.4672588,1,0.4161537,0.3902862
99,1500399092530007,1500399624599266,All_of_Practice_3,1,0.2470217,0.4269333,1,0.4098651,0.429359
99,1500399092546632,1500399624615893,All_of_Practice_3,1,0.2552191,0.4190983,1,0.4173776,0.4717419
99,1500399092563254,1500399624632518,All_of_Practice_3,1,0.2893525,0.4860048,1,0.4290375,0.4542277
99,1500399092579879,1500399624649145,All_of_Practice_3,1,0.2722848,0.3876187,1,0.3998612,0.5996522
99,1500399092596630,1500399624665898,All_of_Practice_3,1,0.2903802,0.4659261,1,0.410841,0.6246753
99,1500399092613254,1500399624682524,All_of_Practice_3,1,0.3062719,0.5169861,0,NaN,NaN
99,1500399092629876,1500399624699149,All_of_Practice_3,1,0.29526,0.4732944,1,0.4232428,0.5112866
99,1500399092646518,1500399624715793,All_of_Practice_3,1,0.2990217,0.4981304,1,0.4213937,0.517842
99,1500399092663135,1500399624732412,All_of_Practice_3,1,0.3018943,0.4724837,1,0.4313331,0.4487346
99,1500399092679761,1500399624749040,All_of_Practice_3,1,0.2989053,0.4892191,1,0.4223861,0.4993156
99,1500399092696505,1500399624765787,All_of_Practice_3,1,0.2927486,0.4705561,1,0.4490858,0.4634633
99,1500399092713129,1500399624782413,All_of_Practice_3,1,0.2924043,0.4465967,1,0.4468466,0.4979433
99,1500399092729755,1500399624799041,All_of_Practice_3,1,0.2986818,0.4599791,1,0.4222162,0.4924266
99,1500399092746377,1500399624815665,All_of_Practice_3,1,0.3065423,0.4803038,1,0.4345312,0.4793303
99,1500399092763127,1500399624832418,All_of_Practice_3,1,0.3376999,0.4788145,1,0.4679334,0.4804684
99,1500399092779744,1500399624849037,All_of_Practice_3,1,0.4156216,0.3983641,1,0.540638,0.3860194
99,1500399092796378,1500399624865673,All_of_Practice_3,1,0.4089819,0.3749242,1,0.5349236,0.3572564
99,1500399092813002,1500399624882299,All_of_Practice_3,1,0.4148059,0.3939238,1,0.535012,0.3986453
99,1500399092829628,1500399624898928,All_of_Practice_3,1,0.4144892,0.4114116,1,0.52628,0.4146294
99,1500399092846253,1500399624915555,All_of_Practice_3,1,0.4104383,0.4219543,1,0.5318313,0.4068831
99,1500399092862878,1500399624932182,All_of_Practice_3,1,0.4178513,0.387963,1,0.5156486,0.5436103
99,1500399092879634,1500399624948940,All_of_Practice_3,1,0.4156246,0.3521763,0,NaN,NaN
99,1500399092896252,1500399624965561,All_of_Practice_3,1,0.4050699,0.3007473,0,NaN,NaN
99,1500399092912884,1500399624982195,All_of_Practice_3,1,0.4113555,0.3485245,1,0.5403669,0.3962815
99,1500399092929503,1500399624998816,All_of_Practice_3,1,0.4035147,0.3759889,1,0.5330063,0.358489
99,1500399092946125,1500399625015440,All_of_Practice_3,1,0.3993424,0.3786251,1,0.5267481,0.3520476
