subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Adult_0322_2_2pm,1521742089805465,1521742731374098,All_of_Main_trial_6,0,NaN,NaN,1,0.3020668,0.4251375
Adult_0322_2_2pm,1521742089822572,1521742731391207,All_of_Main_trial_6,1,0.3249841,0.3294331,1,0.3006299,0.3693037
Adult_0322_2_2pm,1521742089839072,1521742731407709,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089855578,1521742731424217,All_of_Main_trial_6,0,NaN,NaN,1,0.3493983,0.289209
Adult_0322_2_2pm,1521742089872079,1521742731440720,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089888828,1521742731457471,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089905454,1521742731474098,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089922079,1521742731490725,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089938712,1521742731507360,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089955422,1521742731524072,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089972047,1521742731540699,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742089988713,1521742731557367,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090005382,1521742731574038,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090022048,1521742731590706,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090038614,1521742731607274,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090055280,1521742731623942,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090071797,1521742731640461,All_of_Main_trial_6,1,0.3930606,0.5244277,0,NaN,NaN
Adult_0322_2_2pm,1521742090089047,1521742731657713,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090105676,1521742731674344,All_of_Main_trial_6,1,0.4142577,0.298054,0,NaN,NaN
Adult_0322_2_2pm,1521742090121798,1521742731690468,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090138804,1521742731707476,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090155423,1521742731724097,All_of_Main_trial_6,1,0.4413759,0.355585,1,0.3977465,0.3842595
Adult_0322_2_2pm,1521742090172048,1521742731740724,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090188423,1521742731757101,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090205048,1521742731773728,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090221714,1521742731790396,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090238422,1521742731807105,All_of_Main_trial_6,1,0.7249215,0.3264535,1,0.6253071,0.3949585
Adult_0322_2_2pm,1521742090255172,1521742731823857,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090271923,1521742731840610,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090288549,1521742731857238,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090305215,1521742731873906,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090321882,1521742731890575,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090338548,1521742731907243,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521742090355174,1521742731923871,All_of_Main_trial_6,0,NaN,NaN,1,0.73067,0.2748888
Adult_0322_2_2pm,1521742090371796,1521742731940495,All_of_Main_trial_6,1,0.7104483,0.2201114,1,0.6929485,0.2846616
Adult_0322_2_2pm,1521742090388425,1521742731957126,All_of_Main_trial_6,0,NaN,NaN,1,0.6491384,0.3406495
Adult_0322_2_2pm,1521742090405173,1521742731973876,All_of_Main_trial_6,0,NaN,NaN,1,0.6371782,0.2189296
