subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Adult_0322_2_2pm,1521741610949440,1521742252461701,All_of_Practice_trial_1,1,0.5107193,0.8080749,1,0.2516981,0.7041575
Adult_0322_2_2pm,1521741610966066,1521742252478329,All_of_Practice_trial_1,1,0.5174503,0.7556381,1,0.3075845,0.4846879
Adult_0322_2_2pm,1521741610982691,1521742252494956,All_of_Practice_trial_1,1,0.6532325,0.5467761,1,0.2507568,0.6714693
Adult_0322_2_2pm,1521741610999441,1521742252511708,All_of_Practice_trial_1,1,0.5467647,0.7366875,1,0.2971845,0.673102
Adult_0322_2_2pm,1521741611016067,1521742252528335,All_of_Practice_trial_1,1,0.5688364,0.6742876,1,0.2738581,0.6720799
Adult_0322_2_2pm,1521741611032692,1521742252544962,All_of_Practice_trial_1,1,0.5566189,0.7010573,1,0.2693251,0.6435962
Adult_0322_2_2pm,1521741611049323,1521742252561595,All_of_Practice_trial_1,1,0.5212411,0.7308852,1,0.2588179,0.7064484
Adult_0322_2_2pm,1521741611066068,1521742252578342,All_of_Practice_trial_1,1,0.5200974,0.7619681,1,0.2696787,0.710649
Adult_0322_2_2pm,1521741611082686,1521742252594962,All_of_Practice_trial_1,1,0.5409164,0.7320879,1,0.2745011,0.6542978
Adult_0322_2_2pm,1521741611099331,1521742252611609,All_of_Practice_trial_1,1,0.4975068,0.7580451,1,0.2329452,0.690015
Adult_0322_2_2pm,1521741611115941,1521742252628221,All_of_Practice_trial_1,1,0.5268754,0.7350044,1,0.2706093,0.6787245
Adult_0322_2_2pm,1521741611132575,1521742252644857,All_of_Practice_trial_1,0,NaN,NaN,1,0.2810797,0.6512981
Adult_0322_2_2pm,1521741611149315,1521742252661599,All_of_Practice_trial_1,1,0.6685047,0.5892797,1,0.2529237,0.4466193
Adult_0322_2_2pm,1521741611165944,1521742252678231,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521741611182582,1521742252694871,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Adult_0322_2_2pm,1521741611199193,1521742252711484,All_of_Practice_trial_1,1,0.4974274,0.7822696,1,0.2576583,0.6787198
Adult_0322_2_2pm,1521741611215943,1521742252728236,All_of_Practice_trial_1,1,0.5642444,0.7079472,1,0.2623467,0.7500324
Adult_0322_2_2pm,1521741611232576,1521742252744871,All_of_Practice_trial_1,1,0.5642444,0.7079472,0,NaN,NaN
