subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Adult_0323_1130am,1521819041486032,1521819683331173,All_of_Main_trial_5,1,0.2967747,0.4208585,1,0.2775801,0.3994364
Adult_0323_1130am,1521819041502656,1521819683347799,All_of_Main_trial_5,1,0.2937751,0.4371021,1,0.2709854,0.3978842
Adult_0323_1130am,1521819041519406,1521819683364550,All_of_Main_trial_5,1,0.2945752,0.4528044,1,0.2667109,0.3961789
Adult_0323_1130am,1521819041536033,1521819683381179,All_of_Main_trial_5,1,0.3079448,0.4628212,1,0.293705,0.3829654
Adult_0323_1130am,1521819041552657,1521819683397805,All_of_Main_trial_5,1,0.2967338,0.4394228,0,NaN,NaN
Adult_0323_1130am,1521819041569283,1521819683414433,All_of_Main_trial_5,1,0.2874526,0.4313588,1,0.2694637,0.4215649
Adult_0323_1130am,1521819041586036,1521819683431188,All_of_Main_trial_5,1,0.2873996,0.4302881,0,NaN,NaN
Adult_0323_1130am,1521819041602661,1521819683447814,All_of_Main_trial_5,1,0.2999777,0.4291279,1,0.2959195,0.3885182
Adult_0323_1130am,1521819041619285,1521819683464440,All_of_Main_trial_5,1,0.3084414,0.4466159,0,NaN,NaN
Adult_0323_1130am,1521819041635912,1521819683481069,All_of_Main_trial_5,1,0.3048279,0.4364028,1,0.2838141,0.3949199
Adult_0323_1130am,1521819041652533,1521819683497692,All_of_Main_trial_5,1,0.2780194,0.464398,1,0.2566607,0.4021097
Adult_0323_1130am,1521819041669284,1521819683514445,All_of_Main_trial_5,1,0.306746,0.4747897,1,0.254313,0.394876
Adult_0323_1130am,1521819041685915,1521819683531077,All_of_Main_trial_5,1,0.2848428,0.4206741,1,0.2763607,0.3661995
Adult_0323_1130am,1521819041702537,1521819683547701,All_of_Main_trial_5,1,0.2840367,0.4594523,1,0.290635,0.3942985
Adult_0323_1130am,1521819041719163,1521819683564329,All_of_Main_trial_5,1,0.3030047,0.41599,0,NaN,NaN
Adult_0323_1130am,1521819041735911,1521819683581079,All_of_Main_trial_5,1,0.3001696,0.4362949,1,0.2724684,0.3844058
