subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Adult_0323_1130am,1521818703375708,1521819345184418,All_of_Practice_trial_1,1,-0.009289048,0.4212414,1,0.4566341,0.3890541
Adult_0323_1130am,1521818703392453,1521819345201165,All_of_Practice_trial_1,1,0.07740822,0.4465753,0,NaN,NaN
Adult_0323_1130am,1521818703409078,1521819345217792,All_of_Practice_trial_1,1,0.09560879,0.4251073,0,NaN,NaN
Adult_0323_1130am,1521818703425704,1521819345234419,All_of_Practice_trial_1,1,0.08318726,0.4628802,1,0.4483035,0.445952
Adult_0323_1130am,1521818703442327,1521819345251044,All_of_Practice_trial_1,1,0.08429478,0.4453692,1,0.4504721,0.4210047
Adult_0323_1130am,1521818703458952,1521819345267671,All_of_Practice_trial_1,1,0.0905595,0.4379703,1,0.4509502,0.439833
Adult_0323_1130am,1521818703475703,1521819345284424,All_of_Practice_trial_1,1,0.08660497,0.4282826,1,0.451351,0.4560472
Adult_0323_1130am,1521818703492329,1521819345301052,All_of_Practice_trial_1,1,0.08524059,0.4395199,1,0.4584395,0.4213569
Adult_0323_1130am,1521818703508956,1521819345317680,All_of_Practice_trial_1,1,0.02024556,0.4900662,1,0.4584673,0.3957249
Adult_0323_1130am,1521818703525580,1521819345334306,All_of_Practice_trial_1,1,0.005939828,0.402312,1,0.4592623,0.4140266
Adult_0323_1130am,1521818703542332,1521819345351060,All_of_Practice_trial_1,1,-0.002734731,0.4185025,0,NaN,NaN
Adult_0323_1130am,1521818703558962,1521819345367692,All_of_Practice_trial_1,1,0.08042172,0.4329313,1,0.4514359,0.4098216
Adult_0323_1130am,1521818703575582,1521819345384314,All_of_Practice_trial_1,1,0.07046029,0.4391009,1,0.4503137,0.4421415
Adult_0323_1130am,1521818703592207,1521819345400941,All_of_Practice_trial_1,1,0.08544327,0.4372598,1,0.4480598,0.4549003
Adult_0323_1130am,1521818703608832,1521819345417567,All_of_Practice_trial_1,1,0.07413001,0.4420896,1,0.4413049,0.4377266
Adult_0323_1130am,1521818703625581,1521819345434318,All_of_Practice_trial_1,1,0.07511463,0.4665554,1,0.4519799,0.4497917
Adult_0323_1130am,1521818703642208,1521819345450947,All_of_Practice_trial_1,1,0.09119281,0.4250616,1,0.4429897,0.4328155
Adult_0323_1130am,1521818703658832,1521819345467573,All_of_Practice_trial_1,1,0.08815478,0.4252905,1,0.454364,0.4441594
Adult_0323_1130am,1521818703675459,1521819345484202,All_of_Practice_trial_1,1,0.07774659,0.4346801,1,0.4453165,0.4565995
Adult_0323_1130am,1521818703692208,1521819345500952,All_of_Practice_trial_1,1,0.08707807,0.4338974,1,0.4539734,0.4470246
Adult_0323_1130am,1521818703708834,1521819345517580,All_of_Practice_trial_1,1,0.07532827,0.4265284,1,0.4551095,0.4199995
Adult_0323_1130am,1521818703725459,1521819345534207,All_of_Practice_trial_1,1,0.07001271,0.4213583,1,0.4538727,0.4456248
Adult_0323_1130am,1521818703742085,1521819345550835,All_of_Practice_trial_1,1,0.07269619,0.4266042,1,0.4500055,0.4258331
Adult_0323_1130am,1521818703758716,1521819345567468,All_of_Practice_trial_1,1,0.08430491,0.4317343,1,0.4444152,0.4041688
Adult_0323_1130am,1521818703775461,1521819345584214,All_of_Practice_trial_1,1,0.08693797,0.458504,1,0.4526471,0.4356192
Adult_0323_1130am,1521818703792087,1521819345600842,All_of_Practice_trial_1,1,0.08943298,0.4463304,1,0.459905,0.4275037
Adult_0323_1130am,1521818703808710,1521819345617467,All_of_Practice_trial_1,1,0.08435195,0.4521303,1,0.4516508,0.4410078
Adult_0323_1130am,1521818703825335,1521819345634094,All_of_Practice_trial_1,1,0.08099452,0.4344625,1,0.4508426,0.4331463
Adult_0323_1130am,1521818703842086,1521819345650847,All_of_Practice_trial_1,1,0.09313208,0.4392563,1,0.4398846,0.4412039
Adult_0323_1130am,1521818703858711,1521819345667473,All_of_Practice_trial_1,1,0.09068073,0.4174399,1,0.4548346,0.445589
Adult_0323_1130am,1521818703875337,1521819345684101,All_of_Practice_trial_1,1,0.07881859,0.4149243,1,0.4530081,0.4287758
Adult_0323_1130am,1521818703891962,1521819345700728,All_of_Practice_trial_1,1,0.08748625,0.4206429,1,0.4491844,0.4479102
Adult_0323_1130am,1521818703908590,1521819345717358,All_of_Practice_trial_1,1,0.08190516,0.4443599,1,0.4405454,0.4415717
Adult_0323_1130am,1521818703925341,1521819345734111,All_of_Practice_trial_1,1,0.08037808,0.4200724,1,0.4451146,0.4531487
Adult_0323_1130am,1521818703941975,1521819345750746,All_of_Practice_trial_1,1,0.141073,0.4340893,1,0.501311,0.4614014
Adult_0323_1130am,1521818703958590,1521819345767363,All_of_Practice_trial_1,1,0.2340328,0.470141,1,0.5903743,0.4462344
Adult_0323_1130am,1521818703975217,1521819345783992,All_of_Practice_trial_1,1,0.2389583,0.4783435,1,0.5954684,0.4543913
Adult_0323_1130am,1521818703991974,1521819345800751,All_of_Practice_trial_1,1,0.2393291,0.4588721,1,0.5795384,0.4469481
Adult_0323_1130am,1521818704008591,1521819345817370,All_of_Practice_trial_1,1,0.2308823,0.4581557,1,0.569693,0.4666629
Adult_0323_1130am,1521818704025215,1521819345833995,All_of_Practice_trial_1,1,0.2257111,0.4671826,1,0.5829984,0.4392344
Adult_0323_1130am,1521818704041845,1521819345850627,All_of_Practice_trial_1,1,0.2060511,0.564555,1,0.5943239,0.4488674
Adult_0323_1130am,1521818704058468,1521819345867252,All_of_Practice_trial_1,1,0.1691489,0.4778252,1,0.5605634,0.3772431
Adult_0323_1130am,1521818704075219,1521819345884005,All_of_Practice_trial_1,1,0.209742,0.5178488,1,0.5735316,0.3745717
Adult_0323_1130am,1521818704091842,1521819345900630,All_of_Practice_trial_1,1,0.2502456,0.4462083,1,0.5795343,0.4710925
Adult_0323_1130am,1521818704108468,1521819345917257,All_of_Practice_trial_1,1,0.2410581,0.4686485,1,0.5748811,0.4451519
Adult_0323_1130am,1521818704125094,1521819345933885,All_of_Practice_trial_1,1,0.2372735,0.4483438,1,0.5798213,0.4549375
Adult_0323_1130am,1521818704141844,1521819345950637,All_of_Practice_trial_1,1,0.2314744,0.4457226,1,0.5804363,0.4708107
Adult_0323_1130am,1521818704158469,1521819345967264,All_of_Practice_trial_1,1,0.2649918,0.469709,1,0.5980797,0.4948916
Adult_0323_1130am,1521818704175093,1521819345983890,All_of_Practice_trial_1,1,0.2553384,0.4936448,1,0.5999765,0.4916312
Adult_0323_1130am,1521818704191718,1521819346000516,All_of_Practice_trial_1,1,0.264772,0.4896151,1,0.6096319,0.4959942
Adult_0323_1130am,1521818704208344,1521819346017144,All_of_Practice_trial_1,1,0.2696538,0.4954538,1,0.6144108,0.4844031
Adult_0323_1130am,1521818704225094,1521819346033896,All_of_Practice_trial_1,1,0.2578073,0.4835829,1,0.6041865,0.4898548
Adult_0323_1130am,1521818704241721,1521819346050525,All_of_Practice_trial_1,1,0.2621679,0.4705554,1,0.5936462,0.5043306
Adult_0323_1130am,1521818704258346,1521819346067152,All_of_Practice_trial_1,1,0.2659959,0.4673574,1,0.6147634,0.4695438
Adult_0323_1130am,1521818704274979,1521819346083786,All_of_Practice_trial_1,1,0.2794583,0.4753148,1,0.6120796,0.4928409
Adult_0323_1130am,1521818704291721,1521819346100530,All_of_Practice_trial_1,1,0.2739505,0.4954984,1,0.5828189,0.507864
Adult_0323_1130am,1521818704308346,1521819346117157,All_of_Practice_trial_1,1,0.279254,0.4635861,1,0.5906836,0.5039127
Adult_0323_1130am,1521818704324975,1521819346133788,All_of_Practice_trial_1,1,0.2750745,0.4765445,1,0.6004608,0.4993996
Adult_0323_1130am,1521818704341600,1521819346150415,All_of_Practice_trial_1,1,0.2739715,0.4707593,1,0.60258,0.477188
Adult_0323_1130am,1521818704358223,1521819346167039,All_of_Practice_trial_1,1,0.2553295,0.4718528,1,0.5992886,0.4773759
Adult_0323_1130am,1521818704374976,1521819346183794,All_of_Practice_trial_1,1,0.2791747,0.4710457,1,0.5787446,0.4993688
Adult_0323_1130am,1521818704391607,1521819346200427,All_of_Practice_trial_1,1,0.2600729,0.4715166,1,0.6075102,0.4733042
Adult_0323_1130am,1521818704408225,1521819346217047,All_of_Practice_trial_1,1,0.2692966,0.4782793,1,0.616958,0.4910228
Adult_0323_1130am,1521818704424849,1521819346233673,All_of_Practice_trial_1,1,0.2805924,0.468912,1,0.6040128,0.492929
Adult_0323_1130am,1521818704441601,1521819346250426,All_of_Practice_trial_1,1,0.2632504,0.5052332,1,0.6032677,0.4981149
Adult_0323_1130am,1521818704458226,1521819346267053,All_of_Practice_trial_1,1,0.2744013,0.4801264,1,0.6139475,0.4730308
Adult_0323_1130am,1521818704474855,1521819346283684,All_of_Practice_trial_1,1,0.2715155,0.4847482,1,0.5938213,0.4859962
Adult_0323_1130am,1521818704491476,1521819346300307,All_of_Practice_trial_1,1,0.2664481,0.5010357,1,0.6084158,0.4798916
Adult_0323_1130am,1521818704508101,1521819346316934,All_of_Practice_trial_1,1,0.2703517,0.4674926,1,0.5982228,0.51844
Adult_0323_1130am,1521818704524852,1521819346333686,All_of_Practice_trial_1,1,0.2848432,0.4811518,1,0.6089802,0.5015251
Adult_0323_1130am,1521818704541476,1521819346350312,All_of_Practice_trial_1,1,0.256841,0.4874424,1,0.604882,0.5189685
Adult_0323_1130am,1521818704558102,1521819346366940,All_of_Practice_trial_1,1,0.2708042,0.4803586,1,0.6078979,0.4787677
Adult_0323_1130am,1521818704574735,1521819346383575,All_of_Practice_trial_1,1,0.2756697,0.4874262,1,0.5890449,0.4829653
Adult_0323_1130am,1521818704591477,1521819346400319,All_of_Practice_trial_1,1,0.2692414,0.487398,1,0.6081715,0.4780203
Adult_0323_1130am,1521818704608104,1521819346416947,All_of_Practice_trial_1,1,0.2692363,0.4651036,1,0.5912723,0.5016446
Adult_0323_1130am,1521818704624736,1521819346433581,All_of_Practice_trial_1,1,0.2748284,0.4725604,1,0.587081,0.5400072
Adult_0323_1130am,1521818704641356,1521819346450203,All_of_Practice_trial_1,1,0.2754227,0.4807954,1,0.6072899,0.4984528
Adult_0323_1130am,1521818704658003,1521819346466852,All_of_Practice_trial_1,1,0.2810458,0.4957681,1,0.6075612,0.4938248
Adult_0323_1130am,1521818704674738,1521819346483589,All_of_Practice_trial_1,1,0.2983575,0.4458175,1,0.583814,0.509281
Adult_0323_1130am,1521818704691356,1521819346500208,All_of_Practice_trial_1,1,0.2665653,0.4958939,1,0.59896,0.4838248
Adult_0323_1130am,1521818704707982,1521819346516836,All_of_Practice_trial_1,1,0.2802969,0.4761238,1,0.5940441,0.5063174
Adult_0323_1130am,1521818704724606,1521819346533462,All_of_Practice_trial_1,1,0.2707743,0.4752242,1,0.6010636,0.4974763
Adult_0323_1130am,1521818704741356,1521819346550214,All_of_Practice_trial_1,1,0.2742081,0.4776139,1,0.5771737,0.5278414
Adult_0323_1130am,1521818704757980,1521819346566840,All_of_Practice_trial_1,1,0.2776668,0.4848712,1,0.595531,0.4805661
Adult_0323_1130am,1521818704774606,1521819346583467,All_of_Practice_trial_1,1,0.3065688,0.4720903,1,0.6394433,0.5081214
Adult_0323_1130am,1521818704791231,1521819346600094,All_of_Practice_trial_1,1,0.5166239,0.6840788,1,0.8546339,0.6567717
Adult_0323_1130am,1521818704807858,1521819346616723,All_of_Practice_trial_1,1,0.6039538,0.88612,1,0.9360293,0.8224578
Adult_0323_1130am,1521818704824620,1521819346633487,All_of_Practice_trial_1,1,0.6571599,0.8739841,1,0.9189129,0.8728082
