subjectID,system_time_stamp,point_description
Adult_0323_1130am,1521819380002392,Experiment_Start
Adult_0323_1130am,1521819389708961,Practice_1_Training_1_audio
Adult_0323_1130am,1521819392455783,Practice_1_Training_1_video
Adult_0323_1130am,1521819398924332,Practice_1_Training_2_audio
Adult_0323_1130am,1521819401671212,Practice_1_Training_2_video
Adult_0323_1130am,1521819408845696,Practice_1_Training_3_audio
Adult_0323_1130am,1521819411589075,Practice_1_Training_3_video
Adult_0323_1130am,1521819416118479,Practice_1_Training_4_audio
Adult_0323_1130am,1521819418825488,Practice_1_Training_4_video
Adult_0323_1130am,1521819424680469,Practice_1_SameVerbTest_audio
Adult_0323_1130am,1521819427108789,Practice_1_SameVerbTest_left_video
Adult_0323_1130am,1521819433089937,Practice_1_SameVerbTest_right_video
Adult_0323_1130am,1521819437682218,Practice_1_SameVerbTest_compareVideo1_start
Adult_0323_1130am,1521819442542116,Practice_1_SameVerbTest_compareVideo1_still
Adult_0323_1130am,1521819445555451,Practice_1_SameVerbTest_compareVideo1_end
Adult_0323_1130am,1521819446517286,Practice_1_SameVerbTest_compareVideo2_start
Adult_0323_1130am,1521819451397343,Practice_1_SameVerbTest_compareVideo2_still
Adult_0323_1130am,1521819454404134,Practice_1_SameVerbTest_compareVideo2_end
Adult_0323_1130am,1521819466847544,1_Ambig_audio_future
Adult_0323_1130am,1521819471331474,1_Ambig_video
Adult_0323_1130am,1521819476426302,1_Ambig_audio_past
Adult_0323_1130am,1521819481721361,1_Training_1_audio_future
Adult_0323_1130am,1521819485141075,1_Training_1_video
Adult_0323_1130am,1521819490267236,1_Training_1_audio_past
Adult_0323_1130am,1521819495743245,1_Training_2_audio_future
Adult_0323_1130am,1521819499210938,1_Training_2_video
Adult_0323_1130am,1521819504296562,1_Training_2_audio_past
Adult_0323_1130am,1521819506902721,1_Training_3_audio_future
Adult_0323_1130am,1521819510637264,1_Training_3_video
Adult_0323_1130am,1521819515708965,1_Training_3_audio_past
Adult_0323_1130am,1521819520268111,1_Training_4_audio_future
Adult_0323_1130am,1521819523594377,1_Training_4_video
Adult_0323_1130am,1521819528658403,1_Training_4_audio_past
Adult_0323_1130am,1521819534131505,1_SameVerbTest_audio_warmup
Adult_0323_1130am,1521819537122202,1_SameVerbTest_left_video
