subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Adult_0323_11am_4,1521817836277126,1521818477989329,All_of_Main_trial_5,1,0.8138679,0.4228035,1,0.8412526,0.4493103
Adult_0323_11am_4,1521817836293760,1521818478005965,All_of_Main_trial_5,1,0.8962933,0.5336747,1,0.9536089,0.4356329
Adult_0323_11am_4,1521817836310385,1521818478022591,All_of_Main_trial_5,1,0.9248117,0.5361031,1,0.9215664,0.527869
Adult_0323_11am_4,1521817836327013,1521818478039221,All_of_Main_trial_5,1,0.9532392,0.4967326,1,0.9599386,0.4511068
Adult_0323_11am_4,1521817836343762,1521818478055972,All_of_Main_trial_5,1,0.9650347,0.4918216,1,0.9261907,0.4993105
Adult_0323_11am_4,1521817836360387,1521818478072599,All_of_Main_trial_5,1,0.8962777,0.5595554,1,0.9075926,0.5134557
Adult_0323_11am_4,1521817836377012,1521818478089226,All_of_Main_trial_5,1,0.964509,0.516898,1,0.9331166,0.4911598
Adult_0323_11am_4,1521817836393636,1521818478105852,All_of_Main_trial_5,1,0.9694498,0.5177906,1,0.9330565,0.4787815
Adult_0323_11am_4,1521817836410379,1521818478122596,All_of_Main_trial_5,1,0.9419464,0.517136,1,0.9169858,0.5241815
Adult_0323_11am_4,1521817836427004,1521818478139223,All_of_Main_trial_5,1,0.9246193,0.5149716,1,0.9386837,0.4434102
Adult_0323_11am_4,1521817836443638,1521818478155859,All_of_Main_trial_5,1,0.92535,0.5256827,1,0.936283,0.4978598
Adult_0323_11am_4,1521817836460380,1521818478172603,All_of_Main_trial_5,1,0.9266219,0.5216021,1,0.9225495,0.491697
Adult_0323_11am_4,1521817836477010,1521818478189235,All_of_Main_trial_5,1,0.9224161,0.5210633,1,0.9051963,0.5172955
Adult_0323_11am_4,1521817836493641,1521818478205868,All_of_Main_trial_5,1,0.9837956,0.495883,1,0.9141743,0.5409768
Adult_0323_11am_4,1521817836510273,1521818478222502,All_of_Main_trial_5,1,0.9657721,0.4948985,1,0.9396148,0.4980988
Adult_0323_11am_4,1521817836527006,1521818478239236,All_of_Main_trial_5,1,0.919335,0.53313,1,0.9203396,0.5161293
Adult_0323_11am_4,1521817836543518,1521818478255750,All_of_Main_trial_5,1,0.9615036,0.472345,1,0.9224713,0.5205429
Adult_0323_11am_4,1521817836560140,1521818478272374,All_of_Main_trial_5,1,0.9511551,0.5024564,1,0.9177375,0.5063068
Adult_0323_11am_4,1521817836576886,1521818478289122,All_of_Main_trial_5,1,0.8675593,0.5298169,1,0.8544843,0.5035968
Adult_0323_11am_4,1521817836593632,1521818478305870,All_of_Main_trial_5,1,0.8383667,0.5609211,1,0.8108977,0.5133911
Adult_0323_11am_4,1521817836610143,1521818478322383,All_of_Main_trial_5,1,0.4370656,0.5253287,1,0.4692044,0.6290709
Adult_0323_11am_4,1521817836626767,1521818478339008,All_of_Main_trial_5,1,0.4490961,0.5276037,1,0.4852763,0.5199792
Adult_0323_11am_4,1521817836643519,1521818478355762,All_of_Main_trial_5,1,0.48216,0.4813156,1,0.4555268,0.5816652
Adult_0323_11am_4,1521817836660134,1521818478372379,All_of_Main_trial_5,1,0.4731242,0.5111144,1,0.4548078,0.5681435
Adult_0323_11am_4,1521817836676768,1521818478389015,All_of_Main_trial_5,1,0.4953249,0.48911,1,0.4799696,0.5214256
Adult_0323_11am_4,1521817836693393,1521818478405642,All_of_Main_trial_5,1,0.4811188,0.4954513,1,0.4881165,0.5433767
Adult_0323_11am_4,1521817836710135,1521818478422386,All_of_Main_trial_5,1,0.459834,0.5491009,1,0.4588235,0.5883829
Adult_0323_11am_4,1521817836726766,1521818478439018,All_of_Main_trial_5,1,0.4623858,0.516742,1,0.4656312,0.5422962
Adult_0323_11am_4,1521817836743402,1521818478455656,All_of_Main_trial_5,1,0.4800147,0.4982125,1,0.482338,0.5571711
Adult_0323_11am_4,1521817836760023,1521818478472279,All_of_Main_trial_5,1,0.4645104,0.5127019,1,0.4446099,0.6150528
Adult_0323_11am_4,1521817836776760,1521818478489018,All_of_Main_trial_5,1,0.4656914,0.4839409,1,0.4466165,0.590783
Adult_0323_11am_4,1521817836793386,1521818478505646,All_of_Main_trial_5,1,0.4680663,0.5227989,1,0.4616154,0.596366
Adult_0323_11am_4,1521817836810020,1521818478522282,All_of_Main_trial_5,1,0.4509305,0.5623845,1,0.4429905,0.6179964
Adult_0323_11am_4,1521817836826646,1521818478538909,All_of_Main_trial_5,1,0.4688523,0.5349299,1,0.4491649,0.567233
Adult_0323_11am_4,1521817836843282,1521818478555547,All_of_Main_trial_5,1,0.4181665,0.5570121,1,0.4709394,0.589327
Adult_0323_11am_4,1521817836860020,1521818478572287,All_of_Main_trial_5,1,0.4554445,0.5210804,1,0.4557722,0.6107116
Adult_0323_11am_4,1521817836876647,1521818478588916,All_of_Main_trial_5,1,0.4596628,0.5220473,1,0.459931,0.5282008
Adult_0323_11am_4,1521817836893282,1521818478605553,All_of_Main_trial_5,1,0.4854932,0.5542088,1,0.4478502,0.5455255
Adult_0323_11am_4,1521817836910014,1521818478622287,All_of_Main_trial_5,1,0.4699817,0.5025045,1,0.4825023,0.5674558
Adult_0323_11am_4,1521817836926640,1521818478638914,All_of_Main_trial_5,1,0.4605932,0.5328276,1,0.4553456,0.5314237
Adult_0323_11am_4,1521817836943273,1521818478655549,All_of_Main_trial_5,1,0.4960904,0.4898249,1,0.4431281,0.534259
Adult_0323_11am_4,1521817836959898,1521818478672176,All_of_Main_trial_5,1,0.570187,0.328956,1,0.4314829,0.5778707
Adult_0323_11am_4,1521817836976523,1521818478688803,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
Adult_0323_11am_4,1521817836993275,1521818478705557,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
Adult_0323_11am_4,1521817837009891,1521818478722175,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
Adult_0323_11am_4,1521817837026517,1521818478738803,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
Adult_0323_11am_4,1521817837043147,1521818478755434,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
Adult_0323_11am_4,1521817837059813,1521818478772102,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
