subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Kailee_manner_0228_1pm,1519935236487872,1519935872646908,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236504538,1519935872663575,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236521204,1519935872680243,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236537835,1519935872696876,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236554501,1519935872713543,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236571167,1519935872730211,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236587821,1519935872746867,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236604487,1519935872763534,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236621417,1519935872780466,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236638083,1519935872797133,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236654971,1519935872814022,All_of_Main_trial_4,1,0.4242723,0.4679858,1,0.4266749,0.4550633
Kailee_manner_0228_1pm,1519935236671222,1519935872830275,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236687785,1519935872846840,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236704451,1519935872863507,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236721025,1519935872880083,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236737691,1519935872896750,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236754457,1519935872913518,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236771123,1519935872930186,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236787675,1519935872946739,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236804341,1519935872963407,All_of_Main_trial_4,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519935236820973,1519935872980040,All_of_Main_trial_4,1,0.3415188,0.4519568,1,0.3360189,0.4885918
Kailee_manner_0228_1pm,1519935236837598,1519935872996666,All_of_Main_trial_4,1,0.35513,0.4520865,1,0.3391134,0.4459362
Kailee_manner_0228_1pm,1519935236854349,1519935873013419,All_of_Main_trial_4,1,0.3468719,0.47087,1,0.3359562,0.4293792
Kailee_manner_0228_1pm,1519935236870975,1519935873030047,All_of_Main_trial_4,1,0.3417612,0.4376485,1,0.3432558,0.4579655
Kailee_manner_0228_1pm,1519935236887600,1519935873046673,All_of_Main_trial_4,1,0.3379428,0.4558225,1,0.3421863,0.4404404
Kailee_manner_0228_1pm,1519935236904225,1519935873063300,All_of_Main_trial_4,1,0.3413729,0.4581313,1,0.3424816,0.4613138
Kailee_manner_0228_1pm,1519935236920851,1519935873079927,All_of_Main_trial_4,1,0.3439763,0.4550748,1,0.3469357,0.449199
Kailee_manner_0228_1pm,1519935236937477,1519935873096555,All_of_Main_trial_4,1,0.3449067,0.4647235,1,0.342721,0.4449016
Kailee_manner_0228_1pm,1519935236954102,1519935873113182,All_of_Main_trial_4,1,0.3433164,0.4544916,1,0.3418976,0.4582877
Kailee_manner_0228_1pm,1519935236970853,1519935873129934,All_of_Main_trial_4,1,0.3435606,0.4637147,1,0.3421268,0.4458488
Kailee_manner_0228_1pm,1519935236987478,1519935873146561,All_of_Main_trial_4,1,0.3382715,0.4540897,1,0.3463289,0.4394373
Kailee_manner_0228_1pm,1519935237004101,1519935873163185,All_of_Main_trial_4,1,0.33787,0.4409751,1,0.3375691,0.4394543
Kailee_manner_0228_1pm,1519935237020736,1519935873179821,All_of_Main_trial_4,1,0.3537343,0.4679598,1,0.3404126,0.4461562
Kailee_manner_0228_1pm,1519935237037477,1519935873196564,All_of_Main_trial_4,1,0.3491831,0.4975787,1,0.3420645,0.442853
Kailee_manner_0228_1pm,1519935237054102,1519935873213191,All_of_Main_trial_4,1,0.3439567,0.4698106,1,0.3319818,0.4418199
Kailee_manner_0228_1pm,1519935237070729,1519935873229819,All_of_Main_trial_4,1,0.3414484,0.4382537,1,0.3449107,0.4542168
Kailee_manner_0228_1pm,1519935237087354,1519935873246446,All_of_Main_trial_4,1,0.3449042,0.4863226,1,0.3278718,0.4311841
Kailee_manner_0228_1pm,1519935237104104,1519935873263198,All_of_Main_trial_4,1,0.3360064,0.4589382,1,0.3383303,0.4505933
Kailee_manner_0228_1pm,1519935237120730,1519935873279825,All_of_Main_trial_4,1,0.3397693,0.4478911,1,0.3404951,0.4493447
Kailee_manner_0228_1pm,1519935237137369,1519935873296466,All_of_Main_trial_4,1,0.3382392,0.4449322,1,0.3379674,0.4554438
Kailee_manner_0228_1pm,1519935237153980,1519935873313078,All_of_Main_trial_4,1,0.3452315,0.4703985,1,0.3365711,0.4547154
Kailee_manner_0228_1pm,1519935237170733,1519935873329832,All_of_Main_trial_4,1,0.3463755,0.4680138,1,0.3356415,0.4475777
Kailee_manner_0228_1pm,1519935237187365,1519935873346466,All_of_Main_trial_4,1,0.3450479,0.4726391,1,0.3441504,0.4559243
Kailee_manner_0228_1pm,1519935237203979,1519935873363081,All_of_Main_trial_4,1,0.3434057,0.4486481,1,0.3441862,0.4269382
Kailee_manner_0228_1pm,1519935237220610,1519935873379714,All_of_Main_trial_4,1,0.3370576,0.4390126,1,0.3410305,0.4488753
Kailee_manner_0228_1pm,1519935237237230,1519935873396336,All_of_Main_trial_4,1,0.3424328,0.4577883,1,0.3448794,0.4399788
Kailee_manner_0228_1pm,1519935237253980,1519935873413087,All_of_Main_trial_4,1,0.3662436,0.4695045,1,0.3483594,0.4580567
Kailee_manner_0228_1pm,1519935237270608,1519935873429717,All_of_Main_trial_4,1,0.4285874,0.4092848,1,0.4240316,0.4161704
Kailee_manner_0228_1pm,1519935237287231,1519935873446342,All_of_Main_trial_4,1,0.4367206,0.3819746,1,0.4387331,0.3642478
Kailee_manner_0228_1pm,1519935237303857,1519935873462969,All_of_Main_trial_4,1,0.4371445,0.4163779,1,0.4349452,0.395623
Kailee_manner_0228_1pm,1519935237320607,1519935873479721,All_of_Main_trial_4,1,0.4356614,0.4021723,1,0.4367214,0.408086
Kailee_manner_0228_1pm,1519935237337233,1519935873496349,All_of_Main_trial_4,1,0.4309739,0.4047725,1,0.433622,0.3841775
Kailee_manner_0228_1pm,1519935237353858,1519935873512975,All_of_Main_trial_4,1,0.4301848,0.3891515,1,0.4311825,0.4068466
Kailee_manner_0228_1pm,1519935237370488,1519935873529607,All_of_Main_trial_4,1,0.432752,0.4037916,1,0.4284157,0.3694145
Kailee_manner_0228_1pm,1519935237387106,1519935873546226,All_of_Main_trial_4,1,0.4471611,0.4256628,1,0.4452389,0.3867708
Kailee_manner_0228_1pm,1519935237403857,1519935873562978,All_of_Main_trial_4,1,0.4402237,0.3842777,1,0.4350322,0.3920198
Kailee_manner_0228_1pm,1519935237420489,1519935873579612,All_of_Main_trial_4,1,0.4449963,0.406669,1,0.4362126,0.3883482
Kailee_manner_0228_1pm,1519935237437108,1519935873596232,All_of_Main_trial_4,1,0.4372625,0.4052461,1,0.4300648,0.3855291
Kailee_manner_0228_1pm,1519935237453734,1519935873612860,All_of_Main_trial_4,1,0.4347532,0.3832167,1,0.4297128,0.3769198
Kailee_manner_0228_1pm,1519935237470490,1519935873629618,All_of_Main_trial_4,1,0.4424542,0.3921493,1,0.4356543,0.409543
Kailee_manner_0228_1pm,1519935237487109,1519935873646238,All_of_Main_trial_4,1,0.4517463,0.3668768,1,0.440432,0.3927457
Kailee_manner_0228_1pm,1519935237503734,1519935873662865,All_of_Main_trial_4,1,0.4407973,0.3976454,1,0.4411105,0.3628816
