subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Kailee_manner_0228_1pm,1519934751700211,1519935387812184,All_of_Practice_trial_1,1,0.6256439,0.5505078,1,0.5356789,0.5576702
Kailee_manner_0228_1pm,1519934751716968,1519935387828942,All_of_Practice_trial_1,1,0.6291551,0.5535522,1,0.537877,0.5580789
Kailee_manner_0228_1pm,1519934751733587,1519935387845563,All_of_Practice_trial_1,1,0.6281251,0.5419732,1,0.5415031,0.555857
Kailee_manner_0228_1pm,1519934751750212,1519935387862189,All_of_Practice_trial_1,1,0.6286157,0.5518519,1,0.5327138,0.557444
Kailee_manner_0228_1pm,1519934751766838,1519935387878817,All_of_Practice_trial_1,1,0.6313208,0.5414532,1,0.5408992,0.5477824
Kailee_manner_0228_1pm,1519934751783588,1519935387895569,All_of_Practice_trial_1,1,0.6274209,0.5583493,1,0.5332159,0.5512292
Kailee_manner_0228_1pm,1519934751800211,1519935387912193,All_of_Practice_trial_1,1,0.62713,0.5472421,1,0.5416615,0.5582567
Kailee_manner_0228_1pm,1519934751816837,1519935387928821,All_of_Practice_trial_1,1,0.6230784,0.5412685,1,0.5312775,0.5666337
Kailee_manner_0228_1pm,1519934751833462,1519935387945447,All_of_Practice_trial_1,1,0.6589195,0.547201,1,0.561399,0.55624
Kailee_manner_0228_1pm,1519934751850088,1519935387962075,All_of_Practice_trial_1,1,0.7001305,0.5323884,1,0.6018617,0.5544934
Kailee_manner_0228_1pm,1519934751866838,1519935387978827,All_of_Practice_trial_1,1,0.6846141,0.5393263,1,0.5957522,0.558451
Kailee_manner_0228_1pm,1519934751883464,1519935387995454,All_of_Practice_trial_1,1,0.6985897,0.5209728,1,0.590432,0.5400751
Kailee_manner_0228_1pm,1519934751900090,1519935388012082,All_of_Practice_trial_1,1,0.6840776,0.5388842,1,0.5932718,0.5480007
Kailee_manner_0228_1pm,1519934751916715,1519935388028708,All_of_Practice_trial_1,1,0.6915492,0.52319,1,0.6115488,0.5289756
Kailee_manner_0228_1pm,1519934751933466,1519935388045461,All_of_Practice_trial_1,1,0.6857194,0.5423617,1,0.5939794,0.5418019
Kailee_manner_0228_1pm,1519934751950091,1519935388062088,All_of_Practice_trial_1,1,0.689364,0.5285878,1,0.6123926,0.5486336
Kailee_manner_0228_1pm,1519934751966723,1519935388078721,All_of_Practice_trial_1,1,0.6819573,0.5453807,1,0.5888461,0.5430873
Kailee_manner_0228_1pm,1519934751983339,1519935388095339,All_of_Practice_trial_1,1,0.681169,0.5370913,1,0.6148311,0.5516267
Kailee_manner_0228_1pm,1519934751999965,1519935388111966,All_of_Practice_trial_1,1,0.6780732,0.544765,1,0.6007131,0.5548111
Kailee_manner_0228_1pm,1519934752016723,1519935388128726,All_of_Practice_trial_1,1,0.6950868,0.5452495,1,0.6090146,0.5367674
Kailee_manner_0228_1pm,1519934752033341,1519935388145345,All_of_Practice_trial_1,1,0.6832902,0.5391529,1,0.5975407,0.5428167
Kailee_manner_0228_1pm,1519934752049966,1519935388161972,All_of_Practice_trial_1,1,0.6845924,0.5407404,1,0.6148484,0.5442876
Kailee_manner_0228_1pm,1519934752066592,1519935388178600,All_of_Practice_trial_1,1,0.6926918,0.5438797,1,0.6044307,0.5477418
Kailee_manner_0228_1pm,1519934752083350,1519935388195359,All_of_Practice_trial_1,1,0.6849536,0.5373796,1,0.607847,0.5401693
Kailee_manner_0228_1pm,1519934752099968,1519935388211979,All_of_Practice_trial_1,1,0.6884585,0.5343577,1,0.5957923,0.5436376
Kailee_manner_0228_1pm,1519934752116594,1519935388228606,All_of_Practice_trial_1,1,0.678035,0.5611861,1,0.597148,0.5386979
Kailee_manner_0228_1pm,1519934752133219,1519935388245233,All_of_Practice_trial_1,1,0.687361,0.5657669,1,0.5898846,0.557588
Kailee_manner_0228_1pm,1519934752149845,1519935388261861,All_of_Practice_trial_1,1,0.6725946,0.5869336,1,0.5960218,0.5489318
Kailee_manner_0228_1pm,1519934752166595,1519935388278612,All_of_Practice_trial_1,1,0.6526278,0.5602557,1,0.5944099,0.5472404
Kailee_manner_0228_1pm,1519934752183218,1519935388295237,All_of_Practice_trial_1,1,0.6454625,0.5660005,1,0.5502611,0.5467936
Kailee_manner_0228_1pm,1519934752199843,1519935388311863,All_of_Practice_trial_1,1,0.5237495,0.5642801,1,0.4524157,0.5465883
Kailee_manner_0228_1pm,1519934752216469,1519935388328491,All_of_Practice_trial_1,1,0.5361021,0.5664216,1,0.4630837,0.5444801
Kailee_manner_0228_1pm,1519934752233219,1519935388345243,All_of_Practice_trial_1,1,0.5356959,0.5453252,1,0.4660978,0.5529166
Kailee_manner_0228_1pm,1519934752249844,1519935388361869,All_of_Practice_trial_1,1,0.5434076,0.5274116,1,0.4567066,0.5586248
Kailee_manner_0228_1pm,1519934752266480,1519935388378507,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519934752283100,1519935388395128,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519934752299766,1519935388411796,All_of_Practice_trial_1,0,NaN,NaN,0,NaN,NaN
Kailee_manner_0228_1pm,1519934752316474,1519935388428506,All_of_Practice_trial_1,1,0.5622556,0.5436189,1,0.4667313,0.5527301
Kailee_manner_0228_1pm,1519934752333097,1519935388445130,All_of_Practice_trial_1,1,0.5864246,0.5818802,1,0.4654103,0.4467446
Kailee_manner_0228_1pm,1519934752349720,1519935388461755,All_of_Practice_trial_1,1,0.5555828,0.5600366,1,0.4708085,0.5482539
Kailee_manner_0228_1pm,1519934752366345,1519935388478381,All_of_Practice_trial_1,1,0.5674642,0.5711193,1,0.4650406,0.555841
Kailee_manner_0228_1pm,1519934752383095,1519935388495133,All_of_Practice_trial_1,1,0.5581638,0.5451034,1,0.4695051,0.5470679
Kailee_manner_0228_1pm,1519934752399721,1519935388511761,All_of_Practice_trial_1,1,0.5578303,0.5647866,1,0.469522,0.5462556
Kailee_manner_0228_1pm,1519934752416346,1519935388528387,All_of_Practice_trial_1,1,0.5656604,0.5600597,1,0.4745598,0.5494857
Kailee_manner_0228_1pm,1519934752432972,1519935388545015,All_of_Practice_trial_1,1,0.5594471,0.5576777,1,0.4700749,0.5565007
Kailee_manner_0228_1pm,1519934752449598,1519935388561642,All_of_Practice_trial_1,1,0.5662417,0.5592846,1,0.4601077,0.5555094
Kailee_manner_0228_1pm,1519934752466348,1519935388578394,All_of_Practice_trial_1,1,0.5419801,0.5610705,1,0.4636687,0.5435983
Kailee_manner_0228_1pm,1519934752482973,1519935388595020,All_of_Practice_trial_1,1,0.5339022,0.5536128,1,0.4502815,0.5551832
Kailee_manner_0228_1pm,1519934752499599,1519935388611648,All_of_Practice_trial_1,1,0.5565352,0.5567611,1,0.471681,0.5484011
Kailee_manner_0228_1pm,1519934752516225,1519935388628276,All_of_Practice_trial_1,1,0.5736979,0.5432107,1,0.4753453,0.5379828
Kailee_manner_0228_1pm,1519934752532973,1519935388645025,All_of_Practice_trial_1,1,0.5581357,0.5409889,1,0.4711571,0.5428541
Kailee_manner_0228_1pm,1519934752549598,1519935388661652,All_of_Practice_trial_1,1,0.5636046,0.568657,1,0.4734899,0.5464501
Kailee_manner_0228_1pm,1519934752566224,1519935388678279,All_of_Practice_trial_1,1,0.5681222,0.5630765,1,0.4526396,0.5394436
Kailee_manner_0228_1pm,1519934752582856,1519935388694913,All_of_Practice_trial_1,1,0.5745184,0.5577827,1,0.4647284,0.5452151
Kailee_manner_0228_1pm,1519934752599479,1519935388711538,All_of_Practice_trial_1,1,0.590132,0.5587967,1,0.5147775,0.5439184
Kailee_manner_0228_1pm,1519934752616225,1519935388728285,All_of_Practice_trial_1,1,0.6194859,0.5577711,1,0.5227007,0.5629154
Kailee_manner_0228_1pm,1519934752632854,1519935388744916,All_of_Practice_trial_1,1,0.6229154,0.563054,1,0.5228078,0.5614579
Kailee_manner_0228_1pm,1519934752649477,1519935388761540,All_of_Practice_trial_1,1,0.6193395,0.5438237,1,0.5242561,0.5538149
