subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot1101_2pm,1509562243742675,1509562817450196,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243758929,1509562817466451,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243776176,1509562817483699,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243792927,1509562817500451,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243809303,1509562817516828,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243825926,1509562817533452,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243842563,1509562817550089,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243859188,1509562817566715,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243875819,1509562817583347,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243892559,1509562817600088,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243909186,1509562817616716,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243925819,1509562817633350,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243942065,1509562817649597,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243959325,1509562817666857,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243976066,1509562817683599,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562243990826,1509562817698360,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244007449,1509562817714984,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244024075,1509562817731611,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244041317,1509562817748854,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244058699,1509562817766237,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244075945,1509562817783483,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244090706,1509562817798245,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244107332,1509562817814872,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244124084,1509562817831625,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244140708,1509562817848250,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244157333,1509562817864876,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244173960,1509562817881503,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244191200,1509562817898744,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244208576,1509562817916121,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244225827,1509562817933373,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244240589,1509562817948136,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244257223,1509562817964771,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244273965,1509562817981514,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244290593,1509562817998142,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244307226,1509562818014776,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244323843,1509562818031394,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244341082,1509562818048634,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244358459,1509562818066012,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244375710,1509562818083264,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244390472,1509562818098027,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244407098,1509562818114653,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244423849,1509562818131405,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244440475,1509562818148032,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244457102,1509562818164660,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244473734,1509562818181293,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244490969,1509562818198529,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244508342,1509562818215903,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244525593,1509562818233154,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244540355,1509562818247917,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244556980,1509562818264543,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244573731,1509562818281295,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244590359,1509562818297924,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244606985,1509562818314551,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244623624,1509562818331190,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244640852,1509562818348419,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244658242,1509562818365810,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244675479,1509562818383048,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244690238,1509562818397808,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244706864,1509562818414435,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244723614,1509562818431186,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244740240,1509562818447812,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244756868,1509562818464441,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244773501,1509562818481075,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244790734,1509562818498309,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244808109,1509562818515685,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244825362,1509562818532939,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244840123,1509562818547701,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244856875,1509562818564453,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244873504,1509562818581083,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244890123,1509562818597703,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244906751,1509562818614332,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244923388,1509562818630970,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244940616,1509562818648199,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244957993,1509562818665577,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244975249,1509562818682833,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562244990006,1509562818697591,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562245006633,1509562818714219,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562245023384,1509562818730971,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562245040008,1509562818747596,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562245056634,1509562818764223,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
pilot1101_2pm,1509562245073259,1509562818780848,All_of_Main_trial_8,0,NaN,NaN,0,NaN,NaN
