subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot1101_2pm,1509561721961508,1509562295641768,All_of_noBias_trial_4,1,0.2957522,0.4510681,1,0.2974059,0.4381714
pilot1101_2pm,1509561721978010,1509562295658271,All_of_noBias_trial_4,1,0.2609662,0.4308939,1,0.2807463,0.4356956
pilot1101_2pm,1509561721994762,1509562295675024,All_of_noBias_trial_4,1,0.2689053,0.4426548,1,0.2975892,0.4153488
pilot1101_2pm,1509561722011398,1509562295691661,All_of_noBias_trial_4,1,0.2848265,0.4778121,1,0.2878643,0.4334192
pilot1101_2pm,1509561722028019,1509562295708282,All_of_noBias_trial_4,1,0.2927051,0.4676083,1,0.279538,0.4349637
pilot1101_2pm,1509561722044764,1509562295725028,All_of_noBias_trial_4,1,0.2817582,0.4992676,1,0.2945212,0.4540541
pilot1101_2pm,1509561722061406,1509562295741671,All_of_noBias_trial_4,1,0.3041101,0.455572,1,0.2884765,0.4532805
pilot1101_2pm,1509561722078131,1509562295758397,All_of_noBias_trial_4,1,0.2922787,0.4519846,1,0.2815487,0.4713347
pilot1101_2pm,1509561722094757,1509562295775024,All_of_noBias_trial_4,1,0.2891437,0.4789582,1,0.2931837,0.4854349
pilot1101_2pm,1509561722111391,1509562295791659,All_of_noBias_trial_4,1,0.2971089,0.4873257,1,0.2902845,0.4672029
pilot1101_2pm,1509561722128018,1509562295808287,All_of_noBias_trial_4,1,0.287773,0.4807296,1,0.267442,0.4622661
pilot1101_2pm,1509561722144650,1509562295824920,All_of_noBias_trial_4,1,0.2726862,0.4735316,1,0.2879796,0.4712457
pilot1101_2pm,1509561722161395,1509562295841665,All_of_noBias_trial_4,1,0.2871157,0.4969299,1,0.2956474,0.4713691
pilot1101_2pm,1509561722178021,1509562295858292,All_of_noBias_trial_4,1,0.2856945,0.4891695,1,0.2864731,0.4660719
pilot1101_2pm,1509561722194649,1509562295874921,All_of_noBias_trial_4,1,0.2751114,0.4850441,1,0.2980234,0.4861498
pilot1101_2pm,1509561722211276,1509562295891549,All_of_noBias_trial_4,1,0.2759451,0.4970645,1,0.2862816,0.4707271
pilot1101_2pm,1509561722227901,1509562295908175,All_of_noBias_trial_4,1,0.3006714,0.4719273,1,0.3027507,0.4891821
pilot1101_2pm,1509561722244649,1509562295924924,All_of_noBias_trial_4,1,0.2951458,0.4776268,1,0.2856326,0.4635278
pilot1101_2pm,1509561722261276,1509562295941552,All_of_noBias_trial_4,1,0.2887774,0.4815499,1,0.2807527,0.5007599
pilot1101_2pm,1509561722277901,1509562295958177,All_of_noBias_trial_4,1,0.2663766,0.4585616,1,0.290856,0.4262148
pilot1101_2pm,1509561722294527,1509562295974804,All_of_noBias_trial_4,1,0.2848293,0.4745199,1,0.2971317,0.4858326
pilot1101_2pm,1509561722311269,1509562295991547,All_of_noBias_trial_4,1,0.2922886,0.4516855,1,0.3002134,0.4800729
pilot1101_2pm,1509561722327904,1509562296008183,All_of_noBias_trial_4,1,0.298664,0.4590498,1,0.2950298,0.4645064
pilot1101_2pm,1509561722344531,1509562296024811,All_of_noBias_trial_4,1,0.2995084,0.4763384,1,0.2976802,0.4664114
pilot1101_2pm,1509561722361165,1509562296041446,All_of_noBias_trial_4,1,0.3049713,0.4726812,1,0.3017325,0.4653502
pilot1101_2pm,1509561722377899,1509562296058181,All_of_noBias_trial_4,1,0.2948694,0.4823449,1,0.2759247,0.4652767
pilot1101_2pm,1509561722394529,1509562296074812,All_of_noBias_trial_4,1,0.2752635,0.4906336,1,0.2939574,0.4640379
pilot1101_2pm,1509561722411166,1509562296091449,All_of_noBias_trial_4,1,0.2810149,0.43796,1,0.3108582,0.4624158
pilot1101_2pm,1509561722427785,1509562296108069,All_of_noBias_trial_4,1,0.2850341,0.4518659,1,0.3151181,0.4761507
pilot1101_2pm,1509561722444410,1509562296124695,All_of_noBias_trial_4,1,0.2860846,0.466951,1,0.3136607,0.471091
