subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1101_4pm_x2,1509568742416326,1509569316321267,All_of_Main_trial_8,1,0.4572849,0.5627812,1,0.4350271,0.4815148
pilot_1101_4pm_x2,1509568742432963,1509569316337906,All_of_Main_trial_8,1,0.455388,0.5595339,1,0.4376647,0.4752242
pilot_1101_4pm_x2,1509568742449581,1509569316354526,All_of_Main_trial_8,1,0.4326273,0.5608053,1,0.4414119,0.4833853
pilot_1101_4pm_x2,1509568742466326,1509569316371273,All_of_Main_trial_8,1,0.4510578,0.5629799,1,0.4376993,0.4868974
pilot_1101_4pm_x2,1509568742482951,1509569316387900,All_of_Main_trial_8,1,0.4553133,0.5626841,1,0.439775,0.4793057
pilot_1101_4pm_x2,1509568742499576,1509569316404526,All_of_Main_trial_8,1,0.4534793,0.5574533,1,0.4408721,0.4867243
pilot_1101_4pm_x2,1509568742516204,1509569316421156,All_of_Main_trial_8,1,0.4569311,0.5660059,1,0.4405972,0.48423
pilot_1101_4pm_x2,1509568742532948,1509569316437902,All_of_Main_trial_8,1,0.4543628,0.5587011,1,0.4377098,0.4876648
pilot_1101_4pm_x2,1509568742549574,1509569316454530,All_of_Main_trial_8,1,0.4513908,0.5638764,1,0.4371014,0.4801164
pilot_1101_4pm_x2,1509568742566204,1509569316471162,All_of_Main_trial_8,1,0.4507068,0.5594213,1,0.440033,0.4837847
pilot_1101_4pm_x2,1509568742582824,1509569316487784,All_of_Main_trial_8,1,0.4558069,0.5672824,1,0.4370526,0.4838537
pilot_1101_4pm_x2,1509568742599449,1509569316504411,All_of_Main_trial_8,1,0.4498935,0.5622942,1,0.4391595,0.486092
pilot_1101_4pm_x2,1509568742616199,1509569316521163,All_of_Main_trial_8,1,0.4523245,0.567645,1,0.4358849,0.4886794
pilot_1101_4pm_x2,1509568742632825,1509569316537791,All_of_Main_trial_8,1,0.4551851,0.5622784,1,0.4367911,0.4829063
pilot_1101_4pm_x2,1509568742649449,1509569316554417,All_of_Main_trial_8,1,0.4577692,0.5624855,1,0.439043,0.4894767
pilot_1101_4pm_x2,1509568742666074,1509569316571044,All_of_Main_trial_8,1,0.4530246,0.5630476,1,0.4306098,0.4817274
pilot_1101_4pm_x2,1509568742682824,1509569316587796,All_of_Main_trial_8,1,0.4555506,0.5632148,1,0.4385658,0.4855615
pilot_1101_4pm_x2,1509568742699447,1509569316604420,All_of_Main_trial_8,1,0.4543899,0.5692441,1,0.4335944,0.4817712
pilot_1101_4pm_x2,1509568742716072,1509569316621047,All_of_Main_trial_8,1,0.455072,0.5659106,1,0.4361058,0.4867189
pilot_1101_4pm_x2,1509568742732697,1509569316637674,All_of_Main_trial_8,1,0.4524359,0.57587,1,0.4361915,0.4866552
pilot_1101_4pm_x2,1509568742749323,1509569316654302,All_of_Main_trial_8,1,0.4511673,0.554125,1,0.4346713,0.4832103
pilot_1101_4pm_x2,1509568742765948,1509569316670929,All_of_Main_trial_8,1,0.452556,0.5663849,1,0.4353646,0.4865972
pilot_1101_4pm_x2,1509568742782698,1509569316687681,All_of_Main_trial_8,1,0.4489978,0.5669826,1,0.4334523,0.4856743
pilot_1101_4pm_x2,1509568742799323,1509569316704308,All_of_Main_trial_8,1,0.4529752,0.5747285,1,0.4376318,0.4943536
pilot_1101_4pm_x2,1509568742815952,1509569316720939,All_of_Main_trial_8,1,0.4475699,0.5649557,1,0.4322622,0.4949591
pilot_1101_4pm_x2,1509568742832574,1509569316737563,All_of_Main_trial_8,1,0.4491411,0.5623396,1,0.4348873,0.4841525
pilot_1101_4pm_x2,1509568742849206,1509569316754197,All_of_Main_trial_8,1,0.4520737,0.5659406,1,0.4383863,0.4853591
pilot_1101_4pm_x2,1509568742865948,1509569316770941,All_of_Main_trial_8,1,0.4463412,0.5639341,1,0.4333277,0.4890816
pilot_1101_4pm_x2,1509568742882571,1509569316787566,All_of_Main_trial_8,1,0.4512207,0.5599533,1,0.4383371,0.4872899
pilot_1101_4pm_x2,1509568742899321,1509569316804317,All_of_Main_trial_8,1,0.451611,0.5627262,1,0.435552,0.4816468
pilot_1101_4pm_x2,1509568742915946,1509569316820944,All_of_Main_trial_8,1,0.4498098,0.5669751,1,0.4432882,0.480923
pilot_1101_4pm_x2,1509568742932446,1509569316837446,All_of_Main_trial_8,1,0.5136877,0.5215663,1,0.5134891,0.4363696
pilot_1101_4pm_x2,1509568742949196,1509569316854198,All_of_Main_trial_8,1,0.5149901,0.5283796,1,0.5137652,0.4486663
pilot_1101_4pm_x2,1509568742965827,1509569316870831,All_of_Main_trial_8,1,0.5207012,0.5249896,1,0.5148349,0.4402444
pilot_1101_4pm_x2,1509568742982447,1509569316887453,All_of_Main_trial_8,1,0.5205649,0.5387279,1,0.5174851,0.4481439
pilot_1101_4pm_x2,1509568742999198,1509569316904206,All_of_Main_trial_8,1,0.5228768,0.544092,1,0.5218585,0.4435403
pilot_1101_4pm_x2,1509568743015821,1509569316920831,All_of_Main_trial_8,1,0.5165263,0.5292494,1,0.5157773,0.444181
pilot_1101_4pm_x2,1509568743032446,1509569316937458,All_of_Main_trial_8,1,0.5193013,0.5365125,1,0.5175068,0.4434253
pilot_1101_4pm_x2,1509568743049071,1509569316954085,All_of_Main_trial_8,1,0.519834,0.5334359,1,0.516606,0.4407735
pilot_1101_4pm_x2,1509568743065819,1509569316970835,All_of_Main_trial_8,1,0.5149947,0.529428,1,0.5132774,0.4414721
pilot_1101_4pm_x2,1509568743082444,1509569316987462,All_of_Main_trial_8,1,0.5199404,0.5296108,1,0.5117646,0.441133
pilot_1101_4pm_x2,1509568743099070,1509569317004090,All_of_Main_trial_8,1,0.5211899,0.5351511,1,0.5088398,0.436126
pilot_1101_4pm_x2,1509568743115820,1509569317020841,All_of_Main_trial_8,1,0.5166471,0.53465,1,0.5137116,0.4380977
pilot_1101_4pm_x2,1509568743132320,1509569317037343,All_of_Main_trial_8,1,0.5192182,0.52966,1,0.5174901,0.4383363
pilot_1101_4pm_x2,1509568743148945,1509569317053970,All_of_Main_trial_8,1,0.5213012,0.5228407,1,0.5155769,0.4407008
pilot_1101_4pm_x2,1509568743165704,1509569317070731,All_of_Main_trial_8,1,0.5201224,0.5246099,1,0.5176559,0.437443
