subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1101_4pm_x2,1509567926247490,1509568500058182,All_of_noBias_trial_1,1,0.3274325,0.5648233,0,NaN,NaN
pilot_1101_4pm_x2,1509567926264366,1509568500075060,All_of_noBias_trial_1,0,NaN,NaN,1,0.3483219,0.4580435
pilot_1101_4pm_x2,1509567926280742,1509568500091438,All_of_noBias_trial_1,1,0.3306494,0.5518034,1,0.3471308,0.4508671
pilot_1101_4pm_x2,1509567926297741,1509568500108439,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_1101_4pm_x2,1509567926314117,1509568500124816,All_of_noBias_trial_1,0,NaN,NaN,1,0.3407498,0.4576136
pilot_1101_4pm_x2,1509567926330991,1509568500141693,All_of_noBias_trial_1,0,NaN,NaN,1,0.3525982,0.4526905
pilot_1101_4pm_x2,1509567926347366,1509568500158070,All_of_noBias_trial_1,1,0.3281293,0.5568278,1,0.3510787,0.4551419
pilot_1101_4pm_x2,1509567926364366,1509568500175072,All_of_noBias_trial_1,1,0.3315737,0.5849699,1,0.3537115,0.4505703
pilot_1101_4pm_x2,1509567926380616,1509568500191324,All_of_noBias_trial_1,1,0.3381702,0.5060051,1,0.3511574,0.4446461
pilot_1101_4pm_x2,1509567926397617,1509568500208327,All_of_noBias_trial_1,1,0.3313931,0.5386708,1,0.3467725,0.44764
pilot_1101_4pm_x2,1509567926413992,1509568500224703,All_of_noBias_trial_1,1,0.3332301,0.5656306,1,0.3091026,0.4779535
pilot_1101_4pm_x2,1509567926430990,1509568500241703,All_of_noBias_trial_1,1,0.3245867,0.5566373,1,0.3556826,0.4453053
pilot_1101_4pm_x2,1509567926447239,1509568500257954,All_of_noBias_trial_1,1,0.3320754,0.5737393,1,0.347625,0.4511428
pilot_1101_4pm_x2,1509567926463865,1509568500274582,All_of_noBias_trial_1,1,0.3256786,0.5347165,1,0.3453456,0.4564122
pilot_1101_4pm_x2,1509567926480501,1509568500291220,All_of_noBias_trial_1,1,0.3291506,0.572154,1,0.3564528,0.4489584
pilot_1101_4pm_x2,1509567926497250,1509568500307971,All_of_noBias_trial_1,1,0.3309129,0.5793763,1,0.3009205,0.4905821
