subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1108,1510176306465846,1510176883271394,All_of_Main_trial_6,1,0.7608091,0.4622042,1,0.8073526,0.450839
pilot_1108,1510176306482471,1510176883288020,All_of_Main_trial_6,1,0.8039852,0.4526117,1,0.8631675,0.4604128
pilot_1108,1510176306499102,1510176883304653,All_of_Main_trial_6,1,0.8284336,0.4958597,1,0.8854509,0.4538367
pilot_1108,1510176306515725,1510176883321277,All_of_Main_trial_6,1,0.8223293,0.4921296,1,0.8938771,0.4602274
pilot_1108,1510176306532351,1510176883337904,All_of_Main_trial_6,1,0.8246371,0.4852716,1,0.89643,0.4626445
pilot_1108,1510176306548977,1510176883354532,All_of_Main_trial_6,1,0.8379765,0.4858842,1,0.9021024,0.4561452
pilot_1108,1510176306565601,1510176883371156,All_of_Main_trial_6,1,0.8342628,0.481806,1,0.9088116,0.4417515
pilot_1108,1510176306582228,1510176883387785,All_of_Main_trial_6,1,0.8505315,0.4666669,1,0.8940003,0.4563762
pilot_1108,1510176306598853,1510176883404411,All_of_Main_trial_6,1,0.8393195,0.4671477,1,0.89926,0.4548564
pilot_1108,1510176306615481,1510176883421040,All_of_Main_trial_6,1,0.8249972,0.4757808,1,0.887727,0.4651172
pilot_1108,1510176306632107,1510176883437668,All_of_Main_trial_6,1,0.8314694,0.4730544,1,0.8969852,0.4499657
pilot_1108,1510176306648731,1510176883454293,All_of_Main_trial_6,1,0.8253158,0.4740237,1,0.902486,0.4479415
pilot_1108,1510176306665346,1510176883470909,All_of_Main_trial_6,1,0.8459652,0.4646825,1,0.9116993,0.4422331
pilot_1108,1510176306681972,1510176883487536,All_of_Main_trial_6,1,0.8408697,0.4484855,1,0.893939,0.4469807
pilot_1108,1510176306698498,1510176883504063,All_of_Main_trial_6,1,0.8491493,0.4609479,1,0.8975623,0.4568634
pilot_1108,1510176306715224,1510176883520791,All_of_Main_trial_6,1,0.8651119,0.4475413,1,0.8986754,0.4592085
pilot_1108,1510176306731850,1510176883537418,All_of_Main_trial_6,1,0.8477977,0.4557754,1,0.9111097,0.4507231
pilot_1108,1510176306748362,1510176883553931,All_of_Main_trial_6,1,0.8393497,0.4831573,1,0.9133153,0.4531032
pilot_1108,1510176306764988,1510176883570559,All_of_Main_trial_6,1,0.8458201,0.4635228,1,0.9340098,0.4354121
pilot_1108,1510176306781614,1510176883587186,All_of_Main_trial_6,1,0.8540054,0.4388796,1,0.9004047,0.4379714
pilot_1108,1510176306798229,1510176883603802,All_of_Main_trial_6,0,NaN,NaN,1,0.9023237,0.4603283
pilot_1108,1510176306814741,1510176883620315,All_of_Main_trial_6,1,0.8496594,0.4442496,1,0.8888965,0.4481653
pilot_1108,1510176306831365,1510176883636941,All_of_Main_trial_6,1,0.8464746,0.4332162,1,0.9562892,0.4100913
pilot_1108,1510176306847989,1510176883653566,All_of_Main_trial_6,1,0.8398065,0.4309647,1,0.9087207,0.4511994
pilot_1108,1510176306864617,1510176883670195,All_of_Main_trial_6,0,NaN,NaN,1,0.9175258,0.4336956
pilot_1108,1510176306881117,1510176883686697,All_of_Main_trial_6,1,0.7896901,0.4360932,1,0.8492954,0.4474761
pilot_1108,1510176306897617,1510176883703198,All_of_Main_trial_6,1,0.5854079,0.4327283,1,0.6545341,0.4046093
pilot_1108,1510176306914360,1510176883719942,All_of_Main_trial_6,1,0.55576,0.3991585,1,0.5568926,0.4033948
