subjectID,system_time_stamp,point_description
pilot_1109_10am,1510239755587832,Experiment Start
pilot_1109_10am,1510239761498972,Start_Practice_Trial 
pilot_1109_10am,1510239761822784,ambigAudio_Practice 
pilot_1109_10am,1510239764521193,ambigAudio_Practice End 
pilot_1109_10am,1510239764806647,ambigVideo_Practice 
pilot_1109_10am,1510239770299992,ambigVideo_Practice 
pilot_1109_10am,1510239770815240,ambigAudio_Practice_1_ball
pilot_1109_10am,1510239773461832,ambigAudio_Practice_1_ball End
pilot_1109_10am,1510239773784269,ambigVideo_Practice_1_ball
pilot_1109_10am,1510239779993816,ambigVideo_Practice_1_ball End
pilot_1109_10am,1510239780523045,trainingAudio_Practice_1_ball
pilot_1109_10am,1510239783182525,trainingAudio_Practice_1_ball
pilot_1109_10am,1510239783518113,trainingVideo_Practice_1_ball
pilot_1109_10am,1510239787227489,trainingVideo_Practice_1_ball
pilot_1109_10am,1510239787617377,trainingAudio_Practice_3_ball
pilot_1109_10am,1510239790261422,trainingAudio_Practice_3_ball End
pilot_1109_10am,1510239790614918,trainingVideo_Practice_3_ball
pilot_1109_10am,1510239795617450,trainingVideo_Practice_3_ball
pilot_1109_10am,1510239796140675,testAudio_Practice_ball
pilot_1109_10am,1510239798692857,testAudio_Practice_ball End
pilot_1109_10am,1510239799043192,left_testVideo_Practice_ball
pilot_1109_10am,1510239804254858,left_testVideo_Practice_ball End
pilot_1109_10am,1510239804761393,right_testVideo_Practice_ball
pilot_1109_10am,1510239809211916,testAudio_Practice_ball
pilot_1109_10am,1510239811932640,testVideos_Practice_ball
pilot_1109_10am,1510239822930222,End_Practice_Trial_1 
pilot_1109_10am,1510239823159688,attention grabber start
pilot_1109_10am,1510239831526050,Start_Practice_Trial_3 
pilot_1109_10am,1510239831566469,ambigAudio_Practice_1_cake
pilot_1109_10am,1510239834874791,ambigVideo_Practice_1_cake
pilot_1109_10am,1510239840193130,trainingAudio_Practice_1_cake
pilot_1109_10am,1510239843034317,trainingVideo_Practice_1_cake
pilot_1109_10am,1510239849742579,trainingAudio_Practice_1_cake
pilot_1109_10am,1510239852566891,trainingVideo_Practice_2_cake
pilot_1109_10am,1510239857688638,trainingAudio_Practice_3_cake
pilot_1109_10am,1510239860566670,trainingVideo_Practice_3_cake
pilot_1109_10am,1510239865556881,testAudio_Practice_cake
pilot_1109_10am,1510239868647069,left_testVideo_Practice_cake
pilot_1109_10am,1510239875133897,right_testVideo_Practice_cake
pilot_1109_10am,1510239880429580,testAudio_Practice_cake
pilot_1109_10am,1510239883460445,testVideos_Practice_cake
pilot_1109_10am,1510239895615930,End__Practice_Trial_3 
pilot_1109_10am,1510239895775997,attention grabber
pilot_1109_10am,1510239904067850,Start_noBias_Trial 1
pilot_1109_10am,1510239904161854,ambigAudio_noBias1
pilot_1109_10am,1510239908353891,ambigVideo_noBias1
pilot_1109_10am,1510239914454650,ambigAudio_noBias1
pilot_1109_10am,1510239917907712,trainingAudio_noBias_1 1
pilot_1109_10am,1510239921663669,trainingVideo_noBias_1 1
pilot_1109_10am,1510239927716601,trainingAudio_noBias_1 1
pilot_1109_10am,1510239932161025,trainingAudio_noBias_2 1
pilot_1109_10am,1510239936168331,trainingVideo_noBias_21
pilot_1109_10am,1510239942328281,trainingAudio_noBias_2 1
pilot_1109_10am,1510239947028871,trainingAudio_noBias_3 1
pilot_1109_10am,1510239950833687,trainingVideo_noBias_3 1
pilot_1109_10am,1510239956986901,trainingAudio_noBias_3 1
pilot_1109_10am,1510239961766899,testAudio_noBias1
pilot_1109_10am,1510239964594512,left_testVideo_noBias 1
pilot_1109_10am,1510239970724742,right_testVideo_noBias 1
pilot_1109_10am,1510239976896438,testAudio 1
pilot_1109_10am,1510239979002877,testVideos 1
pilot_1109_10am,1510239993693320,End_NoBias_Trial 1
pilot_1109_10am,1510239993902163,recenter 1
pilot_1109_10am,1510240003616233,Start_noBias_Trial 2
pilot_1109_10am,1510240003707987,ambigAudio_noBias2
pilot_1109_10am,1510240008180399,ambigVideo_noBias2
pilot_1109_10am,1510240014278103,ambigAudio_noBias2
pilot_1109_10am,1510240017839315,trainingAudio_noBias_1 2
pilot_1109_10am,1510240021878595,trainingVideo_noBias_1 2
pilot_1109_10am,1510240028006467,trainingAudio_noBias_1 2
pilot_1109_10am,1510240033119103,trainingAudio_noBias_2 2
pilot_1109_10am,1510240037209362,trainingVideo_noBias_22
pilot_1109_10am,1510240043350381,trainingAudio_noBias_2 2
pilot_1109_10am,1510240048411683,trainingAudio_noBias_3 2
pilot_1109_10am,1510240052369109,trainingVideo_noBias_3 2
pilot_1109_10am,1510240058490186,trainingAudio_noBias_3 2
pilot_1109_10am,1510240063511877,testAudio_noBias2
pilot_1109_10am,1510240065983227,left_testVideo_noBias 2
pilot_1109_10am,1510240072103504,left_testVideo_noBias 2
pilot_1109_10am,1510240078232602,testVideos_noBias 2
pilot_1109_10am,1510240092928995,End_NoBias_Trial 2
pilot_1109_10am,1510240093161252,recenter 2
pilot_1109_10am,1510240102807350,Start_noBias_Trial 3
pilot_1109_10am,1510240102897975,ambigAudio_noBias3
pilot_1109_10am,1510240106747089,ambigVideo_noBias3
pilot_1109_10am,1510240112832603,ambigAudio_noBias3
pilot_1109_10am,1510240115777701,trainingAudio_noBias_1 3
pilot_1109_10am,1510240119681499,trainingVideo_noBias_1 3
pilot_1109_10am,1510240125807354,trainingAudio_noBias_1 3
pilot_1109_10am,1510240130399030,trainingAudio_noBias_2 3
pilot_1109_10am,1510240134398709,trainingVideo_noBias_23
pilot_1109_10am,1510240140557697,trainingAudio_noBias_2 3
pilot_1109_10am,1510240145187823,trainingAudio_noBias_3 3
pilot_1109_10am,1510240149099989,trainingVideo_noBias_3 3
pilot_1109_10am,1510240155320436,trainingAudio_noBias_3 3
pilot_1109_10am,1510240160032483,testAudio_noBias3
pilot_1109_10am,1510240162555861,left_testVideo_noBias 3
pilot_1109_10am,1510240168684354,left_testVideo_noBias 3
pilot_1109_10am,1510240174852884,testVideos_noBias 3
pilot_1109_10am,1510240189634967,End_NoBias_Trial 3
pilot_1109_10am,1510240189879880,recenter 3
pilot_1109_10am,1510240198677968,Start_noBias_Trial 4
pilot_1109_10am,1510240198731815,ambigAudio_noBias4
pilot_1109_10am,1510240202472106,ambigVideo_noBias4
pilot_1109_10am,1510240208514904,ambigAudio_noBias4
pilot_1109_10am,1510240211568525,trainingAudio_noBias_1 4
pilot_1109_10am,1510240215189099,trainingVideo_noBias_1 4
pilot_1109_10am,1510240221263198,trainingAudio_noBias_1 4
pilot_1109_10am,1510240225853971,trainingAudio_noBias_2 4
pilot_1109_10am,1510240229847648,trainingVideo_noBias_24
pilot_1109_10am,1510240235872811,trainingAudio_noBias_2 4
pilot_1109_10am,1510240240721600,trainingAudio_noBias_3 4
pilot_1109_10am,1510240244512469,trainingVideo_noBias_3 4
pilot_1109_10am,1510240250609320,trainingAudio_noBias_3 4
pilot_1109_10am,1510240255391253,testAudio_noBias4
pilot_1109_10am,1510240258037725,left_testVideo_noBias 4
pilot_1109_10am,1510240264078767,right_testVideo_noBias 4
pilot_1109_10am,1510240270259245,testAudio 4
pilot_1109_10am,1510240272344122,testVideos 4
pilot_1109_10am,1510240287349695,End_NoBias_Trial 4
pilot_1109_10am,1510240287655099,recenter 4
pilot_1109_10am,1510240296993642,Start_Trial 5
pilot_1109_10am,1510240297125781,ambigAudio_Main5
pilot_1109_10am,1510240300800308,ambigVideo_Main 5
pilot_1109_10am,1510240306897965,ambigAudio_Main 5
pilot_1109_10am,1510240309862592,biasAudio_Main5
pilot_1109_10am,1510240312197851,left_biasVideo_Main 5
pilot_1109_10am,1510240318321341,right_biasVideo_Main 5
pilot_1109_10am,1510240324443799,audio_biasTest_Main 5
pilot_1109_10am,1510240326296951,biasTest_Main 5
pilot_1109_10am,1510240343130652,trainingAudio_1_Main 5
pilot_1109_10am,1510240346771369,trainingVideo_1_Main 5
pilot_1109_10am,1510240352938094,trainingAudio_1_Main 5
