subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1115,1510781855195918,1510782434298556,All_of_Practice_1,1,0.5076623,0.1853404,1,0.590111,0.191068
pilot_1115,1510781855212668,1510782434315307,All_of_Practice_1,1,0.5263516,0.1975678,1,0.5845944,0.1711623
pilot_1115,1510781855229294,1510782434331933,All_of_Practice_1,1,0.5108106,0.2024673,1,0.6054801,0.1518443
pilot_1115,1510781855245920,1510782434348561,All_of_Practice_1,1,0.5180898,0.2073669,1,0.6062393,0.1785073
pilot_1115,1510781855262553,1510782434365195,All_of_Practice_1,1,0.5016572,0.1946372,1,0.5858713,0.2091078
pilot_1115,1510781855279297,1510782434381941,All_of_Practice_1,1,0.5113098,0.1972439,1,0.5913795,0.1456237
pilot_1115,1510781855295924,1510782434398569,All_of_Practice_1,1,0.5254315,0.1837154,1,0.5841625,0.1844927
pilot_1115,1510781855312557,1510782434415203,All_of_Practice_1,1,0.5076501,0.1262109,1,0.585429,0.1551263
pilot_1115,1510781855329177,1510782434431824,All_of_Practice_1,1,0.5268353,0.1674125,1,0.5902635,0.2101545
pilot_1115,1510781855345800,1510782434448448,All_of_Practice_1,1,0.495077,0.2143878,1,0.6074064,0.142436
pilot_1115,1510781855362556,1510782434465205,All_of_Practice_1,1,0.5102599,0.2281144,1,0.5960016,0.1352521
pilot_1115,1510781855379178,1510782434481828,All_of_Practice_1,1,0.4930416,0.1820302,1,0.6036286,0.1280681
pilot_1115,1510781855395804,1510782434498455,All_of_Practice_1,1,0.522377,0.2120008,1,0.5773944,0.1772421
pilot_1115,1510781855412430,1510782434515083,All_of_Practice_1,1,0.5018857,0.222712,1,0.6014732,0.142561
pilot_1115,1510781855429056,1510782434531710,All_of_Practice_1,1,0.5168722,0.2225754,1,0.5890958,0.161603
pilot_1115,1510781855445807,1510782434548462,All_of_Practice_1,1,0.4973451,0.1337164,1,0.6010225,0.1448297
pilot_1115,1510781855462433,1510782434565089,All_of_Practice_1,1,0.5051592,0.2118782,1,0.5872256,0.1743076
pilot_1115,1510781855479059,1510782434581716,All_of_Practice_1,1,0.5113203,0.1868727,1,0.6164252,0.1287354
pilot_1115,1510781855495685,1510782434598343,All_of_Practice_1,1,0.5030476,0.1590084,1,0.5902523,0.1543405
pilot_1115,1510781855512312,1510782434614971,All_of_Practice_1,1,0.512287,0.2172071,1,0.5908819,0.1820971
pilot_1115,1510781855529060,1510782434631720,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1115,1510781855545686,1510782434648347,All_of_Practice_1,0,NaN,NaN,0,NaN,NaN
pilot_1115,1510781855562313,1510782434664976,All_of_Practice_1,1,0.5060976,0.1948404,0,NaN,NaN
pilot_1115,1510781855579064,1510782434681728,All_of_Practice_1,1,0.519399,0.1948511,1,0.585814,0.1971847
pilot_1115,1510781855595565,1510782434698230,All_of_Practice_1,1,0.5165429,0.2012807,1,0.5955455,0.1978667
pilot_1115,1510781855612317,1510782434714983,All_of_Practice_1,1,0.5136868,0.203431,1,0.5955455,0.1978667
pilot_1115,1510781855628943,1510782434731610,All_of_Practice_1,1,0.5147985,0.2100575,1,0.5956269,0.1700062
pilot_1115,1510781855645569,1510782434748237,All_of_Practice_1,1,0.510034,0.2364212,1,0.5886813,0.1746769
pilot_1115,1510781855662319,1510782434764988,All_of_Practice_1,1,0.5054212,0.2397352,1,0.5913341,0.1744678
pilot_1115,1510781855678945,1510782434781615,All_of_Practice_1,1,0.5008084,0.2430492,1,0.587588,0.1742586
pilot_1115,1510781855695575,1510782434798247,All_of_Practice_1,1,0.5181299,0.208897,1,0.5877129,0.1711565
pilot_1115,1510781855712195,1510782434814868,All_of_Practice_1,1,0.5124355,0.232759,1,0.5883797,0.1778367
pilot_1115,1510781855728822,1510782434831497,All_of_Practice_1,1,0.5130272,0.2303942,1,0.5947648,0.2057497
pilot_1115,1510781855745587,1510782434848262,All_of_Practice_1,1,0.5136189,0.2280294,1,0.5973377,0.2195075
pilot_1115,1510781855762199,1510782434864876,All_of_Practice_1,1,0.5110436,0.1830337,1,0.5841036,0.1696301
pilot_1115,1510781855778825,1510782434881503,All_of_Practice_1,1,0.5017939,0.2051458,1,0.6049126,0.1839236
pilot_1115,1510781855795452,1510782434898130,All_of_Practice_1,1,0.5071847,0.1988617,1,0.5897636,0.2037545
pilot_1115,1510781855812203,1510782434914883,All_of_Practice_1,1,0.5028151,0.1925776,1,0.5985865,0.2198938
pilot_1115,1510781855828829,1510782434931511,All_of_Practice_1,1,0.5059394,0.2284989,1,0.5841932,0.1889239
pilot_1115,1510781855845466,1510782434948149,All_of_Practice_1,1,0.5099396,0.2070967,1,0.5949895,0.1623721
pilot_1115,1510781855862206,1510782434964890,All_of_Practice_1,1,0.5059412,0.2115226,1,0.587193,0.1881654
pilot_1115,1510781855878712,1510782434981397,All_of_Practice_1,1,0.5072751,0.2159486,1,0.5917918,0.1790619
pilot_1115,1510781855895462,1510782434998148,All_of_Practice_1,1,0.4316391,0.2247104,1,0.5210611,0.2383365
pilot_1115,1510781855912082,1510782435014769,All_of_Practice_1,1,0.4304329,0.2411639,1,0.5143951,0.2156679
pilot_1115,1510781855928711,1510782435031399,All_of_Practice_1,1,0.4337986,0.2608262,1,0.5100256,0.2351822
pilot_1115,1510781855945477,1510782435048166,All_of_Practice_1,1,0.4341164,0.2783493,1,0.5056561,0.2265746
pilot_1115,1510781855962091,1510782435064782,All_of_Practice_1,1,0.4217786,0.2296835,1,0.5214423,0.245369
pilot_1115,1510781855978731,1510782435081423,All_of_Practice_1,1,0.4396163,0.2162214,1,0.527272,0.2608242
pilot_1115,1510781855995338,1510782435098031,All_of_Practice_1,1,0.4338716,0.218107,1,0.5216975,0.2528131
pilot_1115,1510781856011964,1510782435114658,All_of_Practice_1,1,0.4281269,0.2199926,1,0.5237258,0.2604462
pilot_1115,1510781856028728,1510782435131423,All_of_Practice_1,1,0.4270823,0.2651055,1,0.5189062,0.2416757
pilot_1115,1510781856045342,1510782435148038,All_of_Practice_1,1,0.4278723,0.2167123,1,0.5244205,0.2428106
pilot_1115,1510781856061968,1510782435164665,All_of_Practice_1,0,NaN,NaN,1,0.5223436,0.2333079
pilot_1115,1510781856078596,1510782435181294,All_of_Practice_1,0,NaN,NaN,1,0.5253274,0.2308969
pilot_1115,1510781856095218,1510782435197917,All_of_Practice_1,0,NaN,NaN,1,0.518119,0.2173596
pilot_1115,1510781856111968,1510782435214669,All_of_Practice_1,0,NaN,NaN,1,0.5290576,0.2240374
pilot_1115,1510781856128597,1510782435231299,All_of_Practice_1,1,0.4459982,0.203396,1,0.5244329,0.2586083
pilot_1115,1510781856145221,1510782435247924,All_of_Practice_1,1,0.4459982,0.203396,1,0.5301837,0.2745838
pilot_1115,1510781856161847,1510782435264551,All_of_Practice_1,1,0.4295247,0.2161389,1,0.5112813,0.2552237
pilot_1115,1510781856178473,1510782435281178,All_of_Practice_1,1,0.4271604,0.2570367,1,0.513383,0.2469741
pilot_1115,1510781856195224,1510782435297930,All_of_Practice_1,1,0.4341502,0.2125504,1,0.5279391,0.2294209
pilot_1115,1510781856211850,1510782435314557,All_of_Practice_1,1,0.4349039,0.2249869,1,0.5341924,0.2180701
pilot_1115,1510781856228483,1510782435331192,All_of_Practice_1,1,0.4361502,0.2226014,1,0.5096813,0.2539946
pilot_1115,1510781856245103,1510782435347813,All_of_Practice_1,1,0.4312883,0.2313691,1,0.5166215,0.2724941
pilot_1115,1510781856261727,1510782435364438,All_of_Practice_1,1,0.4456676,0.2027898,1,0.5179769,0.265231
pilot_1115,1510781856278483,1510782435381195,All_of_Practice_1,1,0.4472195,0.1991086,1,0.5193322,0.2751429
pilot_1115,1510781856295104,1510782435397817,All_of_Practice_1,1,0.4400216,0.2422611,1,0.518154,0.2338685
pilot_1115,1510781856311731,1510782435414445,All_of_Practice_1,1,0.443559,0.2127673,1,0.5162042,0.252213
pilot_1115,1510781856328356,1510782435431071,All_of_Practice_1,1,0.4387774,0.2406366,1,0.5092978,0.2704871
pilot_1115,1510781856345107,1510782435447824,All_of_Practice_1,1,0.4395417,0.2302638,1,0.5056958,0.2887613
pilot_1115,1510781856361734,1510782435464452,All_of_Practice_1,1,0.4334945,0.2465508,1,0.5179464,0.2550196
pilot_1115,1510781856378359,1510782435481078,All_of_Practice_1,1,0.4284739,0.2473529,1,0.5134604,0.2638477
pilot_1115,1510781856395111,1510782435497831,All_of_Practice_1,0,NaN,NaN,1,0.5127141,0.2143238
pilot_1115,1510781856411611,1510782435514333,All_of_Practice_1,0,NaN,NaN,1,0.5119678,0.2037012
pilot_1115,1510781856428370,1510782435531092,All_of_Practice_1,0,NaN,NaN,1,0.5104026,0.2614264
pilot_1115,1510781856444987,1510782435547710,All_of_Practice_1,0,NaN,NaN,1,0.5110155,0.2659396
pilot_1115,1510781856461613,1510782435564338,All_of_Practice_1,0,NaN,NaN,1,0.5151553,0.2290462
pilot_1115,1510781856478369,1510782435581095,All_of_Practice_1,0,NaN,NaN,1,0.5169439,0.2197572
pilot_1115,1510781856494865,1510782435597592,All_of_Practice_1,0,NaN,NaN,1,0.5186417,0.2426015
pilot_1115,1510781856511617,1510782435614345,All_of_Practice_1,0,NaN,NaN,1,0.5187561,0.2659099
pilot_1115,1510781856528368,1510782435631098,All_of_Practice_1,0,NaN,NaN,1,0.5167798,0.2470681
pilot_1115,1510781856544869,1510782435647600,All_of_Practice_1,0,NaN,NaN,1,0.5161973,0.2563265
