subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1117,1510935729121805,1510936308172513,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729138112,1510936308188821,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729154778,1510936308205488,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729171045,1510936308221756,All_of_noBias_trial_3,1,0.4006921,0.5266626,1,0.4003657,0.5463021
pilot_1117,1510935729188297,1510936308239009,All_of_noBias_trial_3,1,0.3955284,0.5290577,0,NaN,NaN
pilot_1117,1510935729204296,1510936308255009,All_of_noBias_trial_3,1,0.4113164,0.5216824,1,0.4060546,0.5520433
pilot_1117,1510935729221547,1510936308272261,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729238235,1510936308288950,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729254901,1510936308305617,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729271550,1510936308322267,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729288237,1510936308338955,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729304903,1510936308355622,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1117,1510935729321553,1510936308372273,All_of_noBias_trial_3,1,0.4007928,0.5328431,1,0.4066732,0.5220103
pilot_1117,1510935729338053,1510936308388774,All_of_noBias_trial_3,1,0.3983491,0.5367419,1,0.4019333,0.5262299
pilot_1117,1510935729354680,1510936308405402,All_of_noBias_trial_3,1,0.4024644,0.5226624,1,0.4053192,0.529916
pilot_1117,1510935729371306,1510936308422029,All_of_noBias_trial_3,1,0.4007025,0.5287908,1,0.3964871,0.5329696
pilot_1117,1510935729387930,1510936308438653,All_of_noBias_trial_3,1,0.400502,0.5268826,1,0.4028778,0.5250589
pilot_1117,1510935729404681,1510936308455405,All_of_noBias_trial_3,1,0.3919805,0.5292762,1,0.3977559,0.531933
pilot_1117,1510935729421307,1510936308472032,All_of_noBias_trial_3,1,0.4035062,0.5250546,1,0.3954034,0.5291205
pilot_1117,1510935729437933,1510936308488659,All_of_noBias_trial_3,1,0.457994,0.5021251,1,0.4728911,0.5149757
pilot_1117,1510935729454558,1510936308505285,All_of_noBias_trial_3,1,0.6138667,0.4374711,1,0.6531243,0.44946
pilot_1117,1510935729471310,1510936308522038,All_of_noBias_trial_3,1,0.6517421,0.4219775,1,0.739979,0.4298503
pilot_1117,1510935729487935,1510936308538664,All_of_noBias_trial_3,1,0.7436944,0.3822546,1,0.7480449,0.4303711
pilot_1117,1510935729504562,1510936308555292,All_of_noBias_trial_3,1,0.7566354,0.4079525,1,0.7658602,0.4171934
pilot_1117,1510935729521188,1510936308571919,All_of_noBias_trial_3,1,0.7820044,0.3738187,1,0.7463779,0.4322181
pilot_1117,1510935729537816,1510936308588548,All_of_noBias_trial_3,1,0.7709844,0.4035248,1,0.7599553,0.4108036
