subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1120_11am,1511192149528152,1511192729992960,All_of_Main_trial_6,1,0.9410995,0.4149358,1,1.000706,0.3731771
pilot_1120_11am,1511192149544782,1511192730009592,All_of_Main_trial_6,1,0.9506024,0.4125633,1,0.9918576,0.3809302
pilot_1120_11am,1511192149561401,1511192730026214,All_of_Main_trial_6,1,0.9336169,0.4216368,1,1.000449,0.3750198
pilot_1120_11am,1511192149578026,1511192730042841,All_of_Main_trial_6,1,0.9408893,0.4131212,1,0.9998958,0.3868156
pilot_1120_11am,1511192149594773,1511192730059591,All_of_Main_trial_6,1,0.9392765,0.4159229,1,0.9932674,0.386133
pilot_1120_11am,1511192149611400,1511192730076220,All_of_Main_trial_6,1,0.9458792,0.4277993,1,0.9936022,0.3851811
pilot_1120_11am,1511192149628024,1511192730092847,All_of_Main_trial_6,1,0.9283233,0.4247374,1,0.9934776,0.3782626
pilot_1120_11am,1511192149644647,1511192730109472,All_of_Main_trial_6,1,0.9307183,0.4179505,1,0.9973577,0.3722477
pilot_1120_11am,1511192149661273,1511192730126101,All_of_Main_trial_6,1,0.9552394,0.4136099,1,0.9946641,0.3794035
pilot_1120_11am,1511192149678022,1511192730142852,All_of_Main_trial_6,1,0.9359558,0.4242561,1,0.9996441,0.3884106
pilot_1120_11am,1511192149694648,1511192730159481,All_of_Main_trial_6,1,0.9468348,0.4151121,1,0.9888864,0.3931395
pilot_1120_11am,1511192149711272,1511192730176107,All_of_Main_trial_6,1,0.9426679,0.4203258,1,0.9895591,0.3875685
pilot_1120_11am,1511192149727896,1511192730192734,All_of_Main_trial_6,1,0.9448103,0.4171765,1,0.9944183,0.3919624
pilot_1120_11am,1511192149744660,1511192730209500,All_of_Main_trial_6,1,0.9393393,0.4331665,1,0.9966455,0.3831402
pilot_1120_11am,1511192149761272,1511192730226115,All_of_Main_trial_6,1,0.9368798,0.4193584,1,0.9974441,0.3845264
pilot_1120_11am,1511192149777895,1511192730242740,All_of_Main_trial_6,1,0.9406658,0.4250578,1,0.9978118,0.3757326
pilot_1120_11am,1511192149794518,1511192730259366,All_of_Main_trial_6,1,0.9426116,0.4271621,1,0.9920605,0.3784751
pilot_1120_11am,1511192149811143,1511192730275993,All_of_Main_trial_6,1,0.935374,0.4209998,1,0.9946378,0.3894341
pilot_1120_11am,1511192149827893,1511192730292746,All_of_Main_trial_6,1,0.9473367,0.4100575,1,1.000762,0.3903765
pilot_1120_11am,1511192149844517,1511192730309372,All_of_Main_trial_6,1,0.943965,0.4178517,1,0.9933943,0.3908822
pilot_1120_11am,1511192149861142,1511192730326000,All_of_Main_trial_6,1,0.944746,0.4297857,1,0.9918647,0.3975061
pilot_1120_11am,1511192149877767,1511192730342627,All_of_Main_trial_6,1,0.9534846,0.4202497,1,0.9884757,0.3832668
pilot_1120_11am,1511192149894519,1511192730359382,All_of_Main_trial_6,1,0.939451,0.432537,1,0.9794362,0.3942422
pilot_1120_11am,1511192149911142,1511192730376007,All_of_Main_trial_6,1,0.7514373,0.4031173,1,0.7668769,0.3756706
pilot_1120_11am,1511192149927770,1511192730392638,All_of_Main_trial_6,1,0.615422,0.3896854,1,0.6031531,0.3747458
pilot_1120_11am,1511192149944392,1511192730409262,All_of_Main_trial_6,1,0.5401807,0.3561823,1,0.5092117,0.346734
pilot_1120_11am,1511192149961016,1511192730425889,All_of_Main_trial_6,1,0.5245386,0.3855571,1,0.5110074,0.3317806
pilot_1120_11am,1511192149977764,1511192730442639,All_of_Main_trial_6,1,0.5310454,0.359258,1,0.5148035,0.3331436
pilot_1120_11am,1511192149994389,1511192730459267,All_of_Main_trial_6,1,0.5299001,0.3847096,1,0.5071857,0.3430623
pilot_1120_11am,1511192150011012,1511192730475892,All_of_Main_trial_6,1,0.5264671,0.3951719,1,0.51523,0.3481287
pilot_1120_11am,1511192150027647,1511192730492530,All_of_Main_trial_6,1,0.529848,0.3632606,1,0.5154353,0.3434456
pilot_1120_11am,1511192150044388,1511192730509273,All_of_Main_trial_6,1,0.5285866,0.3749359,1,0.5141772,0.3469153
pilot_1120_11am,1511192150061013,1511192730525901,All_of_Main_trial_6,1,0.5368247,0.3672284,1,0.5205679,0.3384686
pilot_1120_11am,1511192150077637,1511192730542527,All_of_Main_trial_6,1,0.5297065,0.3648148,1,0.5096588,0.356608
pilot_1120_11am,1511192150094259,1511192730559152,All_of_Main_trial_6,1,0.5295378,0.3689972,1,0.5129478,0.338458
pilot_1120_11am,1511192150110887,1511192730575782,All_of_Main_trial_6,1,0.5256393,0.3727469,1,0.5021725,0.3571904
pilot_1120_11am,1511192150127637,1511192730592535,All_of_Main_trial_6,1,0.527106,0.3833144,1,0.5174345,0.34437
pilot_1120_11am,1511192150144262,1511192730609162,All_of_Main_trial_6,1,0.5111769,0.4358541,1,0.4846285,0.4016454
pilot_1120_11am,1511192150160884,1511192730625787,All_of_Main_trial_6,1,0.5209678,0.4124405,1,0.4957188,0.3764606
pilot_1120_11am,1511192150177508,1511192730642413,All_of_Main_trial_6,1,0.5047542,0.4411744,1,0.4892918,0.3955734
pilot_1120_11am,1511192150194259,1511192730659167,All_of_Main_trial_6,1,0.5080322,0.4274827,1,0.496478,0.3935187
pilot_1120_11am,1511192150210884,1511192730675794,All_of_Main_trial_6,1,0.5088707,0.4142767,1,0.4908265,0.4049226
pilot_1120_11am,1511192150227508,1511192730692421,All_of_Main_trial_6,1,0.5149885,0.419551,1,0.4895737,0.3707846
pilot_1120_11am,1511192150244133,1511192730709048,All_of_Main_trial_6,1,0.5178102,0.4248658,1,0.4860587,0.388635
pilot_1120_11am,1511192150260884,1511192730725802,All_of_Main_trial_6,1,0.5095655,0.4287328,1,0.4893613,0.385332
pilot_1120_11am,1511192150277508,1511192730742428,All_of_Main_trial_6,1,0.5189829,0.4117447,1,0.4918441,0.3910298
