subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1120_11am,1511191644009844,1511192224398614,All_of_noBias_trial_1,1,0.1758128,0.3677889,1,0.1951886,0.3791183
pilot_1120_11am,1511191644026469,1511192224415240,All_of_noBias_trial_1,1,0.1841881,0.3788083,1,0.1916473,0.363799
pilot_1120_11am,1511191644043093,1511192224431868,All_of_noBias_trial_1,1,0.1805978,0.3416169,0,NaN,NaN
pilot_1120_11am,1511191644059718,1511192224448494,All_of_noBias_trial_1,1,0.2237846,0.4091088,1,0.2149415,0.3775645
pilot_1120_11am,1511191644076467,1511192224465247,All_of_noBias_trial_1,1,0.2152973,0.3730459,1,0.2045307,0.388701
pilot_1120_11am,1511191644093093,1511192224481874,All_of_noBias_trial_1,1,0.2103196,0.3830609,1,0.2121447,0.4006787
pilot_1120_11am,1511191644109717,1511192224498501,All_of_noBias_trial_1,1,0.2106014,0.3677016,1,0.2140042,0.3937756
pilot_1120_11am,1511191644126342,1511192224515129,All_of_noBias_trial_1,1,0.215101,0.3893485,1,0.2065197,0.3892546
pilot_1120_11am,1511191644142967,1511192224531756,All_of_noBias_trial_1,1,0.2172181,0.3969762,1,0.2142299,0.3960858
pilot_1120_11am,1511191644159717,1511192224548509,All_of_noBias_trial_1,1,0.2076913,0.3835214,1,0.2119396,0.391295
pilot_1120_11am,1511191644176341,1511192224565135,All_of_noBias_trial_1,1,0.205958,0.4057733,1,0.2151322,0.3852585
pilot_1120_11am,1511191644192964,1511192224581761,All_of_noBias_trial_1,1,0.2219564,0.3903708,1,0.2195902,0.3872863
pilot_1120_11am,1511191644209597,1511192224598396,All_of_noBias_trial_1,1,0.2185683,0.3767243,1,0.2096862,0.4012229
pilot_1120_11am,1511191644226338,1511192224615140,All_of_noBias_trial_1,1,0.2077187,0.3895083,1,0.210848,0.3839372
pilot_1120_11am,1511191644242963,1511192224631767,All_of_noBias_trial_1,1,0.2145465,0.3647749,1,0.2150589,0.3998314
pilot_1120_11am,1511191644259602,1511192224648408,All_of_noBias_trial_1,1,0.2160243,0.3780653,1,0.2166686,0.3823129
pilot_1120_11am,1511191644276213,1511192224665022,All_of_noBias_trial_1,1,0.2069282,0.3770272,1,0.2188558,0.3908706
pilot_1120_11am,1511191644292837,1511192224681648,All_of_noBias_trial_1,1,0.2121844,0.3951884,1,0.2183131,0.3988806
pilot_1120_11am,1511191644309588,1511192224698402,All_of_noBias_trial_1,1,0.2116317,0.368244,1,0.2171622,0.3772226
pilot_1120_11am,1511191644326211,1511192224715027,All_of_noBias_trial_1,1,0.2152093,0.3869613,1,0.2105577,0.3920506
pilot_1120_11am,1511191644342839,1511192224731658,All_of_noBias_trial_1,1,0.2095706,0.3664964,1,0.214641,0.3713371
pilot_1120_11am,1511191644359462,1511192224748283,All_of_noBias_trial_1,1,0.2183838,0.3571027,1,0.215844,0.3854606
pilot_1120_11am,1511191644376209,1511192224765033,All_of_noBias_trial_1,1,0.2053186,0.3598772,1,0.211615,0.3943134
