subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_adult2,1501686955033944,1501687492733644,All_of_Extend_trial_6,1,0.6779886,0.5073511,1,0.7261861,0.4988723
pilot_adult2,1501686955050570,1501687492750271,All_of_Extend_trial_6,1,0.6701113,0.5035411,1,0.7182077,0.5066938
pilot_adult2,1501686955067310,1501687492767013,All_of_Extend_trial_6,1,0.6672403,0.5066964,1,0.7213846,0.5028687
pilot_adult2,1501686955083946,1501687492783651,All_of_Extend_trial_6,1,0.6725537,0.49851,1,0.7259732,0.5041248
pilot_adult2,1501686955100571,1501687492800277,All_of_Extend_trial_6,1,0.6709511,0.4947162,1,0.7296243,0.4941901
pilot_adult2,1501686955117196,1501687492816904,All_of_Extend_trial_6,1,0.6690071,0.5063105,1,0.7233983,0.5082749
pilot_adult2,1501686955133947,1501687492833657,All_of_Extend_trial_6,1,0.6778289,0.4964038,1,0.7240649,0.5087777
pilot_adult2,1501686955150562,1501687492850274,All_of_Extend_trial_6,1,0.6740081,0.4989409,1,0.7232673,0.5024887
pilot_adult2,1501686955167197,1501687492866911,All_of_Extend_trial_6,1,0.663753,0.5054779,1,0.7208694,0.5059094
pilot_adult2,1501686955183821,1501687492883536,All_of_Extend_trial_6,1,0.6684949,0.4944643,1,0.7273824,0.501227
pilot_adult2,1501686955200560,1501687492900278,All_of_Extend_trial_6,1,0.6709802,0.5024793,1,0.7224076,0.4968159
pilot_adult2,1501686955217077,1501687492916796,All_of_Extend_trial_6,1,0.6669392,0.5059147,1,0.7265245,0.4980732
pilot_adult2,1501686955233822,1501687492933543,All_of_Extend_trial_6,1,0.6690078,0.501071,1,0.7284421,0.5040133
pilot_adult2,1501686955250452,1501687492950175,All_of_Extend_trial_6,1,0.6670258,0.4958426,1,0.7250831,0.5002341
pilot_adult2,1501686955267183,1501687492966907,All_of_Extend_trial_6,1,0.5788119,0.4826116,1,0.6033144,0.4945139
pilot_adult2,1501686955283823,1501687492983549,All_of_Extend_trial_6,1,0.5019259,0.4652327,1,0.5105366,0.4922392
pilot_adult2,1501686955300448,1501687493000176,All_of_Extend_trial_6,1,0.5144536,0.4682559,1,0.5250577,0.486154
pilot_adult2,1501686955317073,1501687493016802,All_of_Extend_trial_6,1,0.5179364,0.4633865,1,0.5203098,0.4872526
pilot_adult2,1501686955333700,1501687493033431,All_of_Extend_trial_6,1,0.5155181,0.4536315,1,0.516237,0.4829481
pilot_adult2,1501686955350324,1501687493050057,All_of_Extend_trial_6,1,0.5100718,0.4727862,1,0.5163431,0.4837768
pilot_adult2,1501686955366947,1501687493066681,All_of_Extend_trial_6,1,0.518496,0.4628303,1,0.5211356,0.4815023
pilot_adult2,1501686955383698,1501687493083434,All_of_Extend_trial_6,1,0.5003833,0.4708841,1,0.5198363,0.472468
pilot_adult2,1501686955400334,1501687493100072,All_of_Extend_trial_6,1,0.510041,0.4592357,1,0.5188404,0.4841811
pilot_adult2,1501686955417064,1501687493116805,All_of_Extend_trial_6,1,0.5082108,0.4714537,1,0.5210199,0.4878055
pilot_adult2,1501686955433688,1501687493133430,All_of_Extend_trial_6,1,0.5054321,0.4654092,1,0.5196539,0.4807601
pilot_adult2,1501686955450325,1501687493150069,All_of_Extend_trial_6,1,0.5103569,0.4656574,1,0.5180503,0.4741142
pilot_adult2,1501686955466950,1501687493166696,All_of_Extend_trial_6,1,0.5154692,0.4611265,1,0.5149397,0.4905417
pilot_adult2,1501686955483576,1501687493183323,All_of_Extend_trial_6,1,0.5231766,0.4565212,1,0.519336,0.4778164
pilot_adult2,1501686955500315,1501687493200064,All_of_Extend_trial_6,1,0.5164803,0.4642357,1,0.5160069,0.4836558
pilot_adult2,1501686955516941,1501687493216692,All_of_Extend_trial_6,1,0.5220183,0.4642847,1,0.513249,0.4908102
pilot_adult2,1501686955533581,1501687493233333,All_of_Extend_trial_6,1,0.5175247,0.4539494,1,0.5155304,0.494602
pilot_adult2,1501686955550200,1501687493249954,All_of_Extend_trial_6,1,0.5142943,0.466498,1,0.5174122,0.4765518
pilot_adult2,1501686955566940,1501687493266696,All_of_Extend_trial_6,1,0.5144821,0.4605245,1,0.5186971,0.4801576
pilot_adult2,1501686955583570,1501687493283327,All_of_Extend_trial_6,1,0.5231143,0.4618446,1,0.5153309,0.4835787
pilot_adult2,1501686955600201,1501687493299960,All_of_Extend_trial_6,1,0.5243362,0.4459237,1,0.5437407,0.5122978
