subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_adult4,1501874568614111,1501875107082889,All_of_Practice_1,1,0.4540063,0.4912645,1,0.4814645,0.5029089
pilot_adult4,1501874568630736,1501875107099515,All_of_Practice_1,1,0.4556782,0.4867753,1,0.4787416,0.5015156
pilot_adult4,1501874568647364,1501875107116145,All_of_Practice_1,1,0.4544534,0.4886962,1,0.48212,0.503695
pilot_adult4,1501874568664109,1501875107132892,All_of_Practice_1,1,0.4588167,0.4906671,1,0.4789724,0.4994249
pilot_adult4,1501874568680745,1501875107149530,All_of_Practice_1,1,0.4627536,0.4910641,1,0.4751652,0.4879487
pilot_adult4,1501874568697359,1501875107166146,All_of_Practice_1,1,0.4550818,0.4981436,1,0.4792561,0.4995908
pilot_adult4,1501874568713985,1501875107182774,All_of_Practice_1,1,0.4637053,0.4968935,1,0.4730769,0.4991313
pilot_adult4,1501874568730735,1501875107199526,All_of_Practice_1,1,0.4613194,0.495068,1,0.4708923,0.5048515
pilot_adult4,1501874568747360,1501875107216153,All_of_Practice_1,1,0.4578183,0.4935789,1,0.4724723,0.5075107
pilot_adult4,1501874568763985,1501875107232780,All_of_Practice_1,1,0.4668493,0.4960847,1,0.4803027,0.5041431
pilot_adult4,1501874568780610,1501875107249406,All_of_Practice_1,1,0.4599447,0.4940532,1,0.4747768,0.5039215
pilot_adult4,1501874568797236,1501875107266034,All_of_Practice_1,1,0.4609369,0.483677,1,0.4772858,0.5006543
pilot_adult4,1501874568813986,1501875107282786,All_of_Practice_1,1,0.4590124,0.4848547,1,0.4712811,0.4994537
pilot_adult4,1501874568830611,1501875107299413,All_of_Practice_1,1,0.4600228,0.4809035,1,0.477196,0.4906994
pilot_adult4,1501874568847234,1501875107316038,All_of_Practice_1,1,0.4643317,0.4938709,1,0.4767461,0.5066088
pilot_adult4,1501874568863858,1501875107332664,All_of_Practice_1,1,0.4610687,0.4907076,1,0.4792772,0.5007264
pilot_adult4,1501874568880609,1501875107349418,All_of_Practice_1,1,0.4636312,0.4883114,1,0.4743622,0.4960327
pilot_adult4,1501874568897234,1501875107366044,All_of_Practice_1,1,0.4602851,0.4876532,1,0.4712712,0.5065311
pilot_adult4,1501874568913859,1501875107382671,All_of_Practice_1,1,0.4644889,0.5011689,1,0.4707803,0.5146598
pilot_adult4,1501874568930484,1501875107399298,All_of_Practice_1,1,0.4668208,0.4871929,1,0.473392,0.5070638
pilot_adult4,1501874568947245,1501875107416061,All_of_Practice_1,1,0.470373,0.4924866,1,0.4705011,0.4986787
pilot_adult4,1501874568963860,1501875107432678,All_of_Practice_1,1,0.4685666,0.4938764,1,0.4751863,0.4973631
pilot_adult4,1501874568980485,1501875107449305,All_of_Practice_1,1,0.4675613,0.4893102,1,0.475227,0.5012277
pilot_adult4,1501874568997110,1501875107465932,All_of_Practice_1,1,0.4649503,0.4834835,1,0.4720307,0.5045341
pilot_adult4,1501874569013741,1501875107482565,All_of_Practice_1,1,0.4661049,0.4869102,1,0.4765013,0.4951342
pilot_adult4,1501874569030494,1501875107499319,All_of_Practice_1,1,0.4589774,0.4851256,1,0.4723645,0.4968575
