subjectID,system_time_stamp,point_description
another_practice,1506542167960963,Experiment Start
another_practice,1506542173594783,Start_Practice_Trial 
another_practice,1506542173987262,ambigAudio_Practice 
another_practice,1506542176638741,ambigAudio_Practice End 
another_practice,1506542176935401,ambigVideo_Practice 
another_practice,1506542182320399,ambigVideo_Practice 
another_practice,1506542182778470,ambigAudio_Practice_1_ball
another_practice,1506542185423085,ambigAudio_Practice_1_ball End
another_practice,1506542185687510,ambigVideo_Practice_1_ball
another_practice,1506542191829358,ambigVideo_Practice_1_ball End
another_practice,1506542192451657,trainingAudio_Practice_1_ball
another_practice,1506542195130489,trainingAudio_Practice_1_ball
another_practice,1506542195404811,trainingVideo_Practice_1_ball
another_practice,1506542199129581,trainingVideo_Practice_1_ball
another_practice,1506542199416153,trainingAudio_Practice_3_ball
another_practice,1506542202055943,trainingAudio_Practice_3_ball End
another_practice,1506542202360799,trainingVideo_Practice_3_ball
another_practice,1506542207363648,trainingVideo_Practice_3_ball
another_practice,1506542207855930,testAudio_Practice_ball
another_practice,1506542210427248,testAudio_Practice_ball End
another_practice,1506542210724846,left_testVideo_Practice_ball
another_practice,1506542215988562,left_testVideo_Practice_ball End
another_practice,1506542216424346,right_testVideo_Practice_ball
another_practice,1506542221031781,testAudio_Practice_ball
another_practice,1506542223746644,testVideos_Practice_ball
another_practice,1506542232301257,End_Practice_Trial_1 
another_practice,1506542232461127,attention grabber start
another_practice,1506542254091195,Start_Practice_Trial_2 
another_practice,1506542254213807,ambigAudio_Practice_book
another_practice,1506542257557023,ambigVideo_Practice_book
another_practice,1506542262845564,trainingAudio_Practice_1_book
another_practice,1506542265566667,trainingVideo_Practice_1_book
another_practice,1506542271639953,trainingAudio_Practice_2_book
another_practice,1506542274360617,trainingVideo_Practice_2_book
another_practice,1506542280493895,trainingAudio_Practice_3_book
another_practice,1506542283222643,trainingVideo_Practice_3_book
another_practice,1506542289401004,testAudio_Practice_book
another_practice,1506542292060752,left_testVideo_Practice_book
another_practice,1506542297813801,right_testVideo_Practice_book
another_practice,1506542303166222,testAudio_Practice_book
another_practice,1506542305715867,testVideos_Practice_book
another_practice,1506542314210788,End_Practice_Trial_2 
another_practice,1506542314340243,attention grabber
another_practice,1506542321133676,Start_Practice_Trial_3 
another_practice,1506542321188029,ambigAudio_Practice_1_cake
another_practice,1506542324361918,ambigVideo_Practice_1_cake
another_practice,1506542329630213,trainingAudio_Practice_1_cake
another_practice,1506542332377972,trainingVideo_Practice_1_cake
another_practice,1506542338908237,trainingAudio_Practice_1_cake
another_practice,1506542341685850,trainingVideo_Practice_2_cake
another_practice,1506542346769913,trainingAudio_Practice_3_cake
another_practice,1506542349526246,trainingVideo_Practice_3_cake
another_practice,1506542354445164,testAudio_Practice_cake
another_practice,1506542357456854,left_testVideo_Practice_cake
another_practice,1506542363868734,right_testVideo_Practice_cake
another_practice,1506542369137383,testAudio_Practice_cake
another_practice,1506542372104696,testVideos_Practice_cake
another_practice,1506542381278862,End__Practice_Trial_3 
another_practice,1506542381414463,attention grabber
another_practice,1506542387336939,Start_Practice_Trial_4 
another_practice,1506542387356160,ambigAudio_Practice_car
another_practice,1506542391117054,ambigVideo_Practice_car
another_practice,1506542396825979,trainingAudio_Practice_1_car
another_practice,1506542400241003,trainingVideo_Practice_1_car
another_practice,1506542405790505,trainingAudio_Practice_2_car
another_practice,1506542409167337,trainingVideo_Practice_2_car
another_practice,1506542413652606,trainingAudio_Practice_3_car
another_practice,1506542417017370,trainingVideo_Practice_3_car
another_practice,1506542422203529,testAudio_Practice_car
another_practice,1506542425306172,left_testVideo_Practice_car
another_practice,1506542431317159,right_testVideo_Practice_car
another_practice,1506542437255916,testAudio_Practice_car
another_practice,1506542440292985,testVideos_Practice_car
another_practice,1506542449054429,End_Practice_Trial_4 
another_practice,1506542449177712,attention grabber
