subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Lotte_perfect_path,1509629388965028,1509629962998542,All_of_noBias_trial_2,1,0.8255151,0.2885005,1,0.8169401,0.299276
Lotte_perfect_path,1509629388981666,1509629963015182,All_of_noBias_trial_2,1,0.8258322,0.2782295,1,0.8148587,0.3022459
Lotte_perfect_path,1509629388998277,1509629963031796,All_of_noBias_trial_2,1,0.8248339,0.2984618,1,0.8223312,0.3035716
Lotte_perfect_path,1509629389014902,1509629963048423,All_of_noBias_trial_2,1,0.8284453,0.2752424,1,0.8201256,0.3009445
Lotte_perfect_path,1509629389031527,1509629963065051,All_of_noBias_trial_2,1,0.8288639,0.2903104,1,0.8175642,0.3072413
Lotte_perfect_path,1509629389048277,1509629963081803,All_of_noBias_trial_2,1,0.8267537,0.2893837,1,0.8214107,0.2994558
Lotte_perfect_path,1509629389064901,1509629963098429,All_of_noBias_trial_2,1,0.8269598,0.3000708,1,0.8191387,0.3026333
Lotte_perfect_path,1509629389081523,1509629963115054,All_of_noBias_trial_2,1,0.8205892,0.2866444,1,0.8182736,0.294442
Lotte_perfect_path,1509629389098148,1509629963131681,All_of_noBias_trial_2,1,0.8223218,0.2829635,1,0.8173926,0.2986121
Lotte_perfect_path,1509629389114898,1509629963148433,All_of_noBias_trial_2,1,0.8254453,0.2798195,1,0.8195101,0.3006185
Lotte_perfect_path,1509629389131523,1509629963165061,All_of_noBias_trial_2,1,0.8250877,0.2985641,1,0.8188004,0.2986491
Lotte_perfect_path,1509629389148152,1509629963181692,All_of_noBias_trial_2,1,0.8216003,0.2908997,1,0.8225715,0.2947353
Lotte_perfect_path,1509629389164772,1509629963198315,All_of_noBias_trial_2,1,0.8236083,0.2872563,1,0.8272519,0.2950332
Lotte_perfect_path,1509629389181397,1509629963214942,All_of_noBias_trial_2,1,0.8210321,0.2917117,1,0.8243353,0.3007172
Lotte_perfect_path,1509629389198147,1509629963231694,All_of_noBias_trial_2,1,0.8245698,0.284931,1,0.8176923,0.2906889
Lotte_perfect_path,1509629389214771,1509629963248321,All_of_noBias_trial_2,1,0.8259995,0.2922093,1,0.821146,0.3087572
Lotte_perfect_path,1509629389231398,1509629963264950,All_of_noBias_trial_2,1,0.824915,0.2926862,1,0.8239889,0.2995217
Lotte_perfect_path,1509629389248021,1509629963281576,All_of_noBias_trial_2,1,0.8248607,0.3009573,1,0.824757,0.2983942
Lotte_perfect_path,1509629389264768,1509629963298325,All_of_noBias_trial_2,1,0.8199235,0.3006002,1,0.8243405,0.3077763
Lotte_perfect_path,1509629389281393,1509629963314952,All_of_noBias_trial_2,0,NaN,NaN,1,0.6441343,0.3676735
Lotte_perfect_path,1509629389298018,1509629963331580,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389314643,1509629963348207,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389331267,1509629963364834,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389348017,1509629963381586,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389364642,1509629963398213,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389381266,1509629963414840,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389397891,1509629963431467,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389414644,1509629963448222,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389431266,1509629963464847,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389447932,1509629963481515,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389464535,1509629963498121,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389481201,1509629963514789,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389497887,1509629963531477,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389514512,1509629963548105,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389531178,1509629963564773,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389547762,1509629963581360,All_of_noBias_trial_2,1,-0.3085942,1.10292,1,-0.3648799,1.107852
Lotte_perfect_path,1509629389564512,1509629963598112,All_of_noBias_trial_2,0,NaN,NaN,1,-0.350225,1.096737
Lotte_perfect_path,1509629389581136,1509629963614738,All_of_noBias_trial_2,0,NaN,NaN,1,-0.3521982,1.115848
Lotte_perfect_path,1509629389597761,1509629963631366,All_of_noBias_trial_2,0,NaN,NaN,1,-0.3493946,1.110086
Lotte_perfect_path,1509629389614386,1509629963647993,All_of_noBias_trial_2,0,NaN,NaN,1,-0.3381865,1.110593
Lotte_perfect_path,1509629389631008,1509629963664618,All_of_noBias_trial_2,1,-0.09065002,1.11383,1,-0.3463525,1.10364
Lotte_perfect_path,1509629389647757,1509629963681369,All_of_noBias_trial_2,1,-0.1415843,1.11844,1,-0.3973494,1.103717
Lotte_perfect_path,1509629389664382,1509629963697996,All_of_noBias_trial_2,1,-0.8151724,1.141294,1,-0.6702104,1.088547
Lotte_perfect_path,1509629389681007,1509629963714624,All_of_noBias_trial_2,1,-0.923242,1.135373,1,-0.6305034,1.083964
Lotte_perfect_path,1509629389697631,1509629963731250,All_of_noBias_trial_2,1,-0.6435076,1.110291,1,-0.6802138,1.099966
Lotte_perfect_path,1509629389714381,1509629963748002,All_of_noBias_trial_2,1,-0.6397893,1.135766,1,-0.6318624,1.102671
Lotte_perfect_path,1509629389731006,1509629963764630,All_of_noBias_trial_2,1,-0.6460892,1.146679,1,-0.6416273,1.104991
Lotte_perfect_path,1509629389747631,1509629963781257,All_of_noBias_trial_2,1,-0.633814,1.126474,1,-0.6503927,1.102742
Lotte_perfect_path,1509629389764256,1509629963797885,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389780942,1509629963814573,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389797608,1509629963831241,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389814243,1509629963847879,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389830909,1509629963864547,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389847581,1509629963881222,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
Lotte_perfect_path,1509629389864247,1509629963897890,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
