subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_0804,1501854815479598,1501855354040650,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815496358,1501855354057412,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815512984,1501855354074039,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815529599,1501855354090656,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815546232,1501855354107290,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815563475,1501855354124535,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815580851,1501855354141912,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815598102,1501855354159165,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815612849,1501855354173913,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815629537,1501855354190603,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815646203,1501855354207270,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815662854,1501855354223922,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815679488,1501855354240557,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815696228,1501855354257299,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815712728,1501855354273800,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815729978,1501855354291052,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815747357,1501855354308433,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815764605,1501855354325682,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815780354,1501855354341433,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815797020,1501855354358100,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815813187,1501855354374268,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815829853,1501855354390935,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815846104,1501855354407188,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815863105,1501855354424190,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815879996,1501855354441083,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815896482,1501855354457570,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815913482,1501855354474572,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815929608,1501855354490699,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815946734,1501855354507827,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815963109,1501855354524203,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815980205,1501855354541301,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854815996358,1501855354557454,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816013365,1501855354574463,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816029738,1501855354590837,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816046485,1501855354607586,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816063110,1501855354624212,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816079736,1501855354640840,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816096365,1501855354657470,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816112986,1501855354674093,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816129737,1501855354690845,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816146362,1501855354707471,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816163028,1501855354724139,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816179611,1501855354740723,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816196365,1501855354757479,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816213612,1501855354774727,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816229114,1501855354790231,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816245988,1501855354807106,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816263115,1501855354824234,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816279365,1501855354840486,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816296244,1501855354857366,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816312875,1501855354873998,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816329498,1501855354890623,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816346128,1501855354907254,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816362870,1501855354923998,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816379491,1501855354940620,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816396125,1501855354957256,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816412742,1501855354973874,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816429493,1501855354990627,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816446118,1501855355007253,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816462870,1501855355024007,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816479124,1501855355040262,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816495872,1501855355057011,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816512538,1501855355073678,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816529244,1501855355090386,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816546121,1501855355107264,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816562620,1501855355123765,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816579370,1501855355140516,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816595996,1501855355157144,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816612622,1501855355173771,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816629288,1501855355190439,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816645874,1501855355207026,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816662623,1501855355223777,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816679311,1501855355240466,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816695977,1501855355257133,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816712623,1501855355273781,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816729873,1501855355291032,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816745997,1501855355307158,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816762249,1501855355323411,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816778999,1501855355340162,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816795665,1501855355356830,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816812375,1501855355373541,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816829376,1501855355390543,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_0804,1501854816845501,1501855355406670,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
