subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_0807,1502110642032899,1502111181316034,All_of_noBias_trial_2,1,0.9516033,0.4679401,1,0.9396191,0.5049114
pilot_0807,1502110642049524,1502111181332661,All_of_noBias_trial_2,1,0.9426174,0.4777724,1,0.9334644,0.5121858
pilot_0807,1502110642066275,1502111181349414,All_of_noBias_trial_2,1,0.9460318,0.4682091,1,0.939893,0.5083097
pilot_0807,1502110642082900,1502111181366041,All_of_noBias_trial_2,1,0.9455717,0.4756813,1,0.9355842,0.5100604
pilot_0807,1502110642099526,1502111181382669,All_of_noBias_trial_2,1,0.9422392,0.4811948,1,0.9390975,0.5036548
pilot_0807,1502110642116152,1502111181399297,All_of_noBias_trial_2,1,0.945259,0.4677559,1,0.9384378,0.5050933
pilot_0807,1502110642132902,1502111181416049,All_of_noBias_trial_2,1,0.9462307,0.4710737,1,0.9372721,0.5130584
pilot_0807,1502110642149528,1502111181432676,All_of_noBias_trial_2,1,0.9475551,0.47268,1,0.9326158,0.5070575
pilot_0807,1502110642166151,1502111181449301,All_of_noBias_trial_2,1,0.9448985,0.4726114,1,0.93243,0.5037732
pilot_0807,1502110642182777,1502111181465929,All_of_noBias_trial_2,1,0.9415274,0.4774134,1,0.9359879,0.5067986
pilot_0807,1502110642199527,1502111181482681,All_of_noBias_trial_2,1,0.9477723,0.4692244,1,0.932597,0.5099146
pilot_0807,1502110642216027,1502111181499183,All_of_noBias_trial_2,1,0.9476913,0.4680859,1,0.9364177,0.5083308
pilot_0807,1502110642232789,1502111181515947,All_of_noBias_trial_2,1,0.9372325,0.4774706,1,0.9331411,0.5050508
pilot_0807,1502110642249404,1502111181532564,All_of_noBias_trial_2,1,0.9432572,0.472312,1,0.9353981,0.5079151
pilot_0807,1502110642266154,1502111181549316,All_of_noBias_trial_2,1,0.9434704,0.4705234,1,0.9420567,0.5030669
pilot_0807,1502110642282654,1502111181565817,All_of_noBias_trial_2,1,0.9429069,0.4723869,1,0.9292005,0.5085938
pilot_0807,1502110642299405,1502111181582570,All_of_noBias_trial_2,1,0.9503334,0.4663037,1,0.9317268,0.5038216
pilot_0807,1502110642316156,1502111181599323,All_of_noBias_trial_2,1,0.9402905,0.470843,1,0.9315394,0.5065162
pilot_0807,1502110642332656,1502111181615825,All_of_noBias_trial_2,1,0.9435504,0.4742838,1,0.9353282,0.5080535
