subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_0927_x3,1506545660742985,1506546211468324,All_of_Practice_3,1,0.476827,0.6012024,1,0.4689589,0.5512713
pilot_0927_x3,1506545660759609,1506546211484950,All_of_Practice_3,1,0.4719825,0.6178676,1,0.4675991,0.5679665
pilot_0927_x3,1506545660776232,1506546211501574,All_of_Practice_3,1,0.4775386,0.6078045,1,0.4680428,0.5603454
pilot_0927_x3,1506545660792982,1506546211518326,All_of_Practice_3,1,0.4778477,0.6080154,1,0.4704186,0.559729
pilot_0927_x3,1506545660809608,1506546211534953,All_of_Practice_3,1,0.478798,0.6092409,1,0.4761975,0.5744938
pilot_0927_x3,1506545660826233,1506546211551580,All_of_Practice_3,1,0.4686582,0.6116489,1,0.4741285,0.5518275
pilot_0927_x3,1506545660842859,1506546211568208,All_of_Practice_3,1,0.4702987,0.606082,1,0.4712571,0.5649842
pilot_0927_x3,1506545660859492,1506546211584842,All_of_Practice_3,1,0.4697666,0.6094645,1,0.4729627,0.5488292
pilot_0927_x3,1506545660876235,1506546211601587,All_of_Practice_3,1,0.4683663,0.606614,1,0.4773238,0.5541279
pilot_0927_x3,1506545660892860,1506546211618214,All_of_Practice_3,1,0.4679446,0.6148421,1,0.4752153,0.5618817
pilot_0927_x3,1506545660909486,1506546211634841,All_of_Practice_3,1,0.4678647,0.6080046,1,0.4750572,0.5594509
pilot_0927_x3,1506545660926111,1506546211651468,All_of_Practice_3,1,0.4656021,0.611609,1,0.4736611,0.5712913
pilot_0927_x3,1506545660942862,1506546211668220,All_of_Practice_3,1,0.4653763,0.610687,1,0.4731456,0.5675724
pilot_0927_x3,1506545660959484,1506546211684844,All_of_Practice_3,1,0.4707458,0.6167805,1,0.4764552,0.5637626
pilot_0927_x3,1506545660976109,1506546211701471,All_of_Practice_3,1,0.463175,0.6135898,1,0.4759625,0.5632439
pilot_0927_x3,1506545660992735,1506546211718097,All_of_Practice_3,1,0.4610733,0.6196728,1,0.4809976,0.5705113
pilot_0927_x3,1506545661009362,1506546211734726,All_of_Practice_3,1,0.4729737,0.6181634,1,0.4777193,0.5705732
pilot_0927_x3,1506545661026113,1506546211751479,All_of_Practice_3,1,0.4713332,0.6079083,1,0.4805884,0.5593752
pilot_0927_x3,1506545661042737,1506546211768104,All_of_Practice_3,1,0.4715095,0.6233451,1,0.4786857,0.5653614
pilot_0927_x3,1506545661059488,1506546211784857,All_of_Practice_3,1,0.4666796,0.6094447,1,0.4843287,0.5684099
pilot_0927_x3,1506545661076113,1506546211801484,All_of_Practice_3,1,0.4612345,0.7248048,1,0.4688875,0.674665
pilot_0927_x3,1506545661092738,1506546211818110,All_of_Practice_3,1,0.4959477,0.9741687,1,0.4932556,0.9169048
pilot_0927_x3,1506545661109364,1506546211834738,All_of_Practice_3,1,0.4931475,0.9867303,1,0.4984393,0.9306897
pilot_0927_x3,1506545661126114,1506546211851489,All_of_Practice_3,1,0.502996,1.018753,1,0.5038419,0.9724169
pilot_0927_x3,1506545661142737,1506546211868114,All_of_Practice_3,1,0.5026573,1.006502,1,0.5003393,0.9555668
pilot_0927_x3,1506545661159362,1506546211884741,All_of_Practice_3,1,0.4991553,1.006921,1,0.5043877,0.959368
