subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1004_4pm,1507147177698284,1507147730902208,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177714950,1507147730918876,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177732179,1507147730936107,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177748845,1507147730952776,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177764877,1507147730968810,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177781543,1507147730985478,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177797534,1507147731001471,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177814159,1507147731018098,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177830848,1507147731034790,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177847514,1507147731051458,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177864168,1507147731068114,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177880918,1507147731084866,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177897542,1507147731101493,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177914657,1507147731118610,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177932031,1507147731135986,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177947406,1507147731151363,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177964032,1507147731167992,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177980782,1507147731184744,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147177997407,1507147731201371,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178014030,1507147731217997,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178030656,1507147731234626,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178047404,1507147731251376,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178064030,1507147731268004,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178080654,1507147731284630,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178097280,1507147731301259,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178113905,1507147731317886,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178130655,1507147731334638,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178147280,1507147731351265,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178163905,1507147731367893,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178180530,1507147731384520,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178197277,1507147731401269,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178215156,1507147731419150,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178232402,1507147731436399,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178248089,1507147731452088,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178264755,1507147731468756,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178280538,1507147731484541,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178297152,1507147731501157,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178313788,1507147731517796,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178330470,1507147731534480,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178347136,1507147731551148,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178364018,1507147731568032,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178380684,1507147731584701,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178397650,1507147731601669,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178414900,1507147731618921,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178430962,1507147731634985,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178447628,1507147731651654,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178463649,1507147731667677,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178480274,1507147731684304,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178496968,1507147731701000,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178513634,1507147731717669,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178530293,1507147731734330,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178547025,1507147731751064,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178563522,1507147731767563,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178580772,1507147731784816,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178598085,1507147731802131,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
pilot_1004_4pm,1507147178614751,1507147731818799,All_of_Main_trial_5,0,NaN,NaN,0,NaN,NaN
