subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1004x2,1507128681656353,1507129234567580,All_of_Practice_1,1,0.5125891,1.255214,1,0.5009711,1.235231
pilot_1004x2,1507128681672982,1507129234584212,All_of_Practice_1,1,0.5064177,1.267866,1,0.5026111,1.246134
pilot_1004x2,1507128681689601,1507129234600833,All_of_Practice_1,1,0.5460755,1.272393,1,0.5030027,1.238872
pilot_1004x2,1507128681706227,1507129234617461,All_of_Practice_1,1,0.5122087,1.25925,1,0.5041088,1.241011
pilot_1004x2,1507128681722851,1507129234634088,All_of_Practice_1,1,0.5111383,1.260263,1,0.5028221,1.232364
pilot_1004x2,1507128681739601,1507129234650840,All_of_Practice_1,1,0.5174994,1.262164,1,0.5078251,1.242053
pilot_1004x2,1507128681756227,1507129234667468,All_of_Practice_1,1,0.509138,1.268176,1,0.5076169,1.242214
pilot_1004x2,1507128681772851,1507129234684095,All_of_Practice_1,1,0.5081112,1.268204,1,0.4985548,1.246877
pilot_1004x2,1507128681789476,1507129234700722,All_of_Practice_1,1,0.5160895,1.255499,1,0.5062358,1.253257
pilot_1004x2,1507128681806235,1507129234717483,All_of_Practice_1,1,0.5067848,1.27412,1,0.4996581,1.248758
pilot_1004x2,1507128681822852,1507129234734103,All_of_Practice_1,1,0.5089615,1.260625,1,0.5099108,1.251881
pilot_1004x2,1507128681839476,1507129234750729,All_of_Practice_1,1,0.5067692,1.261903,1,0.5019693,1.243146
pilot_1004x2,1507128681856099,1507129234767354,All_of_Practice_1,1,0.507655,1.266541,1,0.5028692,1.253072
pilot_1004x2,1507128681872724,1507129234783982,All_of_Practice_1,1,0.5076044,1.269259,1,0.4966257,1.248183
pilot_1004x2,1507128681889474,1507129234800735,All_of_Practice_1,1,0.5183477,1.268977,1,0.5027291,1.248458
pilot_1004x2,1507128681906099,1507129234817361,All_of_Practice_1,1,0.5132148,1.270113,1,0.5075323,1.248896
pilot_1004x2,1507128681922723,1507129234833989,All_of_Practice_1,1,0.508845,1.260198,1,0.5009408,1.251554
pilot_1004x2,1507128681939348,1507129234850616,All_of_Practice_1,1,0.5085323,1.268743,1,0.504858,1.249936
pilot_1004x2,1507128681956098,1507129234867368,All_of_Practice_1,1,0.5104104,1.270319,1,0.4978623,1.248103
pilot_1004x2,1507128681972723,1507129234883996,All_of_Practice_1,1,0.505061,1.125072,1,0.4990339,1.136564
pilot_1004x2,1507128681989348,1507129234900623,All_of_Practice_1,1,0.4921207,0.7673021,1,0.5000054,0.8087675
pilot_1004x2,1507128682005973,1507129234917250,All_of_Practice_1,1,0.5243399,0.4732219,1,0.5256007,0.5288344
pilot_1004x2,1507128682022598,1507129234933878,All_of_Practice_1,1,0.5956097,0.3054714,1,0.5680987,0.3504221
pilot_1004x2,1507128682039221,1507129234950503,All_of_Practice_1,1,0.5745617,0.3219287,1,0.5590293,0.3485058
pilot_1004x2,1507128682055846,1507129234967130,All_of_Practice_1,1,0.5771213,0.312498,1,0.568063,0.3339709
pilot_1004x2,1507128682072471,1507129234983758,All_of_Practice_1,1,0.5771424,0.3193389,1,0.5686774,0.338841
pilot_1004x2,1507128682089234,1507129235000523,All_of_Practice_1,1,0.5663856,0.3258801,1,0.5626206,0.3452006
pilot_1004x2,1507128682105846,1507129235017137,All_of_Practice_1,1,0.5718012,0.3273016,1,0.5624149,0.3420418
pilot_1004x2,1507128682122470,1507129235033764,All_of_Practice_1,1,0.5650725,0.3227968,1,0.5702574,0.3420633
pilot_1004x2,1507128682139107,1507129235050403,All_of_Practice_1,1,0.5624677,0.3280035,1,0.5591949,0.3435029
pilot_1004x2,1507128682155846,1507129235067144,All_of_Practice_1,1,0.5712022,0.3289189,1,0.5575362,0.342612
pilot_1004x2,1507128682172471,1507129235083772,All_of_Practice_1,1,0.5614169,0.3283432,1,0.5645814,0.3481831
pilot_1004x2,1507128682189095,1507129235100398,All_of_Practice_1,1,0.5604505,0.332913,1,0.5614192,0.3500583
pilot_1004x2,1507128682205721,1507129235117026,All_of_Practice_1,1,0.5665663,0.3282367,1,0.5604134,0.3421661
pilot_1004x2,1507128682222343,1507129235133651,All_of_Practice_1,1,0.5667015,0.336782,1,0.5622785,0.3538809
pilot_1004x2,1507128682239093,1507129235150404,All_of_Practice_1,1,0.5662364,0.3376603,1,0.5558415,0.3517037
pilot_1004x2,1507128682255718,1507129235167031,All_of_Practice_1,1,0.5644427,0.3363531,1,0.556693,0.3557201
pilot_1004x2,1507128682272342,1507129235183657,All_of_Practice_1,1,0.5664811,0.3351922,1,0.5612224,0.3496637
pilot_1004x2,1507128682288968,1507129235200286,All_of_Practice_1,1,0.5693561,0.3430858,1,0.5549555,0.3613882
pilot_1004x2,1507128682305718,1507129235217038,All_of_Practice_1,1,0.570178,0.3423072,1,0.5567715,0.3512338
pilot_1004x2,1507128682322343,1507129235233665,All_of_Practice_1,1,0.5680866,0.3376032,1,0.5452285,0.3469244
pilot_1004x2,1507128682338968,1507129235250293,All_of_Practice_1,1,0.5696577,0.3470312,1,0.5581829,0.3624929
pilot_1004x2,1507128682355593,1507129235266920,All_of_Practice_1,1,0.5729843,0.3575969,1,0.5522941,0.3610182
pilot_1004x2,1507128682372219,1507129235283548,All_of_Practice_1,1,0.5663298,0.3475347,1,0.5450444,0.3622011
pilot_1004x2,1507128682388969,1507129235300301,All_of_Practice_1,1,0.5695497,0.3540414,1,0.5465395,0.3705734
pilot_1004x2,1507128682405590,1507129235316924,All_of_Practice_1,1,0.5654551,0.3541156,1,0.5512135,0.3604084
pilot_1004x2,1507128682422215,1507129235333551,All_of_Practice_1,1,0.5663018,0.3508818,1,0.5536751,0.3749017
pilot_1004x2,1507128682438840,1507129235350179,All_of_Practice_1,1,0.5706153,0.3633159,1,0.5453644,0.3682492
pilot_1004x2,1507128682455598,1507129235366939,All_of_Practice_1,1,0.5651471,0.3559976,1,0.5403883,0.3592473
pilot_1004x2,1507128682472215,1507129235383558,All_of_Practice_1,1,0.5650247,0.3590721,1,0.5480091,0.3662856
pilot_1004x2,1507128682488840,1507129235400186,All_of_Practice_1,1,0.5739864,0.3482268,1,0.5514538,0.3685835
pilot_1004x2,1507128682505466,1507129235416814,All_of_Practice_1,1,0.6136229,0.3302225,1,0.6015934,0.3514509
pilot_1004x2,1507128682522090,1507129235433440,All_of_Practice_1,1,0.6170402,0.338542,1,0.5978544,0.3476915
pilot_1004x2,1507128682538839,1507129235450192,All_of_Practice_1,1,0.6183997,0.3351537,1,0.6086091,0.3496007
pilot_1004x2,1507128682555464,1507129235466819,All_of_Practice_1,1,0.6126775,0.3382175,1,0.5980061,0.3520326
pilot_1004x2,1507128682572105,1507129235483463,All_of_Practice_1,1,0.6175354,0.3348435,1,0.6065965,0.3469121
pilot_1004x2,1507128682588712,1507129235500072,All_of_Practice_1,1,0.6155938,0.3372967,1,0.6018984,0.3427378
pilot_1004x2,1507128682605462,1507129235516825,All_of_Practice_1,1,0.6253062,0.3383758,1,0.5978388,0.3528295
pilot_1004x2,1507128682622087,1507129235533452,All_of_Practice_1,1,0.6257414,0.3379025,1,0.6030542,0.3482718
pilot_1004x2,1507128682638712,1507129235550080,All_of_Practice_1,1,0.6239166,0.3356515,1,0.5970089,0.3543583
pilot_1004x2,1507128682655337,1507129235566707,All_of_Practice_1,1,0.6193018,0.333501,1,0.5994775,0.3496672
pilot_1004x2,1507128682671963,1507129235583335,All_of_Practice_1,1,0.6181006,0.3335594,1,0.6088811,0.3493149
pilot_1004x2,1507128682688712,1507129235600086,All_of_Practice_1,1,0.6419309,0.3288279,1,0.6180569,0.3601041
pilot_1004x2,1507128682705337,1507129235616714,All_of_Practice_1,1,0.6403292,0.3308219,1,0.6158782,0.3526461
pilot_1004x2,1507128682721968,1507129235633347,All_of_Practice_1,1,0.6315416,0.3447323,1,0.6166155,0.3534299
pilot_1004x2,1507128682738587,1507129235649969,All_of_Practice_1,1,0.6336371,0.3457974,1,0.6203703,0.3467209
pilot_1004x2,1507128682755337,1507129235666721,All_of_Practice_1,1,0.6380832,0.3377351,1,0.6116526,0.3655306
pilot_1004x2,1507128682771959,1507129235683345,All_of_Practice_1,1,0.6435619,0.337429,1,0.620375,0.3477652
pilot_1004x2,1507128682788585,1507129235699974,All_of_Practice_1,1,0.6377268,0.33359,1,0.6228974,0.3596633
pilot_1004x2,1507128682805210,1507129235716601,All_of_Practice_1,1,0.6376029,0.3424028,1,0.6184264,0.3590096
pilot_1004x2,1507128682821834,1507129235733227,All_of_Practice_1,1,0.6329386,0.3477387,1,0.6208928,0.3593156
pilot_1004x2,1507128682838584,1507129235749980,All_of_Practice_1,1,0.6329027,0.3503785,1,0.6203335,0.3554406
pilot_1004x2,1507128682855209,1507129235766607,All_of_Practice_1,1,0.6375625,0.3459627,1,0.615388,0.3539239
pilot_1004x2,1507128682871841,1507129235783241,All_of_Practice_1,1,0.6383033,0.3357795,1,0.6166145,0.3545742
pilot_1004x2,1507128682888458,1507129235799861,All_of_Practice_1,1,0.6290309,0.354344,1,0.6146128,0.3566205
pilot_1004x2,1507128682905210,1507129235816615,All_of_Practice_1,1,0.6338103,0.3408845,1,0.6148719,0.3552307
pilot_1004x2,1507128682921836,1507129235833244,All_of_Practice_1,1,0.6326911,0.3427151,1,0.6161168,0.3649355
pilot_1004x2,1507128682938459,1507129235849869,All_of_Practice_1,1,0.6369125,0.3384553,1,0.6224024,0.3542041
pilot_1004x2,1507128682955081,1507129235866494,All_of_Practice_1,1,0.6343904,0.3512693,1,0.6200889,0.3660726
pilot_1004x2,1507128682971831,1507129235883246,All_of_Practice_1,1,0.6325064,0.3403691,1,0.6156096,0.3652039
pilot_1004x2,1507128682988456,1507129235899874,All_of_Practice_1,1,0.6314994,0.3488177,1,0.6155803,0.3708766
pilot_1004x2,1507128683005091,1507129235916511,All_of_Practice_1,1,0.6257329,0.3507085,1,0.6116596,0.3638701
pilot_1004x2,1507128683021706,1507129235933128,All_of_Practice_1,1,0.6336234,0.3477947,1,0.6099604,0.3613992
pilot_1004x2,1507128683038332,1507129235949757,All_of_Practice_1,1,0.6319922,0.3488272,1,0.6094044,0.3678294
pilot_1004x2,1507128683055082,1507129235966509,All_of_Practice_1,1,0.6365328,0.3469684,1,0.609637,0.3657931
pilot_1004x2,1507128683071706,1507129235983135,All_of_Practice_1,1,0.6271203,0.35372,1,0.6168172,0.3713111
pilot_1004x2,1507128683088332,1507129235999764,All_of_Practice_1,1,0.6304054,0.3595032,1,0.6114533,0.3699809
pilot_1004x2,1507128683104956,1507129236016390,All_of_Practice_1,1,0.7504593,0.5178486,1,0.7137666,0.5394889
pilot_1004x2,1507128683121706,1507129236033142,All_of_Practice_1,1,0.89365,0.7345009,1,0.8586007,0.7531136
pilot_1004x2,1507128683138329,1507129236049768,All_of_Practice_1,1,0.9249512,0.818087,1,0.8904381,0.8242078
pilot_1004x2,1507128683154961,1507129236066402,All_of_Practice_1,1,0.9299338,0.8234267,1,0.8975814,0.8261835
pilot_1004x2,1507128683171578,1507129236083021,All_of_Practice_1,1,0.9305766,0.8245878,1,0.9005277,0.8349248
pilot_1004x2,1507128683188203,1507129236099649,All_of_Practice_1,1,0.925539,0.8199412,1,0.887819,0.8331416
pilot_1004x2,1507128683204954,1507129236116402,All_of_Practice_1,1,0.9192191,0.8161695,1,0.8842269,0.8299975
pilot_1004x2,1507128683221578,1507129236133028,All_of_Practice_1,1,0.9253724,0.8228616,1,0.8899257,0.8335098
pilot_1004x2,1507128683238203,1507129236149656,All_of_Practice_1,1,0.9251138,0.8156646,1,0.8990885,0.8284015
pilot_1004x2,1507128683254828,1507129236166283,All_of_Practice_1,1,0.9299415,0.816218,1,0.8803209,0.8338203
pilot_1004x2,1507128683271578,1507129236183036,All_of_Practice_1,1,0.9215415,0.8172973,1,0.9008856,0.8274752
pilot_1004x2,1507128683288203,1507129236199664,All_of_Practice_1,1,0.9310043,0.8149374,1,0.8947623,0.8267752
pilot_1004x2,1507128683304839,1507129236216301,All_of_Practice_1,1,0.9777167,0.8046654,1,0.914854,0.8286958
pilot_1004x2,1507128683321451,1507129236232916,All_of_Practice_1,1,1.014925,0.7857171,1,0.9853398,0.8138065
pilot_1004x2,1507128683338085,1507129236249552,All_of_Practice_1,1,1.04758,0.7983493,1,0.990183,0.8132506
pilot_1004x2,1507128683354826,1507129236266296,All_of_Practice_1,1,1.021724,0.7925332,1,0.9931771,0.8051587
pilot_1004x2,1507128683371463,1507129236282935,All_of_Practice_1,1,1.00846,0.7953483,1,0.9845031,0.8097644
pilot_1004x2,1507128683388085,1507129236299559,All_of_Practice_1,1,1.011831,0.7913754,1,0.9889574,0.8112094
pilot_1004x2,1507128683404701,1507129236316178,All_of_Practice_1,1,1.010109,0.7947602,1,0.9935237,0.810742
pilot_1004x2,1507128683421451,1507129236332930,All_of_Practice_1,1,1.016793,0.7947819,1,0.9908402,0.8107132
pilot_1004x2,1507128683438083,1507129236349564,All_of_Practice_1,1,1.050999,0.7957134,1,0.9974176,0.8079115
pilot_1004x2,1507128683454700,1507129236366184,All_of_Practice_1,1,1.017996,0.7940236,1,0.9852419,0.804154
pilot_1004x2,1507128683471325,1507129236382811,All_of_Practice_1,1,1.026363,0.7963713,1,0.9817717,0.805681
pilot_1004x2,1507128683487950,1507129236399438,All_of_Practice_1,1,1.006304,0.8077142,1,0.9854642,0.8058306
pilot_1004x2,1507128683504698,1507129236416189,All_of_Practice_1,1,1.037604,0.788914,1,0.9888622,0.8119251
pilot_1004x2,1507128683521323,1507129236432816,All_of_Practice_1,1,1.022456,0.8015639,1,0.9829717,0.8128815
pilot_1004x2,1507128683537948,1507129236449443,All_of_Practice_1,1,1.035043,0.8025617,1,0.9831896,0.8148487
pilot_1004x2,1507128683554573,1507129236466071,All_of_Practice_1,1,1.005532,0.7943886,1,0.9963052,0.8112118
pilot_1004x2,1507128683571323,1507129236482824,All_of_Practice_1,1,0.9981132,0.8005616,1,1.000151,0.8101827
pilot_1004x2,1507128683587948,1507129236499451,All_of_Practice_1,1,1.016128,0.7992264,1,0.9966375,0.8152539
pilot_1004x2,1507128683604573,1507129236516079,All_of_Practice_1,1,1.004172,0.8058416,1,0.9981778,0.8110949
pilot_1004x2,1507128683621198,1507129236532706,All_of_Practice_1,1,1.010887,0.7954935,1,0.9818664,0.816148
pilot_1004x2,1507128683637823,1507129236549333,All_of_Practice_1,1,1.030494,0.7980227,1,0.9895138,0.8094994
pilot_1004x2,1507128683654572,1507129236566085,All_of_Practice_1,1,1.015773,0.798268,1,0.9843957,0.8113863
pilot_1004x2,1507128683671198,1507129236582713,All_of_Practice_1,1,1.011126,0.8065259,1,0.9788663,0.8169675
pilot_1004x2,1507128683687821,1507129236599338,All_of_Practice_1,1,1.043573,0.7831156,1,0.9822733,0.8124982
pilot_1004x2,1507128683704570,1507129236616090,All_of_Practice_1,1,1.019495,0.7891399,1,0.9966635,0.8045408
pilot_1004x2,1507128683721196,1507129236632718,All_of_Practice_1,1,1.053074,0.8048382,1,0.9923527,0.8078458
pilot_1004x2,1507128683737827,1507129236649351,All_of_Practice_1,1,1.018082,0.796031,1,0.9958808,0.8106022
pilot_1004x2,1507128683754446,1507129236665973,All_of_Practice_1,1,1.024143,0.790111,1,0.9881343,0.8103406
pilot_1004x2,1507128683771195,1507129236682724,All_of_Practice_1,1,1.0444,0.7932074,1,0.9866985,0.8150418
pilot_1004x2,1507128683787827,1507129236699358,All_of_Practice_1,1,1.013222,0.7968669,1,0.9888075,0.8112258
