subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1004x2,1507129167596273,1507129720575175,All_of_noBias_trial_3,1,0.419637,0.45066,1,0.4110389,0.4304753
pilot_1004x2,1507129167612898,1507129720591802,All_of_noBias_trial_3,1,0.4179904,0.4482769,1,0.4116282,0.4287028
pilot_1004x2,1507129167629523,1507129720608429,All_of_noBias_trial_3,1,0.4223338,0.4508278,1,0.409512,0.436225
pilot_1004x2,1507129167646270,1507129720625179,All_of_noBias_trial_3,1,0.4192983,0.4496368,1,0.4057586,0.431176
pilot_1004x2,1507129167662895,1507129720641806,All_of_noBias_trial_3,1,0.4182615,0.4478121,1,0.4162549,0.4421706
pilot_1004x2,1507129167679520,1507129720658433,All_of_noBias_trial_3,1,0.421035,0.4494896,1,0.411453,0.4335665
pilot_1004x2,1507129167696145,1507129720675061,All_of_noBias_trial_3,1,0.4160508,0.4475025,1,0.4140174,0.4359907
pilot_1004x2,1507129167712780,1507129720691698,All_of_noBias_trial_3,1,0.4149992,0.4519819,1,0.4139552,0.4421268
pilot_1004x2,1507129167729520,1507129720708440,All_of_noBias_trial_3,1,0.4142924,0.4532201,1,0.4127928,0.443215
pilot_1004x2,1507129167746144,1507129720725067,All_of_noBias_trial_3,1,0.4131643,0.452863,1,0.4091187,0.4411286
pilot_1004x2,1507129167762778,1507129720741703,All_of_noBias_trial_3,1,0.4159139,0.4505649,1,0.4058866,0.4395313
pilot_1004x2,1507129167779399,1507129720758326,All_of_noBias_trial_3,1,0.4176736,0.4468755,1,0.40937,0.4430609
pilot_1004x2,1507129167796144,1507129720775074,All_of_noBias_trial_3,1,0.4124374,0.4557146,1,0.4055163,0.4358648
pilot_1004x2,1507129167812775,1507129720791707,All_of_noBias_trial_3,1,0.4141521,0.4567944,1,0.4042053,0.4358177
pilot_1004x2,1507129167829393,1507129720808327,All_of_noBias_trial_3,1,0.4100555,0.4573189,1,0.4114236,0.4426905
pilot_1004x2,1507129167846017,1507129720824954,All_of_noBias_trial_3,1,0.4119202,0.4475977,1,0.4085394,0.4426699
pilot_1004x2,1507129167862642,1507129720841581,All_of_noBias_trial_3,1,0.4150853,0.45212,1,0.4094815,0.438028
pilot_1004x2,1507129167879267,1507129720858208,All_of_noBias_trial_3,1,0.4130703,0.4581415,1,0.4081027,0.4470539
pilot_1004x2,1507129167896017,1507129720874961,All_of_noBias_trial_3,1,0.4207847,0.4530888,1,0.4052913,0.4377227
pilot_1004x2,1507129167912642,1507129720891588,All_of_noBias_trial_3,1,0.4130135,0.4534399,1,0.410353,0.4549167
pilot_1004x2,1507129167929272,1507129720908220,All_of_noBias_trial_3,1,0.4078603,0.4536085,1,0.4095566,0.44432
pilot_1004x2,1507129167945892,1507129720924843,All_of_noBias_trial_3,1,0.4139878,0.4540289,1,0.4085764,0.4544416
pilot_1004x2,1507129167962644,1507129720941597,All_of_noBias_trial_3,1,0.4169976,0.4535149,1,0.4028024,0.4416669
pilot_1004x2,1507129167979267,1507129720958222,All_of_noBias_trial_3,1,0.4037888,0.4782,1,0.4083792,0.4489465
pilot_1004x2,1507129167995892,1507129720974850,All_of_noBias_trial_3,0,NaN,NaN,1,0.4341372,0.492787
pilot_1004x2,1507129168012514,1507129720991474,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1004x2,1507129168029264,1507129721008226,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1004x2,1507129168045889,1507129721024854,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1004x2,1507129168062514,1507129721041481,All_of_noBias_trial_3,1,0.6650669,0.5072607,1,0.6392898,0.5189962
pilot_1004x2,1507129168079271,1507129721058240,All_of_noBias_trial_3,1,0.6464384,0.5094931,1,0.6347611,0.5090138
pilot_1004x2,1507129168096014,1507129721074986,All_of_noBias_trial_3,1,0.629597,0.511187,1,0.6341966,0.5118384
pilot_1004x2,1507129168112389,1507129721091363,All_of_noBias_trial_3,1,0.6315936,0.5167568,1,0.62577,0.5174897
pilot_1004x2,1507129168129139,1507129721108115,All_of_noBias_trial_3,1,0.6346715,0.5198061,1,0.6369402,0.5214213
pilot_1004x2,1507129168145766,1507129721124744,All_of_noBias_trial_3,1,0.6349227,0.5148654,1,0.6335177,0.5188472
pilot_1004x2,1507129168162389,1507129721141370,All_of_noBias_trial_3,1,0.6388696,0.514088,1,0.6303605,0.5170168
pilot_1004x2,1507129168179014,1507129721157997,All_of_noBias_trial_3,1,0.6331478,0.5162727,1,0.6312514,0.5218276
pilot_1004x2,1507129168195768,1507129721174753,All_of_noBias_trial_3,1,0.6331866,0.5198894,1,0.6331356,0.5189623
pilot_1004x2,1507129168212387,1507129721191375,All_of_noBias_trial_3,1,0.6335855,0.5202002,1,0.6316657,0.5170171
pilot_1004x2,1507129168229011,1507129721208001,All_of_noBias_trial_3,1,0.6332612,0.5098838,1,0.6306328,0.5158907
pilot_1004x2,1507129168245760,1507129721224752,All_of_noBias_trial_3,1,0.5348781,0.4390084,1,0.538757,0.4434962
pilot_1004x2,1507129168262385,1507129721241380,All_of_noBias_trial_3,1,0.5450354,0.4350333,1,0.5368922,0.4304111
pilot_1004x2,1507129168279011,1507129721258008,All_of_noBias_trial_3,1,0.5338135,0.4292523,1,0.5291576,0.4302947
pilot_1004x2,1507129168295511,1507129721274510,All_of_noBias_trial_3,1,0.5393256,0.4339477,1,0.5319287,0.4301959
pilot_1004x2,1507129168312261,1507129721291263,All_of_noBias_trial_3,1,0.5299221,0.439428,1,0.5273331,0.4317628
pilot_1004x2,1507129168328885,1507129721307889,All_of_noBias_trial_3,1,0.5320527,0.436297,1,0.5282501,0.4333838
pilot_1004x2,1507129168345636,1507129721324642,All_of_noBias_trial_3,1,0.531818,0.4331584,1,0.5275947,0.4323236
pilot_1004x2,1507129168362260,1507129721341269,All_of_noBias_trial_3,1,0.535211,0.440588,1,0.5305891,0.433999
pilot_1004x2,1507129168378883,1507129721357894,All_of_noBias_trial_3,1,0.5310972,0.4424802,1,0.5330048,0.4267297
pilot_1004x2,1507129168395508,1507129721374521,All_of_noBias_trial_3,1,0.5330434,0.4348874,1,0.5317096,0.4333387
pilot_1004x2,1507129168412133,1507129721391149,All_of_noBias_trial_3,1,0.5344975,0.4426634,1,0.5301515,0.4240157
pilot_1004x2,1507129168428883,1507129721407901,All_of_noBias_trial_3,1,0.5167316,0.4368492,1,0.5314026,0.4358218
pilot_1004x2,1507129168445515,1507129721424535,All_of_noBias_trial_3,1,0.5324473,0.435405,1,0.526211,0.4274321
pilot_1004x2,1507129168462133,1507129721441156,All_of_noBias_trial_3,1,0.522174,0.4375702,1,0.535504,0.4274237
pilot_1004x2,1507129168478758,1507129721457783,All_of_noBias_trial_3,1,0.531585,0.4366482,1,0.5257496,0.4289263
pilot_1004x2,1507129168495518,1507129721474545,All_of_noBias_trial_3,1,0.5311348,0.4411516,1,0.5321825,0.427394
pilot_1004x2,1507129168512132,1507129721491162,All_of_noBias_trial_3,1,0.5348489,0.4356653,1,0.5354029,0.4357718
