subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1005,1507216646002726,1507217199595596,All_of_Practice_4,1,0.1408069,0.3325065,1,0.1558356,0.2637359
pilot_1005,1507216646019475,1507217199612348,All_of_Practice_4,1,0.1628287,0.3628466,1,0.1636036,0.2830403
pilot_1005,1507216646036099,1507217199628973,All_of_Practice_4,1,0.1399874,0.312355,1,0.1654455,0.2911661
pilot_1005,1507216646052724,1507217199645601,All_of_Practice_4,1,0.153606,0.3238723,1,0.1678272,0.261219
pilot_1005,1507216646069347,1507217199662226,All_of_Practice_4,1,0.1544067,0.3342499,1,0.1614959,0.278417
pilot_1005,1507216646086096,1507217199678978,All_of_Practice_4,1,0.1578193,0.3258468,1,0.158681,0.281618
pilot_1005,1507216646102721,1507217199695605,All_of_Practice_4,1,0.1553328,0.3384959,1,0.1620446,0.2674584
pilot_1005,1507216646119346,1507217199712233,All_of_Practice_4,1,0.1605295,0.313649,1,0.1675864,0.2844927
pilot_1005,1507216646135971,1507217199728860,All_of_Practice_4,1,0.1720881,0.3592777,1,0.162901,0.2791713
pilot_1005,1507216646152595,1507217199745486,All_of_Practice_4,1,0.1550514,0.3303053,1,0.1557522,0.2780557
pilot_1005,1507216646169345,1507217199762239,All_of_Practice_4,1,0.1753268,0.3464998,1,0.1625117,0.2754136
pilot_1005,1507216646185970,1507217199778866,All_of_Practice_4,1,0.1778144,0.3441782,1,0.1634219,0.2647974
pilot_1005,1507216646202594,1507217199795493,All_of_Practice_4,1,0.1359257,0.3365045,1,0.1588816,0.2692247
pilot_1005,1507216646219219,1507217199812120,All_of_Practice_4,1,0.161293,0.3161885,1,0.1607401,0.2745071
pilot_1005,1507216646235969,1507217199828873,All_of_Practice_4,1,0.1728361,0.3406818,1,0.1680917,0.28455
pilot_1005,1507216646252592,1507217199845497,All_of_Practice_4,1,0.1906495,0.3574415,1,0.1723137,0.282752
pilot_1005,1507216646269217,1507217199862126,All_of_Practice_4,1,0.2020657,0.5162734,1,0.1770774,0.3503302
pilot_1005,1507216646285841,1507217199878751,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646302466,1507217199895379,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646319216,1507217199912131,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646335841,1507217199928759,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646352466,1507217199945386,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646369091,1507217199962014,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646385839,1507217199978764,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646402468,1507217199995396,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646419715,1507217200012645,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646436381,1507217200029314,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646453450,1507217200046385,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646470116,1507217200063054,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646486782,1507217200079721,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646504211,1507217200097153,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646519085,1507217200112029,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646535710,1507217200128657,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646552376,1507217200145325,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646568960,1507217200161912,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646585585,1507217200178539,All_of_Practice_4,0,NaN,NaN,1,0.3803774,0.5381969
pilot_1005,1507216646602210,1507217200195167,All_of_Practice_4,1,0.4735278,0.5642029,1,0.47258,0.3968401
pilot_1005,1507216646618957,1507217200211916,All_of_Practice_4,1,0.5191035,0.521643,1,0.4926503,0.4387386
pilot_1005,1507216646635582,1507217200228544,All_of_Practice_4,0,NaN,NaN,0,NaN,NaN
pilot_1005,1507216646652209,1507217200245173,All_of_Practice_4,0,NaN,NaN,1,0.5062941,0.3767572
