subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1016_9am,1508159412188617,1508159968874237,All_of_Main_trial_5,1,0.2833795,0.4152632,1,0.2665875,0.3794884
pilot_1016_9am,1508159412205243,1508159968890865,All_of_Main_trial_5,1,0.2989099,0.4219663,1,0.267287,0.3922591
pilot_1016_9am,1508159412221869,1508159968907492,All_of_Main_trial_5,1,0.2872107,0.4124194,1,0.2661074,0.3951206
pilot_1016_9am,1508159412238494,1508159968924119,All_of_Main_trial_5,1,0.2917345,0.4181353,1,0.2676603,0.3977359
pilot_1016_9am,1508159412255119,1508159968940746,All_of_Main_trial_5,1,0.2844616,0.4201077,1,0.2664031,0.3954266
pilot_1016_9am,1508159412271870,1508159968957499,All_of_Main_trial_5,1,0.2934282,0.4130898,1,0.2686708,0.3973819
pilot_1016_9am,1508159412288497,1508159968974128,All_of_Main_trial_5,1,0.2900807,0.4288161,1,0.2715345,0.3906424
pilot_1016_9am,1508159412305121,1508159968990754,All_of_Main_trial_5,1,0.2873269,0.424536,1,0.2707831,0.3877693
pilot_1016_9am,1508159412321751,1508159969007385,All_of_Main_trial_5,1,0.2813697,0.4174875,1,0.2688631,0.3873925
pilot_1016_9am,1508159412338370,1508159969024006,All_of_Main_trial_5,1,0.2910561,0.4209942,1,0.2670131,0.3882825
pilot_1016_9am,1508159412355119,1508159969040757,All_of_Main_trial_5,1,0.2892145,0.4253445,1,0.2698225,0.3773953
pilot_1016_9am,1508159412371747,1508159969057387,All_of_Main_trial_5,1,0.2915222,0.4153705,1,0.2710491,0.3933986
pilot_1016_9am,1508159412388370,1508159969074012,All_of_Main_trial_5,1,0.2871528,0.422928,1,0.269347,0.3819563
pilot_1016_9am,1508159412404996,1508159969090639,All_of_Main_trial_5,1,0.2870285,0.4167374,1,0.2693724,0.3864811
pilot_1016_9am,1508159412421627,1508159969107272,All_of_Main_trial_5,1,0.2902641,0.4212571,1,0.2695144,0.3756247
pilot_1016_9am,1508159412438247,1508159969123894,All_of_Main_trial_5,1,0.2935979,0.4164261,1,0.2715499,0.3843917
pilot_1016_9am,1508159412454997,1508159969140646,All_of_Main_trial_5,1,0.2893108,0.4107166,1,0.2663566,0.3795164
