subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1016_9am,1508159206289950,1508159762953174,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206306616,1508159762969841,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206323231,1508159762986458,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206339897,1508159763003126,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206356470,1508159763019701,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206373095,1508159763036328,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206390227,1508159763053461,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206407602,1508159763070838,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206423595,1508159763086833,All_of_noBias_trial_3,1,0.6343435,0.4569177,0,NaN,NaN
pilot_1016_9am,1508159206439720,1508159763102960,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206456532,1508159763119774,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206473198,1508159763136441,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
pilot_1016_9am,1508159206489980,1508159763153225,All_of_noBias_trial_3,1,0.8218897,0.3789275,1,0.8062595,0.3832318
pilot_1016_9am,1508159206506596,1508159763169843,All_of_noBias_trial_3,1,0.8255681,0.3847645,1,0.8086172,0.3800393
pilot_1016_9am,1508159206523236,1508159763186485,All_of_noBias_trial_3,1,0.822652,0.3964271,1,0.8112177,0.3822901
pilot_1016_9am,1508159206539972,1508159763203223,All_of_noBias_trial_3,1,0.8247362,0.3934381,1,0.8090911,0.3802528
pilot_1016_9am,1508159206556597,1508159763219849,All_of_noBias_trial_3,1,0.8240246,0.381235,1,0.8102519,0.3844946
pilot_1016_9am,1508159206573245,1508159763236499,All_of_noBias_trial_3,1,0.8236976,0.3942842,1,0.8081128,0.3806946
pilot_1016_9am,1508159206589848,1508159763253104,All_of_noBias_trial_3,1,0.8265955,0.3869512,1,0.8021535,0.3749659
pilot_1016_9am,1508159206606473,1508159763269731,All_of_noBias_trial_3,1,0.8245123,0.382306,1,0.8036124,0.3862383
pilot_1016_9am,1508159206623222,1508159763286482,All_of_noBias_trial_3,1,0.8215364,0.3949412,1,0.8068821,0.3774624
pilot_1016_9am,1508159206639847,1508159763303108,All_of_noBias_trial_3,1,0.8234163,0.3876828,1,0.8043795,0.3791783
pilot_1016_9am,1508159206656473,1508159763319736,All_of_noBias_trial_3,1,0.8262191,0.3792323,1,0.8048246,0.3781346
pilot_1016_9am,1508159206673098,1508159763336363,All_of_noBias_trial_3,1,0.8291307,0.3885518,1,0.80403,0.3755377
pilot_1016_9am,1508159206689724,1508159763352991,All_of_noBias_trial_3,1,0.8254739,0.3905026,1,0.8013331,0.3804694
pilot_1016_9am,1508159206706349,1508159763369618,All_of_noBias_trial_3,1,0.8252022,0.3862076,1,0.8066257,0.3840441
