subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_1030_12pm,1509378470262919,1509379043253077,All_of_noBias_trial_1,1,0.1284914,0.2066473,1,0.1456749,0.2557462
pilot_1030_12pm,1509378470279667,1509379043269826,All_of_noBias_trial_1,1,0.1263597,0.2089497,1,0.1445999,0.2549067
pilot_1030_12pm,1509378470296294,1509379043286454,All_of_noBias_trial_1,1,0.1298063,0.2142521,1,0.1462593,0.2563113
pilot_1030_12pm,1509378470312919,1509379043303080,All_of_noBias_trial_1,1,0.1317697,0.2122484,1,0.1435198,0.2511852
pilot_1030_12pm,1509378470329546,1509379043319708,All_of_noBias_trial_1,1,0.1329907,0.2134821,1,0.1439429,0.2510458
pilot_1030_12pm,1509378470346171,1509379043336333,All_of_noBias_trial_1,1,0.1349142,0.2081453,1,0.1407427,0.2521281
pilot_1030_12pm,1509378470362923,1509379043353086,All_of_noBias_trial_1,1,0.1233508,0.2060156,1,0.1475927,0.254405
pilot_1030_12pm,1509378470379549,1509379043369713,All_of_noBias_trial_1,1,0.1288318,0.2149678,1,0.1460661,0.2536712
pilot_1030_12pm,1509378470396175,1509379043386340,All_of_noBias_trial_1,1,0.1365522,0.2134196,1,0.1452763,0.2545415
pilot_1030_12pm,1509378470412801,1509379043402967,All_of_noBias_trial_1,1,0.1321682,0.2115329,1,0.1471852,0.2553563
pilot_1030_12pm,1509378470429427,1509379043419594,All_of_noBias_trial_1,1,0.1414984,0.2275612,1,0.1459989,0.2520529
pilot_1030_12pm,1509378470446178,1509379043436346,All_of_noBias_trial_1,1,0.1395664,0.212882,1,0.1484961,0.2582618
pilot_1030_12pm,1509378470462801,1509379043452970,All_of_noBias_trial_1,1,0.1378911,0.2072794,1,0.1477917,0.2616763
pilot_1030_12pm,1509378470479427,1509379043469597,All_of_noBias_trial_1,1,0.1316164,0.2212041,1,0.1430786,0.2537961
pilot_1030_12pm,1509378470496058,1509379043486229,All_of_noBias_trial_1,1,0.138406,0.2208758,1,0.1432426,0.2520342
pilot_1030_12pm,1509378470512679,1509379043502851,All_of_noBias_trial_1,1,0.1317926,0.2253213,1,0.1433991,0.2527667
pilot_1030_12pm,1509378470529430,1509379043519603,All_of_noBias_trial_1,1,0.133604,0.2209398,1,0.1457994,0.2553268
pilot_1030_12pm,1509378470546056,1509379043536230,All_of_noBias_trial_1,1,0.1252816,0.218331,1,0.1401792,0.2552626
pilot_1030_12pm,1509378470562682,1509379043552857,All_of_noBias_trial_1,1,0.1399897,0.22715,1,0.1414151,0.2550678
pilot_1030_12pm,1509378470579308,1509379043569484,All_of_noBias_trial_1,1,0.1409596,0.2280891,1,0.1426124,0.2569811
pilot_1030_12pm,1509378470596062,1509379043586239,All_of_noBias_trial_1,1,0.1385382,0.2268854,1,0.145165,0.258371
pilot_1030_12pm,1509378470612685,1509379043602863,All_of_noBias_trial_1,1,0.1371445,0.2270839,1,0.1416294,0.2547697
pilot_1030_12pm,1509378470629311,1509379043619490,All_of_noBias_trial_1,1,0.1348191,0.2303703,1,0.1446644,0.2617539
pilot_1030_12pm,1509378470645942,1509379043636122,All_of_noBias_trial_1,1,0.1364761,0.2298132,1,0.1397882,0.2575979
pilot_1030_12pm,1509378470662561,1509379043652742,All_of_noBias_trial_1,1,0.1287121,0.228033,1,0.1400305,0.2494478
pilot_1030_12pm,1509378470679311,1509379043669492,All_of_noBias_trial_1,1,0.1408498,0.2296586,1,0.1383249,0.2494789
pilot_1030_12pm,1509378470695937,1509379043686119,All_of_noBias_trial_1,1,0.1434083,0.222365,1,0.1366623,0.2438734
pilot_1030_12pm,1509378470712563,1509379043702746,All_of_noBias_trial_1,1,0.1368298,0.2264234,1,0.1366533,0.2489113
pilot_1030_12pm,1509378470729314,1509379043719498,All_of_noBias_trial_1,1,0.1414091,0.2227076,1,0.1485027,0.2521388
pilot_1030_12pm,1509378470745940,1509379043736125,All_of_noBias_trial_1,1,0.1561935,0.2286432,1,0.1581926,0.2565306
pilot_1030_12pm,1509378470762566,1509379043752752,All_of_noBias_trial_1,1,0.3626036,0.3492769,1,0.3537494,0.3712622
pilot_1030_12pm,1509378470779318,1509379043769505,All_of_noBias_trial_1,1,0.5072669,0.3805808,1,0.4844018,0.4110988
pilot_1030_12pm,1509378470795943,1509379043786131,All_of_noBias_trial_1,1,0.5215998,0.3956118,1,0.4888746,0.419045
pilot_1030_12pm,1509378470812569,1509379043802758,All_of_noBias_trial_1,1,0.52731,0.3919035,1,0.4900595,0.4116226
pilot_1030_12pm,1509378470829193,1509379043819383,All_of_noBias_trial_1,1,0.5268475,0.4028571,1,0.4960743,0.4250872
pilot_1030_12pm,1509378470845944,1509379043836136,All_of_noBias_trial_1,1,0.5245994,0.3949849,1,0.4889079,0.4189151
pilot_1030_12pm,1509378470862570,1509379043852763,All_of_noBias_trial_1,1,0.5282695,0.4000848,1,0.4903492,0.4345807
pilot_1030_12pm,1509378470879195,1509379043869389,All_of_noBias_trial_1,1,0.5317287,0.4006174,1,0.485839,0.416075
pilot_1030_12pm,1509378470895821,1509379043886015,All_of_noBias_trial_1,1,0.5295767,0.3981506,1,0.4809732,0.4221208
pilot_1030_12pm,1509378470912573,1509379043902768,All_of_noBias_trial_1,1,0.5183297,0.3996805,1,0.488267,0.4173619
pilot_1030_12pm,1509378470929199,1509379043919395,All_of_noBias_trial_1,1,0.5197114,0.4129497,1,0.4811074,0.4199188
