subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Kailee_path_0228_1pm,1519842524903862,1519843160663920,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842524920613,1519843160680672,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842524937239,1519843160697299,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842524953874,1519843160713935,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842524971227,1519843160731290,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842524987487,1519843160747551,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525004362,1519843160764427,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525020865,1519843160780931,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525037606,1519843160797673,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525054357,1519843160814425,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525070872,1519843160830942,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525087609,1519843160847680,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525104244,1519843160864316,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525120872,1519843160880945,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525137495,1519843160897569,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525154368,1519843160914443,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
Kailee_path_0228_1pm,1519842525170986,1519843160931063,All_of_Main_trial_3,0,NaN,NaN,0,NaN,NaN
