subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
child_04092018_9am,1523279823302601,1523280471617968,All_of_Practice_trial_1,1,0.5709442,0.5536635,1,0.4221341,0.5187709
child_04092018_9am,1523279823319226,1523280471634595,All_of_Practice_trial_1,1,0.5620975,0.553264,1,0.4064614,0.4872284
child_04092018_9am,1523279823335852,1523280471651223,All_of_Practice_trial_1,1,0.5661899,0.5484887,1,0.411941,0.50139
child_04092018_9am,1523279823352602,1523280471667975,All_of_Practice_trial_1,1,0.5636355,0.5541381,1,0.4225051,0.5280527
child_04092018_9am,1523279823369227,1523280471684602,All_of_Practice_trial_1,1,0.5633965,0.5448147,1,0.4106239,0.5078183
child_04092018_9am,1523279823385852,1523280471701229,All_of_Practice_trial_1,1,0.5705815,0.5464482,1,0.4114727,0.5368195
child_04092018_9am,1523279823402478,1523280471717857,All_of_Practice_trial_1,1,0.5708045,0.5425975,1,0.4172375,0.5060536
child_04092018_9am,1523279823419102,1523280471734483,All_of_Practice_trial_1,1,0.5613011,0.5363964,1,0.4189872,0.5011096
child_04092018_9am,1523279823435725,1523280471751108,All_of_Practice_trial_1,1,0.5656818,0.5449603,1,0.4109721,0.5267947
child_04092018_9am,1523279823452353,1523280471767738,All_of_Practice_trial_1,1,0.5737584,0.5363485,1,0.4111821,0.5112941
child_04092018_9am,1523279823469100,1523280471784487,All_of_Practice_trial_1,1,0.5730106,0.539557,1,0.4152516,0.4952847
child_04092018_9am,1523279823485726,1523280471801115,All_of_Practice_trial_1,1,0.5713757,0.5548462,1,0.4124242,0.507189
child_04092018_9am,1523279823502366,1523280471817757,All_of_Practice_trial_1,1,0.567032,0.5439515,1,0.4185489,0.5044211
child_04092018_9am,1523279823519101,1523280471834494,All_of_Practice_trial_1,1,0.5677385,0.5515237,1,0.4134111,0.5179636
child_04092018_9am,1523279823535727,1523280471851122,All_of_Practice_trial_1,1,0.5642364,0.5430641,1,0.406217,0.4962571
child_04092018_9am,1523279823552352,1523280471867749,All_of_Practice_trial_1,1,0.5686637,0.5382388,1,0.4193748,0.5227323
child_04092018_9am,1523279823569103,1523280471884503,All_of_Practice_trial_1,1,0.5617201,0.5311258,1,0.4216941,0.5109524
child_04092018_9am,1523279823585728,1523280471901130,All_of_Practice_trial_1,1,0.5646192,0.5458261,1,0.4197113,0.5313027
child_04092018_9am,1523279823602353,1523280471917757,All_of_Practice_trial_1,1,0.5757215,0.5373671,1,0.4189775,0.5047931
child_04092018_9am,1523279823618976,1523280471934382,All_of_Practice_trial_1,1,0.5708133,0.5422484,1,0.4157811,0.5019872
child_04092018_9am,1523279823635601,1523280471951009,All_of_Practice_trial_1,1,0.553744,0.5322093,1,0.4155047,0.5088338
child_04092018_9am,1523279823652361,1523280471967771,All_of_Practice_trial_1,1,0.5631773,0.5521023,1,0.4093253,0.5029613
child_04092018_9am,1523279823668976,1523280471984388,All_of_Practice_trial_1,1,0.5688861,0.5493843,1,0.4176446,0.4991154
child_04092018_9am,1523279823685601,1523280472001015,All_of_Practice_trial_1,1,0.5704786,0.5527382,1,0.4198073,0.5263984
child_04092018_9am,1523279823702226,1523280472017642,All_of_Practice_trial_1,1,0.5747029,0.5431722,1,0.4189437,0.5169697
child_04092018_9am,1523279823718977,1523280472034395,All_of_Practice_trial_1,1,0.5593256,0.5499981,1,0.4211098,0.5049331
child_04092018_9am,1523279823735602,1523280472051022,All_of_Practice_trial_1,1,0.5654087,0.5464301,1,0.4255795,0.4918576
child_04092018_9am,1523279823752228,1523280472067650,All_of_Practice_trial_1,1,0.5666776,0.5395077,1,0.4233162,0.5010082
child_04092018_9am,1523279823768978,1523280472084402,All_of_Practice_trial_1,1,0.5605676,0.5512234,1,0.4136271,0.4978216
child_04092018_9am,1523279823785603,1523280472101029,All_of_Practice_trial_1,1,0.5688419,0.5374091,1,0.4138997,0.4919001
child_04092018_9am,1523279823802226,1523280472117654,All_of_Practice_trial_1,1,0.5613726,0.5511394,1,0.412336,0.5267526
child_04092018_9am,1523279823818851,1523280472134281,All_of_Practice_trial_1,1,0.5717443,0.5466471,1,0.415639,0.5080227
child_04092018_9am,1523279823835602,1523280472151034,All_of_Practice_trial_1,1,0.5622566,0.5522795,1,0.4128394,0.4992715
child_04092018_9am,1523279823852102,1523280472167536,All_of_Practice_trial_1,1,0.5674241,0.5379562,1,0.406751,0.517546
child_04092018_9am,1523279823868852,1523280472184289,All_of_Practice_trial_1,1,0.5642484,0.5430824,1,0.4148271,0.5066575
child_04092018_9am,1523279823885477,1523280472200916,All_of_Practice_trial_1,1,0.5692608,0.5438549,1,0.4179936,0.4948699
child_04092018_9am,1523279823902102,1523280472217543,All_of_Practice_trial_1,1,0.5633952,0.5459629,1,0.4120259,0.5296754
child_04092018_9am,1523279823918729,1523280472234172,All_of_Practice_trial_1,1,0.5640388,0.5451475,1,0.4116583,0.5031695
child_04092018_9am,1523279823935478,1523280472250923,All_of_Practice_trial_1,1,0.5619115,0.5306647,1,0.4204209,0.5027823
child_04092018_9am,1523279823952103,1523280472267550,All_of_Practice_trial_1,1,0.556518,0.5453754,1,0.4103972,0.5084871
child_04092018_9am,1523279823968728,1523280472284177,All_of_Practice_trial_1,1,0.5661158,0.5361293,1,0.414593,0.5272276
child_04092018_9am,1523279823985352,1523280472300803,All_of_Practice_trial_1,1,0.5611348,0.5401049,1,0.4164577,0.5193147
child_04092018_9am,1523279824002109,1523280472317562,All_of_Practice_trial_1,1,0.5577853,0.5462028,1,0.4075235,0.5005795
child_04092018_9am,1523279824018727,1523280472334182,All_of_Practice_trial_1,1,0.5650049,0.5277378,1,0.4171736,0.4932211
child_04092018_9am,1523279824035352,1523280472350809,All_of_Practice_trial_1,1,0.5732484,0.5352439,1,0.4142891,0.489667
child_04092018_9am,1523279824051977,1523280472367436,All_of_Practice_trial_1,1,0.5668108,0.5342919,1,0.4161482,0.4971136
child_04092018_9am,1523279824068608,1523280472384069,All_of_Practice_trial_1,1,0.5628147,0.5354196,1,0.4152475,0.519749
child_04092018_9am,1523279824085352,1523280472400815,All_of_Practice_trial_1,1,0.5640431,0.5276818,1,0.4184511,0.5183087
child_04092018_9am,1523279824101853,1523280472417318,All_of_Practice_trial_1,1,0.567957,0.541151,1,0.4116173,0.4993529
child_04092018_9am,1523279824118603,1523280472434070,All_of_Practice_trial_1,1,0.5515618,0.5364394,1,0.4173737,0.4894761
child_04092018_9am,1523279824135228,1523280472450697,All_of_Practice_trial_1,1,0.5623165,0.5267624,1,0.4112805,0.5163611
child_04092018_9am,1523279824151853,1523280472467324,All_of_Practice_trial_1,1,0.5679074,0.5414861,1,0.413627,0.488286
child_04092018_9am,1523279824168601,1523280472484075,All_of_Practice_trial_1,1,0.5690106,0.5458841,1,0.4176823,0.5026538
child_04092018_9am,1523279824185226,1523280472500702,All_of_Practice_trial_1,1,0.5621635,0.5454457,1,0.4086102,0.5000255
child_04092018_9am,1523279824201851,1523280472517329,All_of_Practice_trial_1,1,0.5655658,0.5423239,1,0.4216711,0.5069039
child_04092018_9am,1523279824218477,1523280472533957,All_of_Practice_trial_1,1,0.5501205,0.5294833,1,0.4131418,0.4943137
child_04092018_9am,1523279824235230,1523280472550712,All_of_Practice_trial_1,1,0.6151302,0.4895178,1,0.467909,0.4560523
child_04092018_9am,1523279824251852,1523280472567336,All_of_Practice_trial_1,1,0.6989784,0.4231177,1,0.5463547,0.3996111
child_04092018_9am,1523279824268478,1523280472583964,All_of_Practice_trial_1,1,0.723021,0.4000795,1,0.5766742,0.3643957
child_04092018_9am,1523279824285103,1523280472600591,All_of_Practice_trial_1,1,0.7239344,0.3954549,1,0.5765461,0.3623267
child_04092018_9am,1523279824301728,1523280472617218,All_of_Practice_trial_1,1,0.7157442,0.4011788,1,0.5759694,0.3659171
child_04092018_9am,1523279824318353,1523280472633845,All_of_Practice_trial_1,1,0.7155443,0.4076371,1,0.5769093,0.370605
child_04092018_9am,1523279824335104,1523280472650598,All_of_Practice_trial_1,1,0.7167826,0.4029033,1,0.5754495,0.3704786
child_04092018_9am,1523279824351734,1523280472667230,All_of_Practice_trial_1,1,0.7289757,0.3938693,1,0.5812129,0.366384
child_04092018_9am,1523279824368352,1523280472683850,All_of_Practice_trial_1,1,0.7206824,0.3998232,1,0.5776143,0.3633438
child_04092018_9am,1523279824384976,1523280472700476,All_of_Practice_trial_1,1,0.7139511,0.4036188,1,0.5789208,0.3732319
child_04092018_9am,1523279824401602,1523280472717104,All_of_Practice_trial_1,1,0.7153427,0.4082637,1,0.5895211,0.364977
child_04092018_9am,1523279824418352,1523280472733856,All_of_Practice_trial_1,1,0.7188169,0.4009527,1,0.5714465,0.3696744
child_04092018_9am,1523279824434977,1523280472750483,All_of_Practice_trial_1,1,0.7286719,0.3993036,1,0.5711282,0.3754664
child_04092018_9am,1523279824451603,1523280472767111,All_of_Practice_trial_1,1,0.72302,0.3947831,1,0.572508,0.3714449
child_04092018_9am,1523279824468238,1523280472783748,All_of_Practice_trial_1,1,0.7122588,0.4080105,1,0.5736176,0.3701617
child_04092018_9am,1523279824484853,1523280472800366,All_of_Practice_trial_1,1,0.7182071,0.3996156,1,0.5704615,0.3761853
child_04092018_9am,1523279824501603,1523280472817118,All_of_Practice_trial_1,1,0.7207599,0.4019657,1,0.5682773,0.3738194
child_04092018_9am,1523279824518229,1523280472833746,All_of_Practice_trial_1,1,0.7163955,0.3981828,1,0.5717698,0.3725915
child_04092018_9am,1523279824534851,1523280472850370,All_of_Practice_trial_1,1,0.7288339,0.3873137,1,0.5702648,0.3602323
child_04092018_9am,1523279824551602,1523280472867123,All_of_Practice_trial_1,1,0.723618,0.3933588,1,0.5706775,0.3737139
child_04092018_9am,1523279824568227,1523280472883750,All_of_Practice_trial_1,1,0.7240629,0.3894012,1,0.5731211,0.3593738
