subjectID,system_time_stamp,point_description
child_04092018_9am,1523280510933141,Experiment_Start
child_04092018_9am,1523280519777060,Practice_1_Training_1_audio
child_04092018_9am,1523280522548269,Practice_1_Training_1_video
child_04092018_9am,1523280529092518,Practice_1_Training_2_audio
child_04092018_9am,1523280531951935,Practice_1_Training_2_video
child_04092018_9am,1523280539421912,Practice_1_Training_3_audio
child_04092018_9am,1523280542286341,Practice_1_Training_3_video
child_04092018_9am,1523280546766693,Practice_1_Training_4_audio
child_04092018_9am,1523280549501474,Practice_1_Training_4_video
child_04092018_9am,1523280555361953,Practice_1_SameVerbTest_audio
child_04092018_9am,1523280557956010,Practice_1_SameVerbTest_left_video
child_04092018_9am,1523280564033720,Practice_1_SameVerbTest_right_video
child_04092018_9am,1523280568813691,Practice_1_SameVerbTest_compareVideo1_start
child_04092018_9am,1523280573707760,Practice_1_SameVerbTest_compareVideo1_still
child_04092018_9am,1523280576721847,Practice_1_SameVerbTest_compareVideo1_end
child_04092018_9am,1523280577634401,Practice_1_SameVerbTest_compareVideo2_start
child_04092018_9am,1523280582555795,Practice_1_SameVerbTest_compareVideo2_still
child_04092018_9am,1523280585615394,Practice_1_SameVerbTest_compareVideo2_end
child_04092018_9am,1523280601046371,1_Ambig_audio_future
child_04092018_9am,1523280605423830,1_Ambig_video
child_04092018_9am,1523280611072641,1_Ambig_audio_past
child_04092018_9am,1523280615909321,1_Training_1_audio_future
child_04092018_9am,1523280619147866,1_Training_1_video
child_04092018_9am,1523280624605900,1_Training_1_audio_past
child_04092018_9am,1523280630388055,1_Training_2_audio_future
child_04092018_9am,1523280633557821,1_Training_2_video
child_04092018_9am,1523280638997532,1_Training_2_audio_past
child_04092018_9am,1523280641819684,1_Training_3_audio_future
child_04092018_9am,1523280645660175,1_Training_3_video
child_04092018_9am,1523280651392983,1_Training_3_audio_past
child_04092018_9am,1523280656203343,1_Training_4_audio_future
child_04092018_9am,1523280659577757,1_Training_4_video
child_04092018_9am,1523280665255251,1_Training_4_audio_past
child_04092018_9am,1523280670784158,1_SameVerbTest_audio_warmup
child_04092018_9am,1523280673988050,1_SameVerbTest_left_video
child_04092018_9am,1523280680187816,1_SameVerbTest_right_video
child_04092018_9am,1523280686293628,1_SameVerbTest_compareVideo1_start
