subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
child_pilot_0306,1520357773537996,1520358411022834,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773555246,1520358411040086,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773570133,1520358411054975,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773586747,1520358411071591,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773603369,1520358411088214,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773620004,1520358411104851,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773636745,1520358411121594,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773653371,1520358411138222,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773670497,1520358411155350,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773687872,1520358411172727,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773705247,1520358411190104,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773720002,1520358411204861,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773736624,1520358411221484,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773753249,1520358411238111,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773769885,1520358411254749,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773786622,1520358411271488,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773803247,1520358411288115,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773820373,1520358411305243,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773837748,1520358411322620,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773855124,1520358411339998,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
child_pilot_0306,1520357773869874,1520358411354749,All_of_Main_trial_7,0,NaN,NaN,0,NaN,NaN
