subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
child_pilot_03232018_3pmx2,1521834147523375,1521834789947503,All_of_Main_trial_2,1,0.3039359,0.4513625,1,0.3002013,0.4462076
child_pilot_03232018_3pmx2,1521834147540010,1521834789964139,All_of_Main_trial_2,1,0.301298,0.4533627,1,0.3040554,0.449563
child_pilot_03232018_3pmx2,1521834147556626,1521834789980757,All_of_Main_trial_2,1,0.2999045,0.4578527,1,0.2974394,0.4425594
child_pilot_03232018_3pmx2,1521834147573252,1521834789997385,All_of_Main_trial_2,1,0.3025992,0.4530315,1,0.319741,0.4453091
child_pilot_03232018_3pmx2,1521834147590003,1521834790014137,All_of_Main_trial_2,1,0.3076372,0.4509782,1,0.304752,0.4471602
child_pilot_03232018_3pmx2,1521834147606629,1521834790030765,All_of_Main_trial_2,1,0.3028667,0.4587409,1,0.2986791,0.4395989
child_pilot_03232018_3pmx2,1521834147623252,1521834790047389,All_of_Main_trial_2,1,0.3043546,0.4483882,1,0.3026618,0.445112
child_pilot_03232018_3pmx2,1521834147639878,1521834790064017,All_of_Main_trial_2,1,0.3055458,0.4534266,1,0.3045569,0.4390709
child_pilot_03232018_3pmx2,1521834147656628,1521834790080769,All_of_Main_trial_2,1,0.3004095,0.4611528,1,0.3019976,0.4406147
child_pilot_03232018_3pmx2,1521834147673253,1521834790097395,All_of_Main_trial_2,1,0.3088883,0.4572049,1,0.3004537,0.4367979
child_pilot_03232018_3pmx2,1521834147689879,1521834790114023,All_of_Main_trial_2,1,0.2963388,0.4484757,1,0.3024434,0.4411286
child_pilot_03232018_3pmx2,1521834147706505,1521834790130651,All_of_Main_trial_2,1,0.3064317,0.4583113,1,0.3012311,0.4417167
child_pilot_03232018_3pmx2,1521834147723256,1521834790147403,All_of_Main_trial_2,1,0.3054252,0.4562015,1,0.3011267,0.4328287
child_pilot_03232018_3pmx2,1521834147739881,1521834790164030,All_of_Main_trial_2,1,0.3090918,0.4501632,1,0.2994397,0.4474456
child_pilot_03232018_3pmx2,1521834147756507,1521834790180657,All_of_Main_trial_2,1,0.3063921,0.4545482,1,0.3045276,0.4429675
child_pilot_03232018_3pmx2,1521834147773133,1521834790197286,All_of_Main_trial_2,1,0.3113151,0.4526516,1,0.2957397,0.4413517
child_pilot_03232018_3pmx2,1521834147789763,1521834790213917,All_of_Main_trial_2,1,0.3148758,0.4491554,1,0.2985505,0.4347267
