subjectID,system_time_stamp,point_description
child_pilot_03232018_5pm,1521838838190036,Experiment_Start
child_pilot_03232018_5pm,1521838855487559,Practice_1_Training_1_audio
child_pilot_03232018_5pm,1521838858122550,Practice_1_Training_1_video
child_pilot_03232018_5pm,1521838864692019,Practice_1_Training_2_audio
child_pilot_03232018_5pm,1521838867404926,Practice_1_Training_2_video
child_pilot_03232018_5pm,1521838874381029,Practice_1_Training_3_audio
child_pilot_03232018_5pm,1521838877139824,Practice_1_Training_3_video
child_pilot_03232018_5pm,1521838881718465,Practice_1_Training_4_audio
child_pilot_03232018_5pm,1521838884425673,Practice_1_Training_4_video
child_pilot_03232018_5pm,1521838890323310,Practice_1_SameVerbTest_audio
child_pilot_03232018_5pm,1521838892767991,Practice_1_SameVerbTest_left_video
child_pilot_03232018_5pm,1521838898984959,Practice_1_SameVerbTest_right_video
child_pilot_03232018_5pm,1521838903717066,Practice_1_SameVerbTest_compareVideo1_start
child_pilot_03232018_5pm,1521838908662554,Practice_1_SameVerbTest_compareVideo1_still
child_pilot_03232018_5pm,1521838911707599,Practice_1_SameVerbTest_compareVideo1_end
child_pilot_03232018_5pm,1521838912641286,Practice_1_SameVerbTest_compareVideo2_start
child_pilot_03232018_5pm,1521838917561075,Practice_1_SameVerbTest_compareVideo2_still
child_pilot_03232018_5pm,1521838920581501,Practice_1_SameVerbTest_compareVideo2_end
child_pilot_03232018_5pm,1521838934356526,1_Ambig_audio_future
child_pilot_03232018_5pm,1521838939093576,1_Ambig_video
child_pilot_03232018_5pm,1521838944658223,1_Ambig_audio_past
child_pilot_03232018_5pm,1521838949423655,1_Training_1_audio_future
child_pilot_03232018_5pm,1521838953446984,1_Training_1_video
child_pilot_03232018_5pm,1521838958901221,1_Training_1_audio_past
child_pilot_03232018_5pm,1521838965470112,1_Training_2_audio_future
child_pilot_03232018_5pm,1521838968979435,1_Training_2_video
child_pilot_03232018_5pm,1521838974620291,1_Training_2_audio_past
child_pilot_03232018_5pm,1521838977631384,1_Training_3_audio_future
child_pilot_03232018_5pm,1521838981742234,1_Training_3_video
child_pilot_03232018_5pm,1521838987273694,1_Training_3_audio_past
child_pilot_03232018_5pm,1521838992760462,1_Training_4_audio_future
child_pilot_03232018_5pm,1521838995999752,1_Training_4_video
child_pilot_03232018_5pm,1521839001313709,1_Training_4_audio_past
child_pilot_03232018_5pm,1521839007141332,1_SameVerbTest_audio_warmup
child_pilot_03232018_5pm,1521839010167008,1_SameVerbTest_left_video
child_pilot_03232018_5pm,1521839016258954,1_SameVerbTest_right_video
child_pilot_03232018_5pm,1521839022390468,1_SameVerbTest_compareVideo1_start
child_pilot_03232018_5pm,1521839028057383,1_SameVerbTest_compareVideo1_still
child_pilot_03232018_5pm,1521839031074083,1_SameVerbTest_compareVideo1_end
child_pilot_03232018_5pm,1521839033996330,1_SameVerbTest_compareVideo2_start
child_pilot_03232018_5pm,1521839039669949,1_SameVerbTest_compareVideo2_still
child_pilot_03232018_5pm,1521839042691272,1_SameVerbTest_compareVideo2_end
child_pilot_03232018_5pm,1521839064659216,2_Ambig_audio_future
child_pilot_03232018_5pm,1521839069403753,2_Ambig_video
child_pilot_03232018_5pm,1521839074901990,2_Ambig_audio_past
child_pilot_03232018_5pm,1521839079920269,2_Training_1_audio_future
child_pilot_03232018_5pm,1521839082928684,2_Training_1_video
child_pilot_03232018_5pm,1521839088298691,2_Training_1_audio_past
child_pilot_03232018_5pm,1521839093997863,2_Training_2_audio_future
child_pilot_03232018_5pm,1521839097327293,2_Training_2_video
child_pilot_03232018_5pm,1521839101889700,2_Training_2_audio_past
child_pilot_03232018_5pm,1521839104790806,2_Training_3_audio_future
child_pilot_03232018_5pm,1521839108785819,2_Training_3_video
child_pilot_03232018_5pm,1521839114080209,2_Training_3_audio_past
child_pilot_03232018_5pm,1521839118747179,2_Training_4_audio_future
child_pilot_03232018_5pm,1521839122204691,2_Training_4_video
child_pilot_03232018_5pm,1521839127345545,2_Training_4_audio_past
child_pilot_03232018_5pm,1521839133335730,2_SameVerbTest_audio_warmup
child_pilot_03232018_5pm,1521839136372995,2_SameVerbTest_left_video
child_pilot_03232018_5pm,1521839141668731,2_SameVerbTest_right_video
child_pilot_03232018_5pm,1521839147741266,2_SameVerbTest_compareVideo1_start
child_pilot_03232018_5pm,1521839153426482,2_SameVerbTest_compareVideo1_still
child_pilot_03232018_5pm,1521839156446960,2_SameVerbTest_compareVideo1_end
child_pilot_03232018_5pm,1521839159190079,2_SameVerbTest_compareVideo2_start
child_pilot_03232018_5pm,1521839164893336,2_SameVerbTest_compareVideo2_still
child_pilot_03232018_5pm,1521839167920115,2_SameVerbTest_compareVideo2_end
child_pilot_03232018_5pm,1521839190394153,5_Ambig_audio_future
child_pilot_03232018_5pm,1521839194791776,5_Ambig_video
child_pilot_03232018_5pm,1521839200521023,5_Ambig_audio_past
child_pilot_03232018_5pm,1521839204983097,5_Bias_audio_warmup
child_pilot_03232018_5pm,1521839207977000,5_Bias_left_video
child_pilot_03232018_5pm,1521839214085019,5_Bias_right_video
child_pilot_03232018_5pm,1521839220142564,5_Bias_compareVideo1_start
child_pilot_03232018_5pm,1521839225799167,5_Bias_compareVideo1_still
child_pilot_03232018_5pm,1521839228846456,5_Bias_compareVideo1_end
child_pilot_03232018_5pm,1521839231562404,5_Bias_compareVideo2_start
child_pilot_03232018_5pm,1521839237248958,5_Bias_compareVideo2_still
child_pilot_03232018_5pm,1521839240299079,5_Bias_compareVideo2_end
child_pilot_03232018_5pm,1521839244730156,5_Training_1_audio_future
child_pilot_03232018_5pm,1521839247929174,5_Training_1_video
child_pilot_03232018_5pm,1521839253618696,5_Training_1_audio_past
child_pilot_03232018_5pm,1521839259447977,5_Training_3_audio_future
child_pilot_03232018_5pm,1521839262773314,5_Training_3_video
child_pilot_03232018_5pm,1521839268410394,5_Training_3_audio_past
child_pilot_03232018_5pm,1521839273734812,5_Training_4_audio_future
child_pilot_03232018_5pm,1521839277087248,5_Training_4_video
child_pilot_03232018_5pm,1521839282638708,5_Training_4_audio_past
child_pilot_03232018_5pm,1521839288304955,5_SameVerbTest_audio_warmup
child_pilot_03232018_5pm,1521839291364194,5_SameVerbTest_left_video
child_pilot_03232018_5pm,1521839297245447,5_SameVerbTest_right_video
child_pilot_03232018_5pm,1521839303255487,5_SameVerbTest_compareVideo1_start
child_pilot_03232018_5pm,1521839308836183,5_SameVerbTest_compareVideo1_still
child_pilot_03232018_5pm,1521839311856004,5_SameVerbTest_compareVideo1_end
child_pilot_03232018_5pm,1521839314645043,5_SameVerbTest_compareVideo2_start
child_pilot_03232018_5pm,1521839320214062,5_SameVerbTest_compareVideo2_still
child_pilot_03232018_5pm,1521839323228094,5_SameVerbTest_compareVideo2_end
child_pilot_03232018_5pm,1521839349028972,6_Ambig_audio_future
child_pilot_03232018_5pm,1521839353613932,6_Ambig_video
child_pilot_03232018_5pm,1521839359250867,6_Ambig_audio_past
child_pilot_03232018_5pm,1521839364870498,6_Bias_audio_warmup
child_pilot_03232018_5pm,1521839367890685,6_Bias_left_video
child_pilot_03232018_5pm,1521839373209556,6_Bias_right_video
child_pilot_03232018_5pm,1521839379297675,6_Bias_compareVideo1_start
child_pilot_03232018_5pm,1521839384936541,6_Bias_compareVideo1_still
child_pilot_03232018_5pm,1521839387985058,6_Bias_compareVideo1_end
child_pilot_03232018_5pm,1521839390839601,6_Bias_compareVideo2_start
child_pilot_03232018_5pm,1521839396503214,6_Bias_compareVideo2_still
child_pilot_03232018_5pm,1521839399514585,6_Bias_compareVideo2_end
child_pilot_03232018_5pm,1521839403247135,6_Training_1_audio_future
child_pilot_03232018_5pm,1521839406752971,6_Training_1_video
child_pilot_03232018_5pm,1521839412313586,6_Training_1_audio_past
child_pilot_03232018_5pm,1521839418408418,6_Training_3_audio_future
child_pilot_03232018_5pm,1521839422134224,6_Training_3_video
child_pilot_03232018_5pm,1521839427803395,6_Training_3_audio_past
child_pilot_03232018_5pm,1521839433086071,6_Training_4_audio_future
child_pilot_03232018_5pm,1521839436434978,6_Training_4_video
child_pilot_03232018_5pm,1521839441952981,6_Training_4_audio_past
child_pilot_03232018_5pm,1521839447708405,6_SameVerbTest_audio_warmup
child_pilot_03232018_5pm,1521839450882831,6_SameVerbTest_left_video
child_pilot_03232018_5pm,1521839457073869,6_SameVerbTest_right_video
child_pilot_03232018_5pm,1521839462973487,6_SameVerbTest_compareVideo1_start
child_pilot_03232018_5pm,1521839468699742,6_SameVerbTest_compareVideo1_still
child_pilot_03232018_5pm,1521839471715116,6_SameVerbTest_compareVideo1_end
child_pilot_03232018_5pm,1521839474554825,6_SameVerbTest_compareVideo2_start
child_pilot_03232018_5pm,1521839480263154,6_SameVerbTest_compareVideo2_still
child_pilot_03232018_5pm,1521839483288936,6_SameVerbTest_compareVideo2_end
child_pilot_03232018_5pm,1521839508519608,7_Ambig_audio_future
child_pilot_03232018_5pm,1521839513013261,7_Ambig_video
child_pilot_03232018_5pm,1521839518644340,7_Ambig_audio_past
child_pilot_03232018_5pm,1521839523584759,7_Bias_audio_warmup
child_pilot_03232018_5pm,1521839526622229,7_Bias_left_video
child_pilot_03232018_5pm,1521839532100534,7_Bias_right_video
child_pilot_03232018_5pm,1521839537949531,7_Bias_compareVideo1_start
child_pilot_03232018_5pm,1521839543368006,7_Bias_compareVideo1_still
child_pilot_03232018_5pm,1521839546377355,7_Bias_compareVideo1_end
child_pilot_03232018_5pm,1521839549304995,7_Bias_compareVideo2_start
child_pilot_03232018_5pm,1521839554685719,7_Bias_compareVideo2_still
child_pilot_03232018_5pm,1521839557705586,7_Bias_compareVideo2_end
