subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
child_pilot_032618_11am,1522077197728086,1522077840469803,All_of_Main_trial_1,1,0.5840091,0.5537334,1,0.5538575,0.5650049
child_pilot_032618_11am,1522077197744704,1522077840486423,All_of_Main_trial_1,1,0.5906677,0.555519,1,0.5526131,0.5602002
child_pilot_032618_11am,1522077197761455,1522077840503175,All_of_Main_trial_1,1,0.5871662,0.5396607,1,0.5521248,0.5584172
child_pilot_032618_11am,1522077197778081,1522077840519803,All_of_Main_trial_1,1,0.5820272,0.5546819,1,0.5503349,0.5622969
child_pilot_032618_11am,1522077197794707,1522077840536430,All_of_Main_trial_1,1,0.5842488,0.5699772,1,0.5534842,0.5629991
child_pilot_032618_11am,1522077197811332,1522077840553057,All_of_Main_trial_1,1,0.5860649,0.5465078,1,0.5519321,0.5639594
child_pilot_032618_11am,1522077197827958,1522077840569684,All_of_Main_trial_1,1,0.5811962,0.5426611,1,0.5543287,0.5585629
child_pilot_032618_11am,1522077197844709,1522077840586436,All_of_Main_trial_1,1,0.5794584,0.5419654,1,0.5531568,0.5615126
child_pilot_032618_11am,1522077197861335,1522077840603064,All_of_Main_trial_1,1,0.582697,0.5568803,1,0.5484352,0.5618412
child_pilot_032618_11am,1522077197877964,1522077840619694,All_of_Main_trial_1,1,0.5767452,0.5527704,1,0.552584,0.5626011
child_pilot_032618_11am,1522077197894587,1522077840636319,All_of_Main_trial_1,1,0.5780942,0.5515316,1,0.5493011,0.5589165
child_pilot_032618_11am,1522077197911213,1522077840652946,All_of_Main_trial_1,1,0.5869044,0.5615329,1,0.5543978,0.5501563
child_pilot_032618_11am,1522077197927975,1522077840669710,All_of_Main_trial_1,1,0.5791584,0.5688146,1,0.5499846,0.5591846
child_pilot_032618_11am,1522077197944587,1522077840686323,All_of_Main_trial_1,1,0.5812204,0.570852,1,0.5504332,0.5559986
child_pilot_032618_11am,1522077197961213,1522077840702951,All_of_Main_trial_1,1,0.570976,0.5442476,1,0.5423251,0.5674107
child_pilot_032618_11am,1522077197977839,1522077840719578,All_of_Main_trial_1,1,0.5790465,0.5486705,1,0.553399,0.5620766
child_pilot_032618_11am,1522077197994590,1522077840736331,All_of_Main_trial_1,1,0.5753592,0.5505903,1,0.548354,0.5547631
child_pilot_032618_11am,1522077198011216,1522077840752958,All_of_Main_trial_1,1,0.5869364,0.5473421,1,0.5507364,0.573303
child_pilot_032618_11am,1522077198027840,1522077840769583,All_of_Main_trial_1,1,0.5736194,0.5546733,1,0.5454872,0.5567637
