subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
childpilot_032918,1522332791650716,1522333436861172,All_of_Main_trial_2,1,0.8566375,0.3255989,1,0.7895868,0.4291309
childpilot_032918,1522332791667458,1522333436877916,All_of_Main_trial_2,1,0.8557951,0.3284222,1,0.7864,0.4169578
childpilot_032918,1522332791684208,1522333436894667,All_of_Main_trial_2,1,0.8590019,0.3308372,1,0.7901735,0.4227793
childpilot_032918,1522332791700709,1522333436911170,All_of_Main_trial_2,1,0.8476225,0.3326994,1,0.7893068,0.4166044
childpilot_032918,1522332791717459,1522333436927921,All_of_Main_trial_2,1,0.8605779,0.3308993,1,0.7904728,0.4048176
childpilot_032918,1522332791734085,1522333436944549,All_of_Main_trial_2,1,0.8597704,0.3175536,1,0.7892911,0.4193878
childpilot_032918,1522332791750712,1522333436961177,All_of_Main_trial_2,1,0.8603123,0.3231426,1,0.7911522,0.4301297
childpilot_032918,1522332791767461,1522333436977928,All_of_Main_trial_2,1,0.8566874,0.3294901,1,0.7909847,0.4408717
childpilot_032918,1522332791784090,1522333436994559,All_of_Main_trial_2,1,0.8629172,0.320445,1,0.7903324,0.4273367
childpilot_032918,1522332791800711,1522333437011181,All_of_Main_trial_2,1,0.8586224,0.3247093,1,0.788717,0.4133133
childpilot_032918,1522332791817337,1522333437027809,All_of_Main_trial_2,1,0.8635747,0.3191517,1,0.7893636,0.4187947
childpilot_032918,1522332791833959,1522333437044433,All_of_Main_trial_2,1,0.8525496,0.3295563,1,0.7885022,0.4112729
childpilot_032918,1522332791850713,1522333437061188,All_of_Main_trial_2,1,0.8584085,0.3224368,1,0.7865568,0.4067524
childpilot_032918,1522332791867344,1522333437077821,All_of_Main_trial_2,1,0.8578282,0.3297419,1,0.7958183,0.4095754
childpilot_032918,1522332791883964,1522333437094442,All_of_Main_trial_2,1,0.8618779,0.3267694,1,0.7919315,0.4170791
childpilot_032918,1522332791900590,1522333437111070,All_of_Main_trial_2,0,NaN,NaN,0,NaN,NaN
childpilot_032918,1522332791917216,1522333437127698,All_of_Main_trial_2,1,0.858149,0.3218459,1,0.7893586,0.4165831
childpilot_032918,1522332791933966,1522333437144450,All_of_Main_trial_2,1,0.859658,0.3188193,1,0.7908322,0.4072232
childpilot_032918,1522332791950590,1522333437161075,All_of_Main_trial_2,1,0.8603241,0.3265718,1,0.7916371,0.4143043
childpilot_032918,1522332791967215,1522333437177702,All_of_Main_trial_2,1,0.849788,0.3137601,1,0.792442,0.4104248
childpilot_032918,1522332791983842,1522333437194330,All_of_Main_trial_2,1,0.8587726,0.3193998,1,0.7917773,0.4024031
childpilot_032918,1522332792000467,1522333437210957,All_of_Main_trial_2,1,0.8585615,0.3214123,1,0.7832745,0.4144687
childpilot_032918,1522332792017218,1522333437227709,All_of_Main_trial_2,1,0.8570209,0.3173906,1,0.7892652,0.4103028
childpilot_032918,1522332792033844,1522333437244337,All_of_Main_trial_2,1,0.840951,0.3185329,1,0.7855936,0.4169579
childpilot_032918,1522332792050469,1522333437260964,All_of_Main_trial_2,1,0.6745377,0.3140019,1,0.6442171,0.4000472
childpilot_032918,1522332792067096,1522333437277592,All_of_Main_trial_2,1,0.5280004,0.3522262,1,0.4967356,0.4661282
childpilot_032918,1522332792083845,1522333437294343,All_of_Main_trial_2,1,0.4029449,0.3801152,1,0.3728548,0.471564
childpilot_032918,1522332792100471,1522333437310970,All_of_Main_trial_2,1,0.3967998,0.3656941,1,0.248974,0.4769999
childpilot_032918,1522332792117096,1522333437327597,All_of_Main_trial_2,1,0.3908772,0.380011,1,0.3377498,0.4535728
childpilot_032918,1522332792133720,1522333437344223,All_of_Main_trial_2,1,0.3891898,0.3734675,1,0.333186,0.4377508
childpilot_032918,1522332792150345,1522333437360849,All_of_Main_trial_2,1,0.3965117,0.3693601,1,0.3308395,0.4349146
childpilot_032918,1522332792167096,1522333437377602,All_of_Main_trial_2,1,0.3896573,0.3858483,1,0.328493,0.4320784
childpilot_032918,1522332792183722,1522333437394230,All_of_Main_trial_2,1,0.3974168,0.3880838,1,0.3319366,0.4540868
childpilot_032918,1522332792200348,1522333437410857,All_of_Main_trial_2,1,0.3946989,0.3770336,1,0.3365895,0.4478258
childpilot_032918,1522332792217100,1522333437427611,All_of_Main_trial_2,1,0.3939134,0.3840124,1,0.3380101,0.4586368
childpilot_032918,1522332792233599,1522333437444112,All_of_Main_trial_2,1,0.3871332,0.3662629,1,0.3394307,0.4580665
childpilot_032918,1522332792250350,1522333437460864,All_of_Main_trial_2,1,0.3934851,0.3659184,1,0.3406121,0.450262
childpilot_032918,1522332792266976,1522333437477492,All_of_Main_trial_2,1,0.3941868,0.3817877,1,0.3384129,0.4359881
childpilot_032918,1522332792283601,1522333437494118,All_of_Main_trial_2,1,0.395438,0.3767008,1,0.3402393,0.4452772
childpilot_032918,1522332792300351,1522333437510870,All_of_Main_trial_2,1,0.3897423,0.3675877,1,0.3393819,0.4388576
childpilot_032918,1522332792316859,1522333437527379,All_of_Main_trial_2,1,0.3915049,0.370694,1,0.3386545,0.4293134
childpilot_032918,1522332792333600,1522333437544122,All_of_Main_trial_2,1,0.3950308,0.3636545,1,0.3384909,0.4428227
childpilot_032918,1522332792350226,1522333437560750,All_of_Main_trial_2,1,0.3943386,0.367673,1,0.3331335,0.4321272
childpilot_032918,1522332792366852,1522333437577377,All_of_Main_trial_2,1,0.3846811,0.3665962,1,0.3312386,0.4375683
childpilot_032918,1522332792383603,1522333437594130,All_of_Main_trial_2,1,0.3931679,0.3762726,1,0.3337234,0.4423499
childpilot_032918,1522332792400238,1522333437610766,All_of_Main_trial_2,1,0.3920874,0.3791797,1,0.3307375,0.4480567
childpilot_032918,1522332792416854,1522333437627384,All_of_Main_trial_2,1,0.3891371,0.3721446,1,0.3330359,0.4347024
childpilot_032918,1522332792433480,1522333437644011,All_of_Main_trial_2,1,0.3920247,0.3681322,1,0.3318114,0.4340555
childpilot_032918,1522332792450239,1522333437660772,All_of_Main_trial_2,1,0.3980985,0.3611961,1,0.3348053,0.4422178
childpilot_032918,1522332792466732,1522333437677267,All_of_Main_trial_2,1,0.3962454,0.3799509,1,0.3354245,0.4498543
childpilot_032918,1522332792483483,1522333437694020,All_of_Main_trial_2,1,0.3914136,0.3775877,1,0.3315896,0.4462717
childpilot_032918,1522332792500232,1522333437710771,All_of_Main_trial_2,1,0.3891208,0.3800747,1,0.3307241,0.4501686
childpilot_032918,1522332792516731,1522333437727271,All_of_Main_trial_2,1,0.3928535,0.3766968,1,0.3317615,0.4420176
childpilot_032918,1522332792533481,1522333437744023,All_of_Main_trial_2,1,0.3936341,0.3702258,1,0.3297209,0.4287546
childpilot_032918,1522332792550107,1522333437760650,All_of_Main_trial_2,1,0.4839394,0.3542793,1,0.4293998,0.4075783
childpilot_032918,1522332792566741,1522333437777286,All_of_Main_trial_2,1,0.4899822,0.3606895,1,0.4612658,0.3916775
childpilot_032918,1522332792583484,1522333437794030,All_of_Main_trial_2,1,0.5081094,0.3588905,1,0.4391011,0.4182505
childpilot_032918,1522332792599990,1522333437810538,All_of_Main_trial_2,1,0.5059598,0.350788,1,0.4461902,0.4239662
childpilot_032918,1522332792616735,1522333437827284,All_of_Main_trial_2,1,0.5049118,0.3541608,1,0.4365807,0.4244263
childpilot_032918,1522332792633361,1522333437843912,All_of_Main_trial_2,1,0.4988123,0.3556733,1,0.4381036,0.4248863
childpilot_032918,1522332792649987,1522333437860540,All_of_Main_trial_2,1,0.5071604,0.3496549,1,0.4418979,0.4253305
childpilot_032918,1522332792666738,1522333437877292,All_of_Main_trial_2,1,0.5037692,0.3579858,1,0.4421473,0.422623
childpilot_032918,1522332792683361,1522333437893917,All_of_Main_trial_2,1,0.5020007,0.3583257,1,0.4379551,0.4387919
childpilot_032918,1522332792699986,1522333437910543,All_of_Main_trial_2,1,0.497461,0.3621839,1,0.436724,0.4423766
childpilot_032918,1522332792716611,1522333437927170,All_of_Main_trial_2,1,0.5018776,0.3493885,1,0.4449936,0.4230096
childpilot_032918,1522332792733237,1522333437943797,All_of_Main_trial_2,1,0.5123274,0.3514006,1,0.444244,0.4374692
childpilot_032918,1522332792749988,1522333437960551,All_of_Main_trial_2,1,0.5083274,0.3447327,1,0.4417472,0.4354252
childpilot_032918,1522332792766614,1522333437977178,All_of_Main_trial_2,1,0.49563,0.359208,1,0.4404153,0.4333811
childpilot_032918,1522332792783250,1522333437993816,All_of_Main_trial_2,1,0.503238,0.3531552,1,0.4472157,0.4285325
