subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot x2,1521467788649692,1521468428848606,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788666358,1521468428865273,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788683588,1521468428882504,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788700254,1521468428899171,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788717570,1521468428916488,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788732319,1521468428931239,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788749008,1521468428947931,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788765674,1521468428964600,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788782315,1521468428981243,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788798981,1521468428997913,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788815584,1521468429014519,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788832199,1521468429031137,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788849138,1521468429048079,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788865804,1521468429064748,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788882941,1521468429081888,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788899607,1521468429098556,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788916705,1521468429115657,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788934092,1521468429133048,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788949775,1521468429148733,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788966441,1521468429165402,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788982637,1521468429181601,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467788999303,1521468429198270,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789015461,1521468429214432,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789032107,1521468429231080,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789048723,1521468429247699,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789065389,1521468429264368,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789082303,1521468429281285,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789098969,1521468429297954,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789115971,1521468429314959,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789133218,1521468429332209,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789150595,1521468429349589,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789165343,1521468429364340,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789181969,1521468429380968,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789198720,1521468429397722,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789215232,1521468429414237,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789231974,1521468429430983,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789248912,1521468429447924,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789265578,1521468429464593,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789282477,1521468429481495,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
pilot x2,1521467789299728,1521468429498749,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
