subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot x2,1521467292149834,1521467932316653,All_of_Practice_trial_1,1,0.5799458,0.6017912,1,0.5726603,0.5808154
pilot x2,1521467292166585,1521467932333405,All_of_Practice_trial_1,1,0.5831974,0.5947616,1,0.5740958,0.573015
pilot x2,1521467292183087,1521467932349908,All_of_Practice_trial_1,1,0.5838276,0.6016325,1,0.573804,0.5743152
pilot x2,1521467292199838,1521467932366660,All_of_Practice_trial_1,1,0.577202,0.5986025,1,0.5694817,0.5770351
pilot x2,1521467292216469,1521467932383292,All_of_Practice_trial_1,1,0.5115656,0.5962773,1,0.5122561,0.573505
pilot x2,1521467292233214,1521467932400038,All_of_Practice_trial_1,1,0.5109383,0.5937205,1,0.5101502,0.5689114
pilot x2,1521467292249730,1521467932416555,All_of_Practice_trial_1,1,0.5111206,0.6023312,1,0.5052545,0.5731516
pilot x2,1521467292266467,1521467932433293,All_of_Practice_trial_1,1,0.5163672,0.6081069,1,0.5027279,0.5715141
pilot x2,1521467292283093,1521467932449920,All_of_Practice_trial_1,1,0.5173448,0.6074379,1,0.5062149,0.5744981
pilot x2,1521467292299842,1521467932466670,All_of_Practice_trial_1,1,0.5170052,0.602093,1,0.5069404,0.5760679
pilot x2,1521467292316341,1521467932483170,All_of_Practice_trial_1,1,0.5091903,0.601824,1,0.5045552,0.5751641
pilot x2,1521467292333095,1521467932499925,All_of_Practice_trial_1,1,0.507549,0.5970663,1,0.5023853,0.5800765
pilot x2,1521467292349731,1521467932516562,All_of_Practice_trial_1,1,0.5123318,0.6050575,1,0.502491,0.5797294
pilot x2,1521467292366347,1521467932533179,All_of_Practice_trial_1,1,0.5136182,0.6044325,1,0.5020992,0.5758107
pilot x2,1521467292382973,1521467932549806,All_of_Practice_trial_1,1,0.5083571,0.5962296,1,0.50179,0.5737835
pilot x2,1521467292399731,1521467932566565,All_of_Practice_trial_1,1,0.5094618,0.5955502,1,0.5035334,0.5733294
pilot x2,1521467292416350,1521467932583185,All_of_Practice_trial_1,1,0.5101043,0.5950679,1,0.4999397,0.5724474
pilot x2,1521467292432976,1521467932599813,All_of_Practice_trial_1,1,0.5145032,0.5996492,1,0.5027159,0.5810528
pilot x2,1521467292449609,1521467932616447,All_of_Practice_trial_1,1,0.5120223,0.5976022,1,0.5020622,0.5699528
pilot x2,1521467292466228,1521467932633067,All_of_Practice_trial_1,1,0.5063432,0.5956586,1,0.4986891,0.5743335
pilot x2,1521467292482977,1521467932649817,All_of_Practice_trial_1,1,0.5141166,0.6058079,1,0.5011443,0.5757352
pilot x2,1521467292499604,1521467932666445,All_of_Practice_trial_1,1,0.5105101,0.6023797,1,0.5027418,0.5778089
