subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_adult2,1501686994484788,1501687532188475,All_of_Extend_trial_7,0,NaN,NaN,1,0.2144294,0.5858277
pilot_adult2,1501686994501412,1501687532205101,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994518035,1501687532221725,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994534664,1501687532238356,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994551288,1501687532254982,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994568037,1501687532271733,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994584662,1501687532288359,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994601288,1501687532304987,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994618028,1501687532321729,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994634654,1501687532338356,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994651290,1501687532354994,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994667915,1501687532371621,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994684538,1501687532388245,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994701204,1501687532404913,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994717628,1501687532421339,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994734294,1501687532438006,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994750789,1501687532454503,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994768051,1501687532471767,All_of_Extend_trial_7,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501686994784780,1501687532488497,All_of_Extend_trial_7,1,0.2195406,0.4133644,1,0.2779673,0.4772043
pilot_adult2,1501686994800916,1501687532504635,All_of_Extend_trial_7,1,0.2269998,0.4192343,1,0.2802952,0.459295
pilot_adult2,1501686994818049,1501687532521770,All_of_Extend_trial_7,1,0.2227433,0.4101159,1,0.2818421,0.4604854
pilot_adult2,1501686994834556,1501687532538278,All_of_Extend_trial_7,1,0.2133285,0.4283961,1,0.2461682,0.5000578
pilot_adult2,1501686994851038,1501687532554762,All_of_Extend_trial_7,1,0.2146171,0.4309474,1,0.2527637,0.4916669
pilot_adult2,1501686994867793,1501687532571519,All_of_Extend_trial_7,1,0.2434811,0.4389997,1,0.2704605,0.4931722
pilot_adult2,1501686994884418,1501687532588145,All_of_Extend_trial_7,1,0.3500353,0.456095,1,0.3613342,0.4898352
pilot_adult2,1501686994901050,1501687532604779,All_of_Extend_trial_7,1,0.389497,0.4538038,1,0.3938526,0.4905845
pilot_adult2,1501686994917783,1501687532621514,All_of_Extend_trial_7,1,0.3807161,0.4629092,1,0.3917844,0.4848161
pilot_adult2,1501686994934406,1501687532638138,All_of_Extend_trial_7,1,0.3849459,0.4600078,1,0.4025117,0.4962897
pilot_adult2,1501686994951042,1501687532654776,All_of_Extend_trial_7,1,0.3857608,0.4498491,1,0.3987247,0.4829614
pilot_adult2,1501686994967668,1501687532671404,All_of_Extend_trial_7,1,0.3888133,0.4679254,1,0.3986571,0.4859829
pilot_adult2,1501686994984407,1501687532688145,All_of_Extend_trial_7,1,0.3945167,0.449217,1,0.4023612,0.4898455
pilot_adult2,1501686995000918,1501687532704657,All_of_Extend_trial_7,1,0.3860346,0.4702225,1,0.403723,0.4839104
pilot_adult2,1501686995017658,1501687532721399,All_of_Extend_trial_7,1,0.3939661,0.4580676,1,0.4039758,0.4900465
pilot_adult2,1501686995034294,1501687532738037,All_of_Extend_trial_7,1,0.3855931,0.4605533,1,0.4045111,0.4788113
pilot_adult2,1501686995050920,1501687532754664,All_of_Extend_trial_7,1,0.5094845,0.4273818,1,0.5268511,0.4504528
pilot_adult2,1501686995067660,1501687532771406,All_of_Extend_trial_7,1,0.4948186,0.4463019,1,0.5219374,0.4544291
pilot_adult2,1501686995084295,1501687532788043,All_of_Extend_trial_7,1,0.5095272,0.4388681,1,0.5312513,0.4455313
pilot_adult2,1501686995100921,1501687532804670,All_of_Extend_trial_7,1,0.5122645,0.4382137,1,0.5297998,0.4476322
pilot_adult2,1501686995117544,1501687532821295,All_of_Extend_trial_7,1,0.5144716,0.4265736,1,0.5269428,0.443527
pilot_adult2,1501686995134283,1501687532838036,All_of_Extend_trial_7,1,0.502214,0.4387077,1,0.5310904,0.4484254
pilot_adult2,1501686995150909,1501687532854663,All_of_Extend_trial_7,1,0.5023394,0.4416192,1,0.5301138,0.4478199
pilot_adult2,1501686995167545,1501687532871301,All_of_Extend_trial_7,1,0.5083522,0.4365765,1,0.5288039,0.4566084
pilot_adult2,1501686995184170,1501687532887928,All_of_Extend_trial_7,1,0.5015702,0.4368221,1,0.5319265,0.4545945
pilot_adult2,1501686995200796,1501687532904555,All_of_Extend_trial_7,1,0.4963121,0.4385533,1,0.5339744,0.4573107
pilot_adult2,1501686995217536,1501687532921297,All_of_Extend_trial_7,1,0.5017767,0.4345097,1,0.5368969,0.44508
pilot_adult2,1501686995234161,1501687532937925,All_of_Extend_trial_7,1,0.4988261,0.4321687,1,0.5354415,0.4353963
pilot_adult2,1501686995250797,1501687532954562,All_of_Extend_trial_7,1,0.5031155,0.4333924,1,0.5346139,0.4564126
pilot_adult2,1501686995267422,1501687532971189,All_of_Extend_trial_7,1,0.5006804,0.4331662,1,0.5340688,0.452016
pilot_adult2,1501686995284048,1501687532987817,All_of_Extend_trial_7,1,0.4987074,0.4309568,1,0.5331818,0.4569326
pilot_adult2,1501686995300796,1501687533004566,All_of_Extend_trial_7,1,0.5035107,0.4352535,1,0.5364634,0.4498455
pilot_adult2,1501686995317421,1501687533021193,All_of_Extend_trial_7,1,0.5042682,0.4284517,1,0.534593,0.4498655
pilot_adult2,1501686995334162,1501687533037937,All_of_Extend_trial_7,1,0.497043,0.4344175,1,0.5390704,0.4402123
pilot_adult2,1501686995350672,1501687533054448,All_of_Extend_trial_7,1,0.4989543,0.4412944,1,0.5396872,0.4425687
