subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
pilot_adult2,1501685962310696,1501686499909613,All_of_noBias_trial_1,1,0.5459022,0.4183496,1,0.5271503,0.4122415
pilot_adult2,1501685962327321,1501686499926240,All_of_noBias_trial_1,1,0.535729,0.4229787,1,0.5270588,0.4165928
pilot_adult2,1501685962343954,1501686499942875,All_of_noBias_trial_1,1,0.5355625,0.4234372,1,0.5293621,0.4091993
pilot_adult2,1501685962360569,1501686499959491,All_of_noBias_trial_1,1,0.539108,0.4161839,1,0.5218629,0.3972359
pilot_adult2,1501685962377195,1501686499976119,All_of_noBias_trial_1,1,0.5300475,0.431506,1,0.5256242,0.3727096
pilot_adult2,1501685962393953,1501686499992879,All_of_noBias_trial_1,1,0.5341581,0.4144143,1,0.5308058,0.3979929
pilot_adult2,1501685962410571,1501686500009498,All_of_noBias_trial_1,1,0.5270088,0.4193854,1,0.5338076,0.3901676
pilot_adult2,1501685962427196,1501686500026125,All_of_noBias_trial_1,1,0.5175964,0.4010522,1,0.5275043,0.377426
pilot_adult2,1501685962443822,1501686500042753,All_of_noBias_trial_1,1,0.5311374,0.3955682,1,0.5331787,0.3880501
pilot_adult2,1501685962460572,1501686500059505,All_of_noBias_trial_1,1,0.5360388,0.390559,1,0.5287282,0.3815818
pilot_adult2,1501685962477197,1501686500076131,All_of_noBias_trial_1,1,0.5242909,0.3518451,1,0.532757,0.3734477
pilot_adult2,1501685962493823,1501686500092759,All_of_noBias_trial_1,1,0.5342362,0.357444,1,0.5319391,0.379076
pilot_adult2,1501685962510447,1501686500109385,All_of_noBias_trial_1,1,0.5270417,0.3361915,1,0.5313598,0.3531993
pilot_adult2,1501685962527074,1501686500126013,All_of_noBias_trial_1,1,0.5305799,0.3322894,1,0.5351014,0.3838407
pilot_adult2,1501685962543827,1501686500142768,All_of_noBias_trial_1,1,0.5381423,0.3149852,1,0.527962,0.3508734
pilot_adult2,1501685962560446,1501686500159389,All_of_noBias_trial_1,1,0.5336798,0.2756388,1,0.5386109,0.368261
pilot_adult2,1501685962577073,1501686500176017,All_of_noBias_trial_1,1,0.5316087,0.2491695,1,0.5333031,0.3906633
pilot_adult2,1501685962593826,1501686500192772,All_of_noBias_trial_1,1,0.5236103,0.2342713,1,0.5491728,0.397833
pilot_adult2,1501685962610448,1501686500209396,All_of_noBias_trial_1,1,0.5044299,0.2482723,1,0.5389312,0.3557675
pilot_adult2,1501685962627077,1501686500226026,All_of_noBias_trial_1,1,0.5124013,0.2484919,0,NaN,NaN
pilot_adult2,1501685962643824,1501686500242775,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962660442,1501686500259395,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962677073,1501686500276027,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962693719,1501686500292675,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962710326,1501686500309284,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962726952,1501686500325911,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962743700,1501686500342661,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962760326,1501686500359289,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962776951,1501686500375915,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962793577,1501686500392543,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962810327,1501686500409295,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962826827,1501686500425796,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962844064,1501686500443035,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962860818,1501686500459791,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962877444,1501686500476418,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962893580,1501686500492556,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962910202,1501686500509180,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962926827,1501686500525806,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962943468,1501686500542449,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962960203,1501686500559186,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962976829,1501686500575813,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685962993454,1501686500592440,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963010080,1501686500609068,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963027320,1501686500626309,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963044570,1501686500643561,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963061946,1501686500660939,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963076720,1501686500675714,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963093330,1501686500692326,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963110080,1501686500709078,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963126706,1501686500725705,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963143331,1501686500742332,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963159957,1501686500758960,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963177197,1501686500776201,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963194447,1501686500793453,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963211824,1501686500810832,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963226584,1501686500825593,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963243209,1501686500842220,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963259959,1501686500858972,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963276583,1501686500875597,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963293208,1501686500892224,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963309843,1501686500908861,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963327073,1501686500926092,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963344324,1501686500943345,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963361575,1501686500960598,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963376460,1501686500975484,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963393086,1501686500992112,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963409855,1501686501008883,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963426461,1501686501025490,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963443087,1501686501042118,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963459719,1501686501058752,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963476950,1501686501075984,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963494200,1501686501093236,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963511576,1501686501110614,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963526337,1501686501125376,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963542962,1501686501142003,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
pilot_adult2,1501685963559713,1501686501158756,All_of_noBias_trial_1,0,NaN,NaN,0,NaN,NaN
