subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
child_pilot_03232018_5pm,1521838277751161,1521838920565528,All_of_Main_trial_1,1,0.7983971,0.3489711,1,0.7819949,0.3603508
child_pilot_03232018_5pm,1521838277767784,1521838920582154,All_of_Main_trial_1,1,0.8101521,0.3459323,1,0.7956238,0.3542755
child_pilot_03232018_5pm,1521838277784421,1521838920598792,All_of_Main_trial_1,1,0.8228067,0.3293893,1,0.8192576,0.3266613
child_pilot_03232018_5pm,1521838277801160,1521838920615532,All_of_Main_trial_1,1,0.8264876,0.3245332,1,0.8130928,0.3270807
child_pilot_03232018_5pm,1521838277817811,1521838920632185,All_of_Main_trial_1,1,0.8326741,0.3270606,1,0.8136088,0.3309417
child_pilot_03232018_5pm,1521838277834422,1521838920648797,All_of_Main_trial_1,1,0.83123,0.3187428,1,0.8104661,0.3357306
child_pilot_03232018_5pm,1521838277851048,1521838920665426,All_of_Main_trial_1,1,0.8313774,0.3233518,1,0.8136646,0.3261775
child_pilot_03232018_5pm,1521838277867674,1521838920682053,All_of_Main_trial_1,1,0.8196952,0.3348732,1,0.8090501,0.3288263
child_pilot_03232018_5pm,1521838277884414,1521838920698795,All_of_Main_trial_1,1,0.8295816,0.312936,1,0.8073814,0.3213933
child_pilot_03232018_5pm,1521838277901039,1521838920715421,All_of_Main_trial_1,1,0.8308311,0.3152244,1,0.8165138,0.3341919
child_pilot_03232018_5pm,1521838277917676,1521838920732060,All_of_Main_trial_1,1,0.8277068,0.3173021,1,0.8061519,0.3333661
child_pilot_03232018_5pm,1521838277934302,1521838920748688,All_of_Main_trial_1,1,0.8331182,0.3109626,1,0.8076459,0.3352649
child_pilot_03232018_5pm,1521838277950925,1521838920765312,All_of_Main_trial_1,1,0.8318608,0.3137078,1,0.8061584,0.3334749
child_pilot_03232018_5pm,1521838277967665,1521838920782054,All_of_Main_trial_1,1,0.8320006,0.3259015,1,0.8177838,0.3264233
child_pilot_03232018_5pm,1521838277984301,1521838920798691,All_of_Main_trial_1,1,0.8255053,0.3187597,1,0.811202,0.330953
child_pilot_03232018_5pm,1521838278000925,1521838920815317,All_of_Main_trial_1,1,0.8330496,0.3204793,1,0.8109671,0.32727
child_pilot_03232018_5pm,1521838278017551,1521838920831945,All_of_Main_trial_1,1,0.8351108,0.3135145,1,0.8120171,0.3256085
child_pilot_03232018_5pm,1521838278034177,1521838920848572,All_of_Main_trial_1,1,0.8335525,0.3130088,1,0.8106957,0.3322363
child_pilot_03232018_5pm,1521838278050807,1521838920865204,All_of_Main_trial_1,1,0.8286648,0.3269645,1,0.8057944,0.3273148
child_pilot_03232018_5pm,1521838278067428,1521838920881826,All_of_Main_trial_1,1,0.8485541,0.3251348,1,0.8053957,0.3272262
child_pilot_03232018_5pm,1521838278084055,1521838920898455,All_of_Main_trial_1,1,0.8418238,0.3178867,1,0.8042978,0.3471811
child_pilot_03232018_5pm,1521838278100681,1521838920915083,All_of_Main_trial_1,1,0.838528,0.3161305,1,0.8051354,0.3527529
child_pilot_03232018_5pm,1521838278117432,1521838920931835,All_of_Main_trial_1,1,0.8340424,0.306237,1,0.8021642,0.3508564
child_pilot_03232018_5pm,1521838278134056,1521838920948461,All_of_Main_trial_1,1,0.8467183,0.2966134,1,0.8022503,0.3375197
child_pilot_03232018_5pm,1521838278150695,1521838920965101,All_of_Main_trial_1,1,0.8421234,0.3000692,1,0.8068265,0.3429663
child_pilot_03232018_5pm,1521838278167306,1521838920981714,All_of_Main_trial_1,1,0.8380702,0.3169467,1,0.8075889,0.352814
child_pilot_03232018_5pm,1521838278184057,1521838920998467,All_of_Main_trial_1,1,0.8530916,0.3073651,1,0.8014976,0.3562796
child_pilot_03232018_5pm,1521838278200683,1521838921015094,All_of_Main_trial_1,1,0.8210278,0.3341182,1,0.8090259,0.3406356
child_pilot_03232018_5pm,1521838278217309,1521838921031722,All_of_Main_trial_1,1,0.8279812,0.3165446,1,0.8005249,0.3296689
child_pilot_03232018_5pm,1521838278233934,1521838921048348,All_of_Main_trial_1,1,0.8195138,0.3127338,1,0.8014793,0.3251634
child_pilot_03232018_5pm,1521838278250685,1521838921065102,All_of_Main_trial_1,1,0.8315072,0.3202494,1,0.8070053,0.3311904
child_pilot_03232018_5pm,1521838278267309,1521838921081727,All_of_Main_trial_1,1,0.8332442,0.3135083,1,0.7979453,0.3466099
child_pilot_03232018_5pm,1521838278283935,1521838921098354,All_of_Main_trial_1,0,NaN,NaN,1,0.7546279,0.5277749
child_pilot_03232018_5pm,1521838278300562,1521838921114983,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278317299,1521838921131721,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278333934,1521838921148359,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278350431,1521838921164857,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278367188,1521838921181616,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278383813,1521838921198243,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278400562,1521838921214993,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278417065,1521838921231498,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278433825,1521838921248259,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278450507,1521838921264943,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278467173,1521838921281610,All_of_Main_trial_1,0,NaN,NaN,0,NaN,NaN
child_pilot_03232018_5pm,1521838278483693,1521838921298132,All_of_Main_trial_1,1,0.6184907,0.4156099,1,0.58809,0.3400722
child_pilot_03232018_5pm,1521838278500439,1521838921314880,All_of_Main_trial_1,1,0.6134065,0.4119191,1,0.5913072,0.3059417
child_pilot_03232018_5pm,1521838278517065,1521838921331507,All_of_Main_trial_1,1,0.6261891,0.4076449,1,0.5922918,0.4147556
child_pilot_03232018_5pm,1521838278533816,1521838921348260,All_of_Main_trial_1,1,0.623341,0.4156183,1,0.5791324,0.427069
child_pilot_03232018_5pm,1521838278550451,1521838921364897,All_of_Main_trial_1,1,0.6282938,0.3927604,1,0.5839726,0.4214813
child_pilot_03232018_5pm,1521838278567182,1521838921381629,All_of_Main_trial_1,1,0.6229503,0.4053468,1,0.5926796,0.4255829
child_pilot_03232018_5pm,1521838278583695,1521838921398144,All_of_Main_trial_1,1,0.6155028,0.418062,1,0.5803296,0.4266945
child_pilot_03232018_5pm,1521838278600434,1521838921414884,All_of_Main_trial_1,1,0.6206974,0.4026746,1,0.5891624,0.4220328
child_pilot_03232018_5pm,1521838278617070,1521838921431522,All_of_Main_trial_1,1,0.6198112,0.4148909,1,0.5840325,0.4202581
child_pilot_03232018_5pm,1521838278633695,1521838921448148,All_of_Main_trial_1,1,0.621365,0.4070952,1,0.58161,0.4226418
