subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
warmup_04112018_10am,1523456443947612,1523457093005612,All_of_Main_trial_8,1,0.5087869,0.407746,1,0.4948933,0.4751094
warmup_04112018_10am,1523456443964369,1523457093022371,All_of_Main_trial_8,1,0.5300819,0.4009883,1,0.5177454,0.4575674
warmup_04112018_10am,1523456443980987,1523457093038991,All_of_Main_trial_8,1,0.5295305,0.4023301,1,0.512762,0.4679066
warmup_04112018_10am,1523456443997610,1523457093055616,All_of_Main_trial_8,1,0.5175502,0.3972715,1,0.5076581,0.4634807
warmup_04112018_10am,1523456444014361,1523457093072369,All_of_Main_trial_8,1,0.5290221,0.4133445,1,0.498632,0.472184
warmup_04112018_10am,1523456444030986,1523457093088996,All_of_Main_trial_8,1,0.5241283,0.400705,1,0.5057772,0.4628311
warmup_04112018_10am,1523456444047486,1523457093105498,All_of_Main_trial_8,1,0.5228749,0.3986579,1,0.508373,0.4624172
warmup_04112018_10am,1523456444064236,1523457093122250,All_of_Main_trial_8,1,0.5282494,0.4056991,1,0.5098919,0.4540605
warmup_04112018_10am,1523456444080866,1523457093138882,All_of_Main_trial_8,1,0.5231515,0.4030415,1,0.5062702,0.4559773
warmup_04112018_10am,1523456444097487,1523457093155505,All_of_Main_trial_8,1,0.5279557,0.4005687,1,0.5049726,0.4656828
warmup_04112018_10am,1523456444114112,1523457093172132,All_of_Main_trial_8,1,0.5298216,0.4063965,1,0.5047841,0.4621837
warmup_04112018_10am,1523456444130869,1523457093188891,All_of_Main_trial_8,1,0.5286749,0.3971159,1,0.5121738,0.4495558
warmup_04112018_10am,1523456444147487,1523457093205511,All_of_Main_trial_8,1,0.5294604,0.4083063,1,0.5080562,0.4549546
warmup_04112018_10am,1523456444164117,1523457093222143,All_of_Main_trial_8,1,0.5277849,0.4004521,1,0.5043756,0.4543231
warmup_04112018_10am,1523456444180735,1523457093238763,All_of_Main_trial_8,1,0.5261092,0.4037902,1,0.5041166,0.47072
warmup_04112018_10am,1523456444197360,1523457093255390,All_of_Main_trial_8,1,0.5215775,0.4007625,1,0.5086121,0.4438634
warmup_04112018_10am,1523456444214111,1523457093272144,All_of_Main_trial_8,1,0.5319995,0.4024836,1,0.5075018,0.4514498
warmup_04112018_10am,1523456444230736,1523457093288771,All_of_Main_trial_8,1,0.5309805,0.3952332,1,0.5099134,0.459591
warmup_04112018_10am,1523456444247361,1523457093305398,All_of_Main_trial_8,1,0.5326405,0.3928925,1,0.5055958,0.4536149
warmup_04112018_10am,1523456444264112,1523457093322151,All_of_Main_trial_8,1,0.5304388,0.3971868,1,0.5030757,0.4597
warmup_04112018_10am,1523456444280737,1523457093338778,All_of_Main_trial_8,1,0.5304103,0.3981278,1,0.504926,0.4501356
warmup_04112018_10am,1523456444297362,1523457093355405,All_of_Main_trial_8,1,0.5264634,0.4038815,1,0.5052885,0.4597052
warmup_04112018_10am,1523456444314113,1523457093372158,All_of_Main_trial_8,1,0.5255729,0.4121049,1,0.5041046,0.4683833
warmup_04112018_10am,1523456444330745,1523457093388792,All_of_Main_trial_8,1,0.5276538,0.3992978,1,0.5041951,0.4483013
warmup_04112018_10am,1523456444347363,1523457093405412,All_of_Main_trial_8,1,0.5288632,0.4034867,1,0.5038426,0.4489874
warmup_04112018_10am,1523456444363986,1523457093422037,All_of_Main_trial_8,1,0.531576,0.4107795,1,0.5130805,0.4420922
warmup_04112018_10am,1523456444380611,1523457093438664,All_of_Main_trial_8,1,0.5239972,0.3994136,1,0.5072407,0.4574156
warmup_04112018_10am,1523456444397235,1523457093455290,All_of_Main_trial_8,1,0.5284749,0.4056458,1,0.5059949,0.4575094
warmup_04112018_10am,1523456444413986,1523457093472042,All_of_Main_trial_8,1,0.5281955,0.4041693,1,0.5059221,0.4417762
warmup_04112018_10am,1523456444430612,1523457093488671,All_of_Main_trial_8,1,0.5237786,0.3934888,1,0.5071282,0.4474115
warmup_04112018_10am,1523456444447236,1523457093505297,All_of_Main_trial_8,1,0.5264175,0.4013824,1,0.5028714,0.4502869
warmup_04112018_10am,1523456444463987,1523457093522049,All_of_Main_trial_8,1,0.5226544,0.4028982,1,0.5057231,0.4527285
warmup_04112018_10am,1523456444480487,1523457093538553,All_of_Main_trial_8,1,0.5242155,0.3953681,1,0.5033978,0.4575987
warmup_04112018_10am,1523456444497238,1523457093555305,All_of_Main_trial_8,1,0.5285323,0.4043775,1,0.5023064,0.4597687
warmup_04112018_10am,1523456444513863,1523457093571932,All_of_Main_trial_8,1,0.5154039,0.4036974,1,0.5028374,0.458823
warmup_04112018_10am,1523456444530488,1523457093588560,All_of_Main_trial_8,1,0.5259324,0.4182726,1,0.5108462,0.4597763
warmup_04112018_10am,1523456444547111,1523457093605184,All_of_Main_trial_8,1,0.5255705,0.3958633,1,0.5025696,0.4427652
warmup_04112018_10am,1523456444563862,1523457093621938,All_of_Main_trial_8,1,0.5227947,0.3934046,1,0.5051902,0.4422368
warmup_04112018_10am,1523456444580487,1523457093638564,All_of_Main_trial_8,1,0.5351741,0.3947779,1,0.5041666,0.4590814
warmup_04112018_10am,1523456444597112,1523457093655191,All_of_Main_trial_8,1,0.5292618,0.4030347,1,0.5045345,0.4583782
warmup_04112018_10am,1523456444613861,1523457093671942,All_of_Main_trial_8,1,0.5347268,0.4028486,1,0.5043989,0.4492534
warmup_04112018_10am,1523456444630362,1523457093688445,All_of_Main_trial_8,1,0.5301883,0.4033405,1,0.5059609,0.4472691
warmup_04112018_10am,1523456444647112,1523457093705197,All_of_Main_trial_8,1,0.5263955,0.4006413,1,0.5024783,0.4518639
warmup_04112018_10am,1523456444663737,1523457093721825,All_of_Main_trial_8,1,0.5415708,0.4159506,1,0.5033804,0.4534551
warmup_04112018_10am,1523456444680362,1523457093738451,All_of_Main_trial_8,1,0.5258942,0.4054325,1,0.5007469,0.4586066
warmup_04112018_10am,1523456444696988,1523457093755079,All_of_Main_trial_8,1,0.5312726,0.4109584,1,0.5015704,0.4556234
warmup_04112018_10am,1523456444713738,1523457093771832,All_of_Main_trial_8,1,0.528931,0.4068196,1,0.5023038,0.4531764
warmup_04112018_10am,1523456444730361,1523457093788457,All_of_Main_trial_8,1,0.5280678,0.401114,1,0.5023994,0.4604958
warmup_04112018_10am,1523456444746986,1523457093805084,All_of_Main_trial_8,1,0.5329902,0.4054256,1,0.4996766,0.4635304
