subjectID,system_time_stamp,point_description
100,1501257160626088,Experiment Start
100,1501257163193979,Start_Practice_Trial 
100,1501257163259827,ambigAudio_Practice 
100,1501257165939474,ambigAudio_Practice End 
100,1501257166070764,ambigVideo_Practice 
100,1501257167143182,ambigVideo_Practice 
100,1501257167208601,ambigAudio_Practice_1_ball
100,1501257169845690,ambigAudio_Practice_1_ball End
100,1501257169959461,ambigVideo_Practice_1_ball
100,1501257171226641,ambigVideo_Practice_1_ball End
100,1501257171296969,trainingAudio_Practice_1_ball
100,1501257173959391,trainingAudio_Practice_1_ball
100,1501257174078773,trainingVideo_Practice_1_ball
100,1501257175043793,trainingVideo_Practice_1_ball
100,1501257175103682,trainingAudio_Practice_3_ball
100,1501257177729545,trainingAudio_Practice_3_ball End
100,1501257177844204,trainingVideo_Practice_3_ball
100,1501257179256624,trainingVideo_Practice_3_ball
100,1501257179346949,testAudio_Practice_ball
100,1501257181747198,testAudio_Practice_ball End
100,1501257181852264,left_testVideo_Practice_ball
100,1501257183216795,left_testVideo_Practice_ball End
100,1501257183297437,right_testVideo_Practice_ball
100,1501257186489827,testAudio_Practice_ball
100,1501257188996509,testVideos_Practice_ball
100,1501257192844520,End_Practice_Trial_1 
100,1501257192892478,recenter 
100,1501257195016349,Start_Practice_Trial_2 
100,1501257195020234,ambigAudio_Practice_book
100,1501257197681371,ambigVideo_Practice_book
100,1501257199081262,trainingAudio_Practice_1_book
100,1501257201601857,trainingVideo_Practice_1_book
100,1501257202652908,trainingAudio_Practice_2_book
100,1501257205179313,trainingVideo_Practice_2_book
100,1501257206439330,trainingAudio_Practice_3_book
100,1501257208965404,trainingVideo_Practice_3_book
100,1501257210823083,testAudio_Practice_book
100,1501257213199666,left_testVideo_Practice_book
100,1501257214549701,right_testVideo_Practice_book
100,1501257216311325,testAudio_Practice_book
100,1501257218680460,testVideos_Practice_book
100,1501257223250598,End_Practice_Trial_2 
100,1501257223282150,recenter 
100,1501257225413835,Start_Practice_Trial_3 
100,1501257225416711,ambigAudio_Practice_1_cake
100,1501257228082248,ambigVideo_Practice_1_cake
100,1501257230402181,trainingAudio_Practice_1_cake
100,1501257232995119,trainingVideo_Practice_1_cake
100,1501257234857945,trainingAudio_Practice_1_cake
100,1501257237445756,trainingVideo_Practice_2_cake
100,1501257238823949,trainingAudio_Practice_3_cake
100,1501257241413441,trainingVideo_Practice_3_cake
100,1501257243720774,testAudio_Practice_cake
100,1501257246504516,left_testVideo_Practice_cake
100,1501257248695370,right_testVideo_Practice_cake
100,1501257250950289,testAudio_Practice_cake
100,1501257253730018,testVideos_Practice_cake
100,1501257257563888,End__Practice_Trial_3 
100,1501257257599648,recenter 
100,1501257259031075,Start_Practice_Trial_4 
100,1501257259033358,ambigAudio_Practice_car
100,1501257262336873,ambigVideo_Practice_car
100,1501257263989019,trainingAudio_Practice_1_car
100,1501257267155243,trainingVideo_Practice_1_car
100,1501257268470534,trainingAudio_Practice_2_car
100,1501257271651749,trainingVideo_Practice_2_car
100,1501257273215679,trainingAudio_Practice_3_car
100,1501257276388388,trainingVideo_Practice_3_car
100,1501257278118403,testAudio_Practice_car
100,1501257280980366,left_testVideo_Practice_car
100,1501257282554492,right_testVideo_Practice_car
100,1501257284068369,testAudio_Practice_car
100,1501257286926376,testVideos_Practice_car
100,1501257291284270,End_Practice_Trial_4 
100,1501257291316062,recenter 
100,1501257294979986,Start_noBias_Trial 1
100,1501257295004318,ambigAudio_noBias1
100,1501257298633591,ambigVideo_noBias1
100,1501257299778749,ambigAudio_noBias1
100,1501257302822895,trainingAudio_noBias_1 1
100,1501257306600587,trainingVideo_noBias_1 1
100,1501257307702215,trainingAudio_noBias_1 1
100,1501257312174190,trainingAudio_noBias_2 1
100,1501257315923913,trainingVideo_noBias_21
100,1501257317148341,trainingAudio_noBias_2 1
100,1501257321748091,trainingAudio_noBias_3 1
100,1501257325151978,trainingVideo_noBias_3 1
100,1501257326576150,trainingAudio_noBias_3 1
100,1501257331008394,testAudio_noBias1
100,1501257333321086,left_testVideo_noBias 1
100,1501257334529022,left_testVideo_noBias 1
100,1501257338267172,testVideos_noBias 1
100,1501257342119774,End_NoBias_Trial 1
100,1501257342163728,recenter 1
100,1501257344727873,Start_noBias_Trial 2
100,1501257344740199,ambigAudio_noBias2
100,1501257348462275,ambigVideo_noBias2
100,1501257353842309,ambigAudio_noBias2
100,1501257356519473,trainingAudio_noBias_1 2
100,1501257360506348,trainingVideo_noBias_1 2
100,1501257362046017,trainingAudio_noBias_1 2
100,1501257366744799,trainingAudio_noBias_2 2
100,1501257370393427,trainingVideo_noBias_22
100,1501257371947495,trainingAudio_noBias_2 2
100,1501257376331382,trainingAudio_noBias_3 2
100,1501257379666831,trainingVideo_noBias_3 2
100,1501257381246487,trainingAudio_noBias_3 2
100,1501257385283300,testAudio_noBias2
100,1501257387437587,left_testVideo_noBias 2
100,1501257388930988,right_testVideo_noBias 2
100,1501257392738965,testAudio 2
100,1501257394472679,testVideos 2
100,1501257398455324,End_NoBias_Trial 2
100,1501257398503477,recenter 2
100,1501257401380540,Start_noBias_Trial 3
100,1501257401403675,ambigAudio_noBias3
100,1501257404892254,ambigVideo_noBias3
100,1501257406098722,ambigAudio_noBias3
100,1501257408970881,trainingAudio_noBias_1 3
100,1501257412114100,trainingVideo_noBias_1 3
100,1501257413315231,trainingAudio_noBias_1 3
100,1501257417388557,trainingAudio_noBias_2 3
100,1501257420607510,trainingVideo_noBias_23
100,1501257421690751,trainingAudio_noBias_2 3
100,1501257425805186,trainingAudio_noBias_3 3
100,1501257429332783,trainingVideo_noBias_3 3
100,1501257430586188,trainingAudio_noBias_3 3
100,1501257434993267,testAudio_noBias3
100,1501257437361551,left_testVideo_noBias 3
100,1501257438637628,left_testVideo_noBias 3
100,1501257439799867,testVideos_noBias 3
100,1501257443813255,End_NoBias_Trial 3
100,1501257443857074,recenter 3
100,1501257445708806,Start_noBias_Trial 4
100,1501257445721994,ambigAudio_noBias4
100,1501257449397589,ambigVideo_noBias4
100,1501257450775405,ambigAudio_noBias4
100,1501257453848429,trainingAudio_noBias_1 4
100,1501257457045846,trainingVideo_noBias_1 4
100,1501257458305721,trainingAudio_noBias_1 4
100,1501257462513657,trainingAudio_noBias_2 4
100,1501257466041171,trainingVideo_noBias_24
100,1501257468254039,trainingAudio_noBias_2 4
100,1501257472710501,trainingAudio_noBias_3 4
100,1501257476251519,trainingVideo_noBias_3 4
100,1501257477593295,trainingAudio_noBias_3 4
100,1501257482039523,testAudio_noBias4
100,1501257484667280,left_testVideo_noBias 4
100,1501257486039180,right_testVideo_noBias 4
100,1501257487337177,testAudio 4
100,1501257489207340,testVideos 4
100,1501257493016330,End_NoBias_Trial 4
100,1501257493065013,recenter 4
100,1501257495626902,Start_Trial 5
100,1501257495645802,ambigAudio_Main5
100,1501257500152021,ambigVideo_Main 5
100,1501257501346054,ambigAudio_Main 5
100,1501257504682783,biasAudio_Main5
100,1501257506940152,left_biasVideo_Main 5
100,1501257508374030,right_biasVideo_Main5
100,1501257509497080,audio_biasTest_Main 5
100,1501257511222885,biasTest_Main 5
100,1501257518077148,trainingAudio_1_Main 5
100,1501257521612312,trainingVideo_1_Main 5
100,1501257525170782,trainingAudio_1_Main 5
100,1501257529604385,trainingAudio_2_Main 5
