subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
103,1500488813667981,1500489346529009,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813684647,1500489346545677,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813701258,1500489346562289,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813717924,1500489346578957,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813734516,1500489346595550,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813751182,1500489346612218,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813767743,1500489346628780,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813784359,1500489346645398,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813801609,1500489346662649,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813818989,1500489346680031,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813834988,1500489346696031,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813851654,1500489346712699,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813867946,1500489346728992,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813884612,1500489346745659,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813901112,1500489346762161,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813917778,1500489346778828,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813934326,1500489346795378,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813950992,1500489346812045,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813967616,1500489346828671,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488813984282,1500489346845338,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488814000866,1500489346861924,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488814017492,1500489346878551,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488814034749,1500489346895810,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488814052122,1500489346913184,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488814068121,1500489346929185,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
103,1500488814084787,1500489346945852,All_of_noBias_trial_2,0,NaN,NaN,0,NaN,NaN
