subjectID,trialNo,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,2,1500478940679604,1500479473637460,All_of_Extend_trial_2,1,0.6855101,0.3237525,1,0.6998048,0.4425327
99,2,1500478940696227,1500479473654084,All_of_Extend_trial_2,1,0.6776341,0.3447691,1,0.6805546,0.4443534
99,2,1500478940712861,1500479473670720,All_of_Extend_trial_2,1,0.6787814,0.3419648,1,0.704743,0.4519174
99,2,1500478940729605,1500479473687465,All_of_Extend_trial_2,1,0.6780207,0.3175177,1,0.6855273,0.4561247
99,2,1500478940746231,1500479473704092,All_of_Extend_trial_2,1,0.6741074,0.3335176,1,0.6908617,0.4621576
99,2,1500478940762865,1500479473720727,All_of_Extend_trial_2,1,0.6808271,0.3102353,1,0.6988158,0.4494932
99,2,1500478940779484,1500479473737347,All_of_Extend_trial_2,1,0.6807698,0.317912,1,0.6810738,0.4731912
99,2,1500478940796111,1500479473753975,All_of_Extend_trial_2,1,0.6748381,0.3190825,1,0.7051839,0.4207216
99,2,1500478940812870,1500479473770735,All_of_Extend_trial_2,1,0.6632413,0.3640051,1,0.6809559,0.4709402
99,2,1500478940829488,1500479473787354,All_of_Extend_trial_2,1,0.670994,0.333175,1,0.6907355,0.4664388
99,2,1500478940846114,1500479473803981,All_of_Extend_trial_2,1,0.6592822,0.34019,1,0.6922483,0.452456
99,2,1500478940862741,1500479473820609,All_of_Extend_trial_2,1,0.6820323,0.3399076,1,0.6925753,0.4447481
99,2,1500478940879489,1500479473837358,All_of_Extend_trial_2,1,0.6621668,0.3401268,1,0.6895089,0.4511452
99,2,1500478940896117,1500479473853987,All_of_Extend_trial_2,1,0.6892324,0.3359241,1,0.672962,0.4750882
99,2,1500478940912742,1500479473870614,All_of_Extend_trial_2,1,0.6775979,0.3222921,1,0.6880991,0.4564663
99,2,1500478940929363,1500479473887235,All_of_Extend_trial_2,1,0.6688662,0.3457595,1,0.686043,0.4713544
99,2,1500478940945997,1500479473903871,All_of_Extend_trial_2,1,0.6636379,0.3514092,1,0.685851,0.457952
99,2,1500478940962751,1500479473920626,All_of_Extend_trial_2,1,0.6780709,0.3420761,1,0.6983415,0.4511415
99,2,1500478940979372,1500479473937248,All_of_Extend_trial_2,1,0.6691067,0.3152897,1,0.6914714,0.4687882
99,2,1500478940995999,1500479473953876,All_of_Extend_trial_2,1,0.6778076,0.3614921,1,0.6850969,0.4834989
99,2,1500478941012625,1500479473970503,All_of_Extend_trial_2,1,0.6589476,0.3618204,1,0.689186,0.4682699
99,2,1500478941029376,1500479473987255,All_of_Extend_trial_2,1,0.6687135,0.3838099,1,0.6920864,0.4210995
99,2,1500478941046002,1500479474003882,All_of_Extend_trial_2,1,0.6648571,0.3927647,1,0.6961689,0.4724183
99,2,1500478941062626,1500479474020507,All_of_Extend_trial_2,1,0.6710552,0.3290111,1,0.6866785,0.4724779
99,2,1500478941079253,1500479474037135,All_of_Extend_trial_2,1,0.5726711,0.3620133,1,0.6234245,0.4531796
99,2,1500478941095883,1500479474053766,All_of_Extend_trial_2,1,0.5260028,0.4010564,1,0.5381495,0.4795007
