subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,1500398957011018,1500399489062025,All_of_Practice_1,1,0.4857928,0.6602677,1,0.535307,0.5919893
99,1500398957027768,1500399489078778,All_of_Practice_1,1,0.48803,0.5989015,1,0.5384339,0.600122
99,1500398957044387,1500399489095399,All_of_Practice_1,1,0.4978067,0.6279838,1,0.5378951,0.5927017
99,1500398957061009,1500399489112024,All_of_Practice_1,1,0.4891491,0.6191372,1,0.5310882,0.6093609
99,1500398957077759,1500399489128777,All_of_Practice_1,1,0.4748796,0.6442403,1,0.5498459,0.5800478
99,1500398957094384,1500399489145404,All_of_Practice_1,1,0.4987446,0.6275566,1,0.5375819,0.5727149
99,1500398957111010,1500399489162033,All_of_Practice_1,1,0.4706457,0.6619793,1,0.5560442,0.5701885
99,1500398957127634,1500399489178659,All_of_Practice_1,1,0.4745208,0.5939341,1,0.5603463,0.5647075
99,1500398957144260,1500399489195287,All_of_Practice_1,1,0.5030883,0.5909028,1,0.5545084,0.600379
99,1500398957161009,1500399489212040,All_of_Practice_1,1,0.4809836,0.6770672,1,0.5229532,0.5863057
99,1500398957177626,1500399489228659,All_of_Practice_1,1,0.5065375,0.5848718,1,0.5000079,0.5974814
99,1500398957194260,1500399489245296,All_of_Practice_1,1,0.5152369,0.600922,1,0.546212,0.533707
99,1500398957211001,1500399489262039,All_of_Practice_1,1,0.4957539,0.6449637,1,0.5213022,0.5890934
99,1500398957227632,1500399489278673,All_of_Practice_1,1,0.4894626,0.6713274,1,0.5367887,0.5706536
99,1500398957244132,1500399489295176,All_of_Practice_1,1,0.5052078,0.6052956,1,0.5493906,0.5505958
99,1500398957260882,1500399489311929,All_of_Practice_1,1,0.5063174,0.6331809,1,0.538617,0.5871651
99,1500398957277508,1500399489328557,All_of_Practice_1,1,0.4991625,0.6090452,1,0.5514212,0.554179
99,1500398957294143,1500399489345194,All_of_Practice_1,1,0.5078276,0.6158704,1,0.5392514,0.587276
99,1500398957310758,1500399489361812,All_of_Practice_1,1,0.5392206,0.5154517,1,0.5433888,0.5800797
99,1500398957327388,1500399489378445,All_of_Practice_1,1,0.5291464,0.5757618,1,0.5192423,0.5870221
99,1500398957344133,1500399489395192,All_of_Practice_1,1,0.5374284,0.5767645,1,0.5296034,0.6002587
