subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
106,1500323284345736,1500323816024414,All_of_trial_5,1,0.826233,0.4879757,1,0.8519133,0.5246741
106,1500323284362361,1500323816041041,All_of_trial_5,1,0.8232765,0.490146,1,0.849013,0.5300948
106,1500323284378986,1500323816057668,All_of_trial_5,1,0.8322628,0.4891263,1,0.8538033,0.5305561
106,1500323284395611,1500323816074295,All_of_trial_5,1,0.8294902,0.4857651,1,0.8481468,0.536285
106,1500323284412360,1500323816091047,All_of_trial_5,1,0.8232372,0.4900435,1,0.8492606,0.5282321
106,1500323284428985,1500323816107674,All_of_trial_5,1,0.8292354,0.4837655,1,0.8405428,0.5369256
106,1500323284445607,1500323816124298,All_of_trial_5,1,0.8242539,0.4888806,1,0.8507841,0.5386339
106,1500323284462232,1500323816140925,All_of_trial_5,1,0.8279843,0.4895113,1,0.8470502,0.5454155
106,1500323284478982,1500323816157678,All_of_trial_5,1,0.8277858,0.4862856,1,0.8462302,0.5434176
106,1500323284495607,1500323816174305,All_of_trial_5,1,0.8316008,0.4807186,1,0.8561451,0.5382921
106,1500323284512239,1500323816190939,All_of_trial_5,1,0.8270572,0.4844927,1,0.8544835,0.5393832
106,1500323284528856,1500323816207558,All_of_trial_5,1,0.8270716,0.4888998,1,0.8527203,0.5430124
106,1500323284545481,1500323816224185,All_of_trial_5,1,0.8225286,0.4866361,1,0.8488769,0.5402692
106,1500323284562238,1500323816240945,All_of_trial_5,1,0.8289038,0.4896334,1,0.8501505,0.5405442
106,1500323284578856,1500323816257565,All_of_trial_5,1,0.8264854,0.4953929,1,0.8533384,0.5435704
106,1500323284595481,1500323816274192,All_of_trial_5,1,0.8334173,0.4831796,1,0.8562316,0.5342764
106,1500323284612105,1500323816290818,All_of_trial_5,1,0.8312444,0.4820761,1,0.8483715,0.5407034
106,1500323284628853,1500323816307569,All_of_trial_5,1,0.8237771,0.4935216,1,0.8478454,0.5398594
106,1500323284645478,1500323816324196,All_of_trial_5,1,0.8300177,0.4875367,1,0.8483141,0.5448996
106,1500323284662103,1500323816340823,All_of_trial_5,1,0.8214327,0.4928469,1,0.8501254,0.536404
106,1500323284678727,1500323816357449,All_of_trial_5,1,0.8287943,0.4828928,1,0.8498818,0.5404994
106,1500323284695352,1500323816374077,All_of_trial_5,1,0.8282573,0.4781349,1,0.8529369,0.5356834
