subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
108,1500578728674508,1500579262445391,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728691134,1500579262462018,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728707885,1500579262478770,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728724136,1500579262495023,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728740883,1500579262511771,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728757385,1500579262528274,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728774511,1500579262545402,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728791135,1500579262562027,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728807886,1500579262578779,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728824136,1500579262595031,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728840762,1500579262611658,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728857388,1500579262628286,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728874400,1500579262645299,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728891014,1500579262661915,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728907772,1500579262678674,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728924014,1500579262694917,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728940639,1500579262711544,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728957265,1500579262728171,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728974390,1500579262745298,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578728991015,1500579262761924,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729007641,1500579262778552,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729023892,1500579262794804,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729040642,1500579262811555,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729057143,1500579262828058,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729074144,1500579262845060,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729090893,1500579262861811,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729107642,1500579262878561,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729123767,1500579262894688,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729140518,1500579262911440,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729157144,1500579262928067,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729174145,1500579262945070,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729190770,1500579262961696,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729207522,1500579262978450,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729223772,1500579262994701,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729240397,1500579263011327,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729257211,1500579263028142,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729273877,1500579263044810,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729290771,1500579263061705,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729307022,1500579263077958,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729323898,1500579263094835,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729340524,1500579263111463,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729357400,1500579263128340,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729373525,1500579263144466,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729390650,1500579263161593,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729407276,1500579263178220,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729424027,1500579263194973,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729440277,1500579263211224,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729456911,1500579263227859,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729473526,1500579263244476,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729490527,1500579263261478,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729507153,1500579263278106,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729523904,1500579263294858,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729540154,1500579263311109,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729556910,1500579263327867,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729573406,1500579263344364,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729590531,1500579263361491,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729607156,1500579263378117,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729623910,1500579263394872,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729640157,1500579263411121,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729656780,1500579263427745,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729673281,1500579263444248,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729690418,1500579263461386,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729706791,1500579263477761,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729723783,1500579263494754,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729740034,1500579263511006,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729756659,1500579263527633,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729773160,1500579263544135,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729790286,1500579263561262,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729806911,1500579263577889,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729823662,1500579263594642,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729839917,1500579263610897,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729856536,1500579263627518,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729873162,1500579263644145,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729890287,1500579263661272,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729906787,1500579263677773,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729923538,1500579263694526,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729939796,1500579263710785,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729956789,1500579263727779,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729973165,1500579263744157,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578729990167,1500579263761160,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730006542,1500579263777537,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730023229,1500579263794225,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730039895,1500579263810893,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730056540,1500579263827539,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730073417,1500579263844417,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730089792,1500579263860794,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730106543,1500579263877546,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730122919,1500579263893924,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730140045,1500579263911051,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730156295,1500579263927302,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730172922,1500579263943931,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730189546,1500579263960556,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730206676,1500579263977687,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730223294,1500579263994307,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730240046,1500579264011060,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730256171,1500579264027187,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730272922,1500579264043939,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730289547,1500579264060566,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730306549,1500579264077569,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730323174,1500579264094195,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730340049,1500579264111072,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730356175,1500579264127199,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730372801,1500579264143827,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730389548,1500579264160575,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730406552,1500579264177581,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730422925,1500579264193954,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730439676,1500579264210707,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730456342,1500579264227374,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730472927,1500579264243961,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730489802,1500579264260837,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730506180,1500579264277216,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
108,1500578730522928,1500579264293966,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
