subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
109,1500579432793436,1500579966624709,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432808186,1500579966639461,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432824812,1500579966656088,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432841563,1500579966672841,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432858199,1500579966689478,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432874812,1500579966706092,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432891437,1500579966722719,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432908695,1500579966739978,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432926063,1500579966757348,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432943314,1500579966774600,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432958064,1500579966789351,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432974697,1500579966805986,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579432991441,1500579966822731,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433008077,1500579966839369,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433024696,1500579966855989,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433041318,1500579966872613,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433058566,1500579966889862,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433075942,1500579966907239,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433093192,1500579966924491,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433107943,1500579966939243,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433124568,1500579966955870,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433141319,1500579966972622,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433157955,1500579966989259,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433174570,1500579967005876,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433191196,1500579967022503,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433208446,1500579967039755,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433225828,1500579967057138,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433243070,1500579967074382,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433257821,1500579967089134,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433274445,1500579967105759,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433291198,1500579967122514,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433307843,1500579967139160,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433324448,1500579967155767,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433341074,1500579967172394,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433358326,1500579967189647,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433375703,1500579967207026,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433392951,1500579967224275,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433407702,1500579967239028,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433424325,1500579967255652,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433441075,1500579967272403,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433457712,1500579967289042,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433474327,1500579967305658,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433490952,1500579967322285,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433508204,1500579967339538,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433525579,1500579967356915,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433542829,1500579967374166,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433557580,1500579967388918,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433574216,1500579967405556,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433590957,1500579967422298,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433607591,1500579967438934,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433624205,1500579967455549,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
109,1500579433640831,1500579967472176,All_of_Practice_2,0,NaN,NaN,0,NaN,NaN
