subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Melissa_111,1500660200884626,1500660734644838,All_of_Main_trial_6,1,0.3689246,0.4029618,1,0.3614988,0.3885211
Melissa_111,1500660200901252,1500660734661465,All_of_Main_trial_6,1,0.3606135,0.3815514,1,0.3633554,0.3657585
Melissa_111,1500660200917879,1500660734678092,All_of_Main_trial_6,1,0.377894,0.3123917,1,0.3839864,0.322782
Melissa_111,1500660200934631,1500660734694845,All_of_Main_trial_6,1,0.3739669,0.329778,1,0.3754802,0.3500483
Melissa_111,1500660200951255,1500660734711470,All_of_Main_trial_6,1,0.3723513,0.3331665,1,0.3750574,0.3417169
Melissa_111,1500660200967881,1500660734728096,All_of_Main_trial_6,1,0.3669606,0.3379439,1,0.3732818,0.3245308
Melissa_111,1500660200984508,1500660734744724,All_of_Main_trial_6,1,0.3733236,0.3271309,1,0.3734519,0.3299934
Melissa_111,1500660201001261,1500660734761478,All_of_Main_trial_6,1,0.3716676,0.3409921,1,0.3772686,0.3323701
Melissa_111,1500660201017887,1500660734778105,All_of_Main_trial_6,1,0.3717537,0.3258562,1,0.3758079,0.3399186
Melissa_111,1500660201034513,1500660734794731,All_of_Main_trial_6,1,0.3755027,0.337215,1,0.3786079,0.3294975
Melissa_111,1500660201051139,1500660734811358,All_of_Main_trial_6,1,0.3724441,0.3172813,1,0.3839031,0.352497
Melissa_111,1500660201067765,1500660734827985,All_of_Main_trial_6,1,0.378085,0.3528591,1,0.3794814,0.3261796
Melissa_111,1500660201084517,1500660734844737,All_of_Main_trial_6,1,0.3743523,0.3137053,1,0.3760021,0.3406795
Melissa_111,1500660201101144,1500660734861365,All_of_Main_trial_6,1,0.3678542,0.3358219,1,0.3802267,0.3581901
Melissa_111,1500660201117770,1500660734877992,All_of_Main_trial_6,1,0.3742775,0.3584611,1,0.3800084,0.3574085
Melissa_111,1500660201134394,1500660734894617,All_of_Main_trial_6,1,0.3853114,0.3442478,1,0.3799216,0.337355
Melissa_111,1500660201151146,1500660734911369,All_of_Main_trial_6,1,0.3750058,0.3258146,1,0.385357,0.3640321
Melissa_111,1500660201167773,1500660734927997,All_of_Main_trial_6,1,0.3650166,0.358678,1,0.3796584,0.3535486
Melissa_111,1500660201184400,1500660734944625,All_of_Main_trial_6,1,0.3807472,0.3378052,1,0.3834506,0.3533338
Melissa_111,1500660201201026,1500660734961252,All_of_Main_trial_6,1,0.384753,0.3474895,1,0.3849521,0.3525379
Melissa_111,1500660201217653,1500660734977879,All_of_Main_trial_6,1,0.372494,0.3309827,1,0.3783386,0.3316416
Melissa_111,1500660201234404,1500660734994631,All_of_Main_trial_6,1,0.3745691,0.3837029,1,0.3785016,0.3459231
Melissa_111,1500660201251030,1500660735011258,All_of_Main_trial_6,1,0.4632294,0.3766215,1,0.4685349,0.3555216
Melissa_111,1500660201267657,1500660735027885,All_of_Main_trial_6,1,0.5182146,0.4191096,1,0.5142089,0.4065787
Melissa_111,1500660201284283,1500660735044512,All_of_Main_trial_6,1,0.4954715,0.4138314,1,0.4965777,0.3846877
Melissa_111,1500660201301035,1500660735061265,All_of_Main_trial_6,1,0.5025514,0.4142895,1,0.5047561,0.3964706
Melissa_111,1500660201317660,1500660735077891,All_of_Main_trial_6,1,0.5002784,0.3968043,1,0.4986953,0.3923743
Melissa_111,1500660201334286,1500660735094517,All_of_Main_trial_6,1,0.4951372,0.4138102,1,0.5017349,0.4049618
Melissa_111,1500660201351041,1500660735111273,All_of_Main_trial_6,1,0.501434,0.4042979,1,0.5057545,0.4063759
Melissa_111,1500660201367665,1500660735127898,All_of_Main_trial_6,1,0.5013524,0.408928,1,0.5000296,0.392941
Melissa_111,1500660201384291,1500660735144525,All_of_Main_trial_6,1,0.4971512,0.38707,1,0.5040064,0.3918357
Melissa_111,1500660201400917,1500660735161151,All_of_Main_trial_6,1,0.5029374,0.4005509,1,0.5005293,0.4059011
Melissa_111,1500660201417669,1500660735177904,All_of_Main_trial_6,1,0.5026506,0.4012836,1,0.5023056,0.3887843
Melissa_111,1500660201434296,1500660735194532,All_of_Main_trial_6,1,0.5003688,0.3845217,1,0.5092522,0.4167391
Melissa_111,1500660201450927,1500660735211163,All_of_Main_trial_6,1,0.5077976,0.4205685,1,0.5117898,0.4185491
Melissa_111,1500660201467548,1500660735227785,All_of_Main_trial_6,1,0.5050187,0.4328474,1,0.5104943,0.4172165
Melissa_111,1500660201484174,1500660735244412,All_of_Main_trial_6,1,0.500421,0.42836,1,0.5107443,0.4218075
Melissa_111,1500660201500929,1500660735261168,All_of_Main_trial_6,1,0.5029253,0.4341294,1,0.514493,0.4199101
Melissa_111,1500660201517550,1500660735277789,All_of_Main_trial_6,1,0.5030413,0.4306528,1,0.5133281,0.4228286
Melissa_111,1500660201534177,1500660735294417,All_of_Main_trial_6,1,0.5066553,0.4370251,1,0.5148197,0.4231743
Melissa_111,1500660201550803,1500660735311044,All_of_Main_trial_6,1,0.506043,0.4301037,1,0.5205901,0.4366795
Melissa_111,1500660201567555,1500660735327797,All_of_Main_trial_6,1,0.5046273,0.4292221,1,0.5220142,0.4260799
Melissa_111,1500660201584182,1500660735344424,All_of_Main_trial_6,1,0.5010609,0.4326716,1,0.5173523,0.4331527
Melissa_111,1500660201600808,1500660735361051,All_of_Main_trial_6,1,0.4997698,0.4272606,1,0.5130429,0.4242269
Melissa_111,1500660201617436,1500660735377680,All_of_Main_trial_6,1,0.5061459,0.4326891,1,0.5159543,0.4345486
Melissa_111,1500660201634062,1500660735394306,All_of_Main_trial_6,1,0.5008436,0.4303683,1,0.521952,0.4297672
Melissa_111,1500660201650688,1500660735410933,All_of_Main_trial_6,1,0.497881,0.4344589,1,0.5191277,0.4244893
Melissa_111,1500660201667439,1500660735427685,All_of_Main_trial_6,1,0.5058564,0.4224548,1,0.5106755,0.4374404
Melissa_111,1500660201684064,1500660735444311,All_of_Main_trial_6,1,0.507221,0.4215605,1,0.5170007,0.424367
Melissa_111,1500660201700690,1500660735460937,All_of_Main_trial_6,1,0.5076135,0.4328977,1,0.5203901,0.4241102
Melissa_111,1500660201717317,1500660735477565,All_of_Main_trial_6,1,0.501466,0.4245544,1,0.5260923,0.4266753
Melissa_111,1500660201734068,1500660735494317,All_of_Main_trial_6,1,0.5027573,0.4226145,1,0.5195521,0.4233397
Melissa_111,1500660201750695,1500660735510944,All_of_Main_trial_6,1,0.5079179,0.4241191,1,0.5231725,0.4301471
Melissa_111,1500660201767334,1500660735527584,All_of_Main_trial_6,1,0.5044866,0.4286168,1,0.5273184,0.4487381
Melissa_111,1500660201783948,1500660735544199,All_of_Main_trial_6,1,0.3706669,0.6384558,0,NaN,NaN
Melissa_111,1500660201800575,1500660735560827,All_of_Main_trial_6,0,NaN,NaN,0,NaN,NaN
