subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
Melissa_111,1500659928821188,1500660462569512,All_of_noBias_trial_3,1,0.2832357,0.4049941,1,0.2956057,0.393028
Melissa_111,1500659928837814,1500660462586138,All_of_noBias_trial_3,1,0.2981441,0.4057806,1,0.3149626,0.423842
Melissa_111,1500659928854571,1500660462602896,All_of_noBias_trial_3,1,0.2965294,0.4506962,0,NaN,NaN
Melissa_111,1500659928871192,1500660462619517,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659928887819,1500660462636144,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659928904443,1500660462652769,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659928921071,1500660462669398,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659928937760,1500660462686088,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659928954426,1500660462702754,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659928971063,1500660462719392,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659928987729,1500660462736059,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929004404,1500660462752734,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929021070,1500660462769401,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929037705,1500660462786037,All_of_noBias_trial_3,1,0.3111145,0.3826659,0,NaN,NaN
Melissa_111,1500659929054601,1500660462802934,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929071280,1500660462819612,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929087946,1500660462836279,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929104710,1500660462853044,All_of_noBias_trial_3,1,0.3117129,0.4105844,1,0.3189016,0.4118525
Melissa_111,1500659929120961,1500660462869296,All_of_noBias_trial_3,1,0.3083493,0.3980683,1,0.3151111,0.4188651
Melissa_111,1500659929137596,1500660462885931,All_of_noBias_trial_3,1,0.3082703,0.4014747,1,0.3133101,0.423952
Melissa_111,1500659929154340,1500660462902676,All_of_noBias_trial_3,1,0.309712,0.3928827,1,0.3198019,0.4189638
Melissa_111,1500659929170966,1500660462919303,All_of_noBias_trial_3,1,0.302808,0.4068713,1,0.3163619,0.4234676
Melissa_111,1500659929187600,1500660462935937,All_of_noBias_trial_3,1,0.3078466,0.4107635,1,0.3212901,0.4108126
Melissa_111,1500659929204219,1500660462952557,All_of_noBias_trial_3,1,0.3033787,0.3929937,1,0.3182982,0.421749
Melissa_111,1500659929220969,1500660462969308,All_of_noBias_trial_3,1,0.4210627,0.4368818,1,0.4277791,0.4246666
Melissa_111,1500659929237597,1500660462985937,All_of_noBias_trial_3,1,0.5116099,0.4290228,1,0.5067201,0.3911839
Melissa_111,1500659929254223,1500660463002562,All_of_noBias_trial_3,1,0.4937972,0.4220651,1,0.4942378,0.4036837
Melissa_111,1500659929270847,1500660463019187,All_of_noBias_trial_3,1,0.4939211,0.4326932,1,0.4918104,0.4012785
Melissa_111,1500659929287599,1500660463035940,All_of_noBias_trial_3,1,0.493489,0.4300569,1,0.4884573,0.3918326
Melissa_111,1500659929304226,1500660463052568,All_of_noBias_trial_3,1,0.490407,0.4106224,1,0.4945057,0.389201
Melissa_111,1500659929320852,1500660463069194,All_of_noBias_trial_3,1,0.496753,0.4411812,1,0.4843173,0.4015933
Melissa_111,1500659929337479,1500660463085822,All_of_noBias_trial_3,1,0.5017192,0.4266999,1,0.4931689,0.4161215
Melissa_111,1500659929354106,1500660463102450,All_of_noBias_trial_3,1,0.4953827,0.4287651,1,0.4885255,0.4013668
Melissa_111,1500659929370857,1500660463119201,All_of_noBias_trial_3,1,0.4923077,0.409139,1,0.4898319,0.3948675
Melissa_111,1500659929387484,1500660463135829,All_of_noBias_trial_3,1,0.4927036,0.4281357,1,0.4993869,0.3983542
Melissa_111,1500659929404111,1500660463152457,All_of_noBias_trial_3,1,0.4892055,0.4093493,1,0.4941313,0.4135506
Melissa_111,1500659929420737,1500660463169084,All_of_noBias_trial_3,1,0.4942638,0.4233386,1,0.4988503,0.4114642
Melissa_111,1500659929437488,1500660463185834,All_of_noBias_trial_3,1,0.4976956,0.419394,1,0.5002246,0.4201656
Melissa_111,1500659929454112,1500660463202459,All_of_noBias_trial_3,1,0.4936202,0.4078908,1,0.5027637,0.4163134
Melissa_111,1500659929470739,1500660463219087,All_of_noBias_trial_3,1,0.4905182,0.4370364,1,0.4992459,0.4443314
Melissa_111,1500659929487370,1500660463235718,All_of_noBias_trial_3,1,0.3625759,0.4862607,1,0.4026259,0.4932722
Melissa_111,1500659929504004,1500660463252353,All_of_noBias_trial_3,1,0.2433109,0.6718433,1,0.2705985,0.6830493
Melissa_111,1500659929520744,1500660463269094,All_of_noBias_trial_3,1,0.1263807,0.9261009,1,0.1528879,0.9263629
Melissa_111,1500659929537377,1500660463285728,All_of_noBias_trial_3,1,0.02417803,1.118023,1,0.06578202,1.10592
Melissa_111,1500659929554122,1500660463302473,All_of_noBias_trial_3,1,-0.08537712,1.28691,1,-0.07443275,1.272379
Melissa_111,1500659929570749,1500660463319101,All_of_noBias_trial_3,1,-0.1304476,1.383847,1,-0.1406757,1.396496
Melissa_111,1500659929587380,1500660463335732,All_of_noBias_trial_3,1,-0.2304541,1.50293,1,-0.2355595,1.510601
Melissa_111,1500659929604127,1500660463352480,All_of_noBias_trial_3,1,-0.3328513,1.609755,1,-0.3127639,1.604485
Melissa_111,1500659929620752,1500660463369105,All_of_noBias_trial_3,1,-0.3400716,1.613807,1,-0.3705584,1.657051
Melissa_111,1500659929637379,1500660463385733,All_of_noBias_trial_3,1,-0.3897472,1.668093,1,-0.4000062,1.669987
Melissa_111,1500659929654003,1500660463402358,All_of_noBias_trial_3,1,-0.3626098,1.659685,1,-0.3888666,1.677048
Melissa_111,1500659929670755,1500660463419110,All_of_noBias_trial_3,1,-0.3827293,1.681566,1,-0.4061702,1.693131
Melissa_111,1500659929687382,1500660463435738,All_of_noBias_trial_3,1,-0.3974086,1.707841,1,-0.4043181,1.690986
Melissa_111,1500659929704008,1500660463452365,All_of_noBias_trial_3,1,-0.3700996,1.677605,1,-0.400828,1.676106
Melissa_111,1500659929720635,1500660463468993,All_of_noBias_trial_3,1,-0.3639588,1.683244,1,-0.402708,1.683047
Melissa_111,1500659929737268,1500660463485626,All_of_noBias_trial_3,1,-0.3568402,1.667255,1,-0.3932427,1.674027
Melissa_111,1500659929754014,1500660463502373,All_of_noBias_trial_3,1,-0.3602302,1.657043,1,-0.3917857,1.654786
Melissa_111,1500659929770640,1500660463519000,All_of_noBias_trial_3,1,-0.3802931,1.698227,1,-0.4128133,1.693548
Melissa_111,1500659929787267,1500660463535627,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929803890,1500660463552250,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929820519,1500660463568880,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929837268,1500660463585630,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929853898,1500660463602260,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929870523,1500660463618886,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929887189,1500660463635553,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929903863,1500660463652228,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929920529,1500660463668894,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929937155,1500660463685521,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929953821,1500660463702188,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929970490,1500660463718857,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659929987156,1500660463735524,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930003782,1500660463752151,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930020159,1500660463768529,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930036911,1500660463785281,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930053577,1500660463801948,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930070308,1500660463818680,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930086974,1500660463835347,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930103634,1500660463852007,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930120300,1500660463868674,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930137111,1500660463885486,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930153777,1500660463902152,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930170350,1500660463918726,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930187016,1500660463935393,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930203564,1500660463951942,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930220370,1500660463968748,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930237036,1500660463985415,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930253670,1500660464002050,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930270336,1500660464018717,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930286947,1500660464035328,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930303628,1500660464052010,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930320294,1500660464068677,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930336934,1500660464085317,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930353600,1500660464101984,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930370187,1500660464118572,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930386813,1500660464135199,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930403627,1500660464152013,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
Melissa_111,1500659930420293,1500660464168680,All_of_noBias_trial_3,0,NaN,NaN,0,NaN,NaN
