subjectID,system_time_stamp,point_description
mkdebug_092017_02,1505920926452746,Experiment Start
mkdebug_092017_02,1505920952994266,Start_Practice_Trial 
mkdebug_092017_02,1505920953188579,ambigAudio_Practice 
mkdebug_092017_02,1505920955862078,ambigAudio_Practice End 
mkdebug_092017_02,1505920956018359,ambigVideo_Practice 
mkdebug_092017_02,1505920962923787,ambigVideo_Practice 
mkdebug_092017_02,1505920963283774,ambigAudio_Practice_1_ball
mkdebug_092017_02,1505920965979113,ambigAudio_Practice_1_ball End
mkdebug_092017_02,1505920966131157,ambigVideo_Practice_1_ball
mkdebug_092017_02,1505920972337917,ambigVideo_Practice_1_ball End
mkdebug_092017_02,1505920972619802,trainingAudio_Practice_1_ball
mkdebug_092017_02,1505920975340392,trainingAudio_Practice_1_ball
mkdebug_092017_02,1505920975498219,trainingVideo_Practice_1_ball
mkdebug_092017_02,1505920979202047,trainingVideo_Practice_1_ball
mkdebug_092017_02,1505920979392202,trainingAudio_Practice_3_ball
mkdebug_092017_02,1505920982029249,trainingAudio_Practice_3_ball End
mkdebug_092017_02,1505920982182643,trainingVideo_Practice_3_ball
mkdebug_092017_02,1505920987162222,trainingVideo_Practice_3_ball
mkdebug_092017_02,1505920987464575,testAudio_Practice_ball
mkdebug_092017_02,1505920989920613,testAudio_Practice_ball End
mkdebug_092017_02,1505920990077134,left_testVideo_Practice_ball
mkdebug_092017_02,1505920995313916,left_testVideo_Practice_ball End
mkdebug_092017_02,1505920995566325,right_testVideo_Practice_ball
mkdebug_092017_02,1505920999874447,testAudio_Practice_ball
mkdebug_092017_02,1505921002425717,testVideos_Practice_ball
mkdebug_092017_02,1505921008102600,End_Practice_Trial_1 
mkdebug_092017_02,1505921008183847,recenter 
mkdebug_092017_02,1505921014554527,Start_Practice_Trial_2 
mkdebug_092017_02,1505921014565758,ambigAudio_Practice_book
mkdebug_092017_02,1505921017441733,ambigVideo_Practice_book
mkdebug_092017_02,1505921021246618,trainingAudio_Practice_1_book
mkdebug_092017_02,1505921023784252,trainingVideo_Practice_1_book
mkdebug_092017_02,1505921025298172,trainingAudio_Practice_2_book
mkdebug_092017_02,1505921027830952,trainingVideo_Practice_2_book
mkdebug_092017_02,1505921029447357,trainingAudio_Practice_3_book
mkdebug_092017_02,1505921031978730,trainingVideo_Practice_3_book
mkdebug_092017_02,1505921035142398,testAudio_Practice_book
mkdebug_092017_02,1505921037561120,left_testVideo_Practice_book
mkdebug_092017_02,1505921043096610,right_testVideo_Practice_book
mkdebug_092017_02,1505921048045377,testAudio_Practice_book
mkdebug_092017_02,1505921050428543,testVideos_Practice_book
mkdebug_092017_02,1505921058651683,End_Practice_Trial_2 
mkdebug_092017_02,1505921058708961,recenter 
mkdebug_092017_02,1505921062606098,Start_Practice_Trial_3 
mkdebug_092017_02,1505921062611749,ambigAudio_Practice_1_cake
mkdebug_092017_02,1505921065383369,ambigVideo_Practice_1_cake
mkdebug_092017_02,1505921066880324,trainingAudio_Practice_1_cake
mkdebug_092017_02,1505921069470226,trainingVideo_Practice_1_cake
mkdebug_092017_02,1505921070896362,trainingAudio_Practice_1_cake
