subjectID,system_time_stamp,point_description
mktry2,1513111255081832,Experiment_Start
mktry2,1513111257123872,1_StartTrial
mktry2,1513111257142526,1_Start_ambigAudio_Future
mktry2,1513111260770149,1_Start_ambigVideo
mktry2,1513111266655555,1_Start_ambigAudio_Past
mktry2,1513111270020438,1_Start_lookDifferent
mktry2,1513111270133471,1_Start_Bias_leftVideo
mktry2,1513111276718987,1_Start_Bias_rightVideo
mktry2,1513111283566709,1_Start_Bias_compareVideo_1
mktry2,1513111292210702,1_End_Bias_compareVideo_1
mktry2,1513111293277649,1_Start_Bias_compareVideo_2
mktry2,1513111301927300,1_End_Bias_compareVideo_2
mktry2,1513111303204306,trainingAudio_Main_1_1
mktry2,1513111306597966,trainingVideo_Main_1_1
mktry2,1513111312569939,trainingAudio_Main_1_1
mktry2,1513111316188862,trainingAudio_Main_3_1
mktry2,1513111319470932,trainingVideo_Main_3_1
mktry2,1513111325603543,trainingAudio_Main_3_1
mktry2,1513111329223830,trainingAudio_Main_4_1
mktry2,1513111332364904,trainingVideo_Main_4_1
mktry2,1513111338415189,trainingAudio_Main_4_1
mktry2,1513111341898282,testAudio_Main 1
mktry2,1513111344302663,1_Start_Test_leftVideo
mktry2,1513111350446201,1_Start_Test_rightVideo
mktry2,1513111357460151,1_Start_Test_compareVideo_1
mktry2,1513111366042656,1_End_Test_compareVideo_1
mktry2,1513111367108508,1_Start_Test_compareVideo_2
mktry2,1513111375688764,1_End_Test_compareVideo_2
mktry2,1513111384137643,2_StartTrial
mktry2,1513111384153625,2_Start_ambigAudio_Future
mktry2,1513111387729318,2_Start_ambigVideo
mktry2,1513111393699216,2_Start_ambigAudio_Past
mktry2,1513111396711415,2_Start_lookDifferent
mktry2,1513111396779968,2_Start_Bias_leftVideo
mktry2,1513111403362989,2_Start_Bias_rightVideo
mktry2,1513111410529815,2_Start_Bias_compareVideo_1
mktry2,1513111419254836,2_End_Bias_compareVideo_1
mktry2,1513111420310399,2_Start_Bias_compareVideo_2
mktry2,1513111429056992,2_End_Bias_compareVideo_2
mktry2,1513111430309069,trainingAudio_Main_1_2
mktry2,1513111434153270,trainingVideo_Main_1_2
mktry2,1513111440047523,trainingAudio_Main_1_2
mktry2,1513111444094555,trainingAudio_Main_3_2
mktry2,1513111447567671,trainingVideo_Main_3_2
mktry2,1513111453515002,trainingAudio_Main_3_2
mktry2,1513111457194889,trainingAudio_Main_4_2
mktry2,1513111460335952,trainingVideo_Main_4_2
mktry2,1513111466143240,trainingAudio_Main_4_2
mktry2,1513111469491957,testAudio_Main 2
mktry2,1513111471527624,2_Start_Test_leftVideo
mktry2,1513111477991926,2_Start_Test_rightVideo
mktry2,1513111484974053,2_Start_Test_compareVideo_1
mktry2,1513111493570363,2_End_Test_compareVideo_1
mktry2,1513111494637810,2_Start_Test_compareVideo_2
mktry2,1513111503210791,2_End_Test_compareVideo_2
