subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
newtiming_mkshort2_0301,1519916575175995,1519917211151269,All_of_Practice_trial_1,1,0.5643343,0.4818132,1,0.3955766,0.4132835
newtiming_mkshort2_0301,1519916575192746,1519917211168021,All_of_Practice_trial_1,1,0.5728157,0.4775949,1,0.3994168,0.4096333
newtiming_mkshort2_0301,1519916575209372,1519917211184649,All_of_Practice_trial_1,1,0.563173,0.479957,1,0.3950136,0.4132213
newtiming_mkshort2_0301,1519916575225998,1519917211201276,All_of_Practice_trial_1,1,0.5696284,0.4797418,1,0.401691,0.419282
newtiming_mkshort2_0301,1519916575242624,1519917211217903,All_of_Practice_trial_1,1,0.5795099,0.4785546,1,0.3955044,0.4200859
newtiming_mkshort2_0301,1519916575259375,1519917211234655,All_of_Practice_trial_1,1,0.5639758,0.4897323,1,0.4034006,0.4183646
newtiming_mkshort2_0301,1519916575276001,1519917211251283,All_of_Practice_trial_1,1,0.5636455,0.4737514,1,0.3982535,0.409444
newtiming_mkshort2_0301,1519916575292627,1519917211267910,All_of_Practice_trial_1,1,0.5620663,0.4750478,1,0.4025553,0.4145491
newtiming_mkshort2_0301,1519916575309253,1519917211284537,All_of_Practice_trial_1,1,0.5616885,0.4725776,1,0.4012371,0.40651
newtiming_mkshort2_0301,1519916575325879,1519917211301164,All_of_Practice_trial_1,1,0.5727562,0.4736335,1,0.3958587,0.4106769
newtiming_mkshort2_0301,1519916575342628,1519917211317915,All_of_Practice_trial_1,1,0.562468,0.4975069,1,0.3952859,0.4231903
newtiming_mkshort2_0301,1519916575359254,1519917211334542,All_of_Practice_trial_1,1,0.5682657,0.4629797,1,0.3965331,0.4144608
newtiming_mkshort2_0301,1519916575375893,1519917211351182,All_of_Practice_trial_1,1,0.5600669,0.4804645,1,0.4047705,0.4156576
newtiming_mkshort2_0301,1519916575392506,1519917211367796,All_of_Practice_trial_1,1,0.5694074,0.4853424,1,0.3934838,0.4091829
newtiming_mkshort2_0301,1519916575409257,1519917211384549,All_of_Practice_trial_1,1,0.568948,0.4765845,1,0.3877128,0.4192734
newtiming_mkshort2_0301,1519916575425893,1519917211401186,All_of_Practice_trial_1,1,0.5702662,0.478798,1,0.3980039,0.4212329
newtiming_mkshort2_0301,1519916575442509,1519917211417803,All_of_Practice_trial_1,1,0.564041,0.4801171,1,0.3964037,0.4227768
newtiming_mkshort2_0301,1519916575459135,1519917211434430,All_of_Practice_trial_1,1,0.5756274,0.4750317,1,0.4045066,0.4145162
newtiming_mkshort2_0301,1519916575475761,1519917211451057,All_of_Practice_trial_1,1,0.5619978,0.4725668,1,0.4003885,0.4251571
newtiming_mkshort2_0301,1519916575492513,1519917211467811,All_of_Practice_trial_1,1,0.5700539,0.4754697,1,0.3906251,0.4136432
newtiming_mkshort2_0301,1519916575509139,1519917211484438,All_of_Practice_trial_1,1,0.5642527,0.4685466,1,0.3961552,0.408396
newtiming_mkshort2_0301,1519916575525763,1519917211501063,All_of_Practice_trial_1,1,0.5726052,0.4692005,1,0.390258,0.4205272
newtiming_mkshort2_0301,1519916575542388,1519917211517689,All_of_Practice_trial_1,1,0.5671117,0.4861548,1,0.3973653,0.417477
newtiming_mkshort2_0301,1519916575559140,1519917211534443,All_of_Practice_trial_1,1,0.5689549,0.4776889,1,0.3975968,0.4144226
newtiming_mkshort2_0301,1519916575575766,1519917211551070,All_of_Practice_trial_1,1,0.5747882,0.4752589,1,0.3904081,0.4113715
newtiming_mkshort2_0301,1519916575592392,1519917211567697,All_of_Practice_trial_1,1,0.5694048,0.4826472,1,0.3930991,0.4158275
newtiming_mkshort2_0301,1519916575609017,1519917211584323,All_of_Practice_trial_1,1,0.5690459,0.4801752,1,0.397045,0.4161688
newtiming_mkshort2_0301,1519916575625644,1519917211600952,All_of_Practice_trial_1,1,0.5672894,0.4768978,1,0.3994535,0.4214597
newtiming_mkshort2_0301,1519916575642395,1519917211617704,All_of_Practice_trial_1,1,0.5739434,0.4711444,1,0.3992604,0.4209724
newtiming_mkshort2_0301,1519916575659021,1519917211634331,All_of_Practice_trial_1,1,0.5641371,0.4717331,1,0.3916578,0.4172309
newtiming_mkshort2_0301,1519916575675647,1519917211650958,All_of_Practice_trial_1,1,0.5697528,0.4862542,1,0.3968584,0.419686
newtiming_mkshort2_0301,1519916575692273,1519917211667585,All_of_Practice_trial_1,1,0.5660446,0.4705113,1,0.3920396,0.4130787
newtiming_mkshort2_0301,1519916575709022,1519917211684336,All_of_Practice_trial_1,1,0.5656164,0.476795,1,0.3940095,0.4243318
newtiming_mkshort2_0301,1519916575725648,1519917211700963,All_of_Practice_trial_1,1,0.5747136,0.4710487,1,0.3926719,0.4228476
newtiming_mkshort2_0301,1519916575742274,1519917211717590,All_of_Practice_trial_1,1,0.5672194,0.4715112,1,0.3985346,0.4256661
newtiming_mkshort2_0301,1519916575758900,1519917211734217,All_of_Practice_trial_1,1,0.5659148,0.4776304,1,0.3992205,0.4129835
newtiming_mkshort2_0301,1519916575775658,1519917211750977,All_of_Practice_trial_1,1,0.562668,0.4709089,1,0.3936799,0.4248644
newtiming_mkshort2_0301,1519916575792277,1519917211767597,All_of_Practice_trial_1,1,0.5700395,0.4700956,1,0.3942819,0.4177867
newtiming_mkshort2_0301,1519916575808903,1519917211784224,All_of_Practice_trial_1,1,0.5655995,0.4657939,1,0.3964691,0.4192055
newtiming_mkshort2_0301,1519916575825529,1519917211800851,All_of_Practice_trial_1,1,0.5674536,0.4711259,1,0.3930669,0.4121715
newtiming_mkshort2_0301,1519916575842155,1519917211817479,All_of_Practice_trial_1,1,0.5660015,0.467029,1,0.3996166,0.4242347
newtiming_mkshort2_0301,1519916575858906,1519917211834231,All_of_Practice_trial_1,1,0.5639081,0.4743024,1,0.3906778,0.4222624
newtiming_mkshort2_0301,1519916575875532,1519917211850858,All_of_Practice_trial_1,1,0.561869,0.4665049,1,0.3952982,0.422289
newtiming_mkshort2_0301,1519916575892156,1519917211867483,All_of_Practice_trial_1,1,0.5670993,0.4778968,1,0.3993912,0.4238899
newtiming_mkshort2_0301,1519916575908782,1519917211884110,All_of_Practice_trial_1,1,0.5637375,0.4700663,1,0.3974426,0.4109186
newtiming_mkshort2_0301,1519916575925533,1519917211900863,All_of_Practice_trial_1,1,0.5669675,0.4715632,1,0.3899573,0.4219946
newtiming_mkshort2_0301,1519916575942159,1519917211917490,All_of_Practice_trial_1,1,0.5739111,0.4608329,1,0.3992819,0.4110749
newtiming_mkshort2_0301,1519916575958787,1519917211934119,All_of_Practice_trial_1,1,0.5656549,0.4548106,1,0.4019391,0.4121383
newtiming_mkshort2_0301,1519916575975412,1519917211950745,All_of_Practice_trial_1,1,0.5660908,0.4613068,1,0.4006401,0.4065087
newtiming_mkshort2_0301,1519916575992037,1519917211967372,All_of_Practice_trial_1,1,0.5654255,0.4625224,1,0.3957627,0.4134496
newtiming_mkshort2_0301,1519916576008788,1519917211984124,All_of_Practice_trial_1,1,0.5682082,0.4593901,1,0.4018045,0.4180582
newtiming_mkshort2_0301,1519916576025415,1519917212000752,All_of_Practice_trial_1,1,0.5691472,0.4615869,1,0.4061939,0.4221635
newtiming_mkshort2_0301,1519916576042040,1519917212017378,All_of_Practice_trial_1,1,0.5668482,0.4597193,1,0.3963532,0.4240102
newtiming_mkshort2_0301,1519916576058674,1519917212034014,All_of_Practice_trial_1,1,0.5707899,0.4728557,1,0.402373,0.4024423
newtiming_mkshort2_0301,1519916576075418,1519917212050759,All_of_Practice_trial_1,1,0.5697842,0.4717446,1,0.4022115,0.4171905
newtiming_mkshort2_0301,1519916576092042,1519917212067384,All_of_Practice_trial_1,1,0.567395,0.4643331,1,0.3977474,0.4227475
newtiming_mkshort2_0301,1519916576108667,1519917212084010,All_of_Practice_trial_1,1,0.5621936,0.4572078,1,0.4011496,0.4143398
newtiming_mkshort2_0301,1519916576125299,1519917212100644,All_of_Practice_trial_1,1,0.6874585,0.5528759,1,0.551816,0.5042038
newtiming_mkshort2_0301,1519916576141919,1519917212117265,All_of_Practice_trial_1,1,0.9187047,0.6718399,1,0.7497062,0.6252903
newtiming_mkshort2_0301,1519916576158670,1519917212134017,All_of_Practice_trial_1,1,0.9701673,0.7601909,1,0.7970275,0.7059336
newtiming_mkshort2_0301,1519916576175296,1519917212150644,All_of_Practice_trial_1,1,0.9626573,0.7416541,1,0.7903617,0.6896317
newtiming_mkshort2_0301,1519916576191922,1519917212167271,All_of_Practice_trial_1,1,0.9563779,0.7548789,1,0.7971018,0.6931415
newtiming_mkshort2_0301,1519916576208559,1519917212183910,All_of_Practice_trial_1,1,0.9608469,0.7520023,1,0.7879041,0.6958119
newtiming_mkshort2_0301,1519916576225299,1519917212200651,All_of_Practice_trial_1,1,0.967515,0.7644353,1,0.7947274,0.700912
newtiming_mkshort2_0301,1519916576241926,1519917212217279,All_of_Practice_trial_1,1,0.9692845,0.7539359,1,0.7885078,0.7065678
newtiming_mkshort2_0301,1519916576258549,1519917212233903,All_of_Practice_trial_1,1,0.96615,0.7579898,1,0.7913756,0.7042498
newtiming_mkshort2_0301,1519916576275175,1519917212250531,All_of_Practice_trial_1,1,0.9596647,0.7621157,1,0.7903824,0.6967215
newtiming_mkshort2_0301,1519916576291802,1519917212267159,All_of_Practice_trial_1,1,0.9614613,0.7659267,1,0.8010591,0.7015935
newtiming_mkshort2_0301,1519916576308553,1519917212283911,All_of_Practice_trial_1,1,0.9689634,0.79163,1,0.8144998,0.7273861
newtiming_mkshort2_0301,1519916576325188,1519917212300547,All_of_Practice_trial_1,1,0.9776158,0.8390892,1,0.7933556,0.7708516
newtiming_mkshort2_0301,1519916576341804,1519917212317165,All_of_Practice_trial_1,1,0.9718609,0.8233704,1,0.7980371,0.7561312
newtiming_mkshort2_0301,1519916576358431,1519917212333793,All_of_Practice_trial_1,1,0.9775738,0.8233507,1,0.7997056,0.7670632
newtiming_mkshort2_0301,1519916576375181,1519917212350544,All_of_Practice_trial_1,1,0.9696934,0.8335112,1,0.7964837,0.7695057
newtiming_mkshort2_0301,1519916576391814,1519917212367178,All_of_Practice_trial_1,1,0.9553697,0.8316331,1,0.7917829,0.7697009
newtiming_mkshort2_0301,1519916576408451,1519917212383816,All_of_Practice_trial_1,1,0.9766878,0.8407356,1,0.7952391,0.7627771
newtiming_mkshort2_0301,1519916576425060,1519917212400427,All_of_Practice_trial_1,1,0.988803,0.8290711,1,0.7944541,0.7648837
