subjectID,system_time_stamp,point_description
newtiming_mkshort2_0301,1519917233253245,Experiment_Start
newtiming_mkshort2_0301,1519917237007857,Practice_1_Training_1_audio
newtiming_mkshort2_0301,1519917239635427,Practice_1_Training_1_video
newtiming_mkshort2_0301,1519917242517095,Practice_1_Training_2_audio
newtiming_mkshort2_0301,1519917245155868,Practice_1_Training_2_video
newtiming_mkshort2_0301,1519917246438891,Practice_1_Training_3_audio
newtiming_mkshort2_0301,1519917249072914,Practice_1_Training_3_video
newtiming_mkshort2_0301,1519917253006429,Practice_1_Training_4_audio
newtiming_mkshort2_0301,1519917255637841,Practice_1_Training_4_video
newtiming_mkshort2_0301,1519917259304337,Practice_1_SameVerbTest_audio
newtiming_mkshort2_0301,1519917261726597,Practice_1_SameVerbTest_left_video
newtiming_mkshort2_0301,1519917262979563,Practice_1_SameVerbTest_right_video
newtiming_mkshort2_0301,1519917264136536,Practice_1_SameVerbTest_compareVideo1_start
newtiming_mkshort2_0301,1519917264791011,Practice_1_SameVerbTest_compareVideo1_still
newtiming_mkshort2_0301,1519917267798458,Practice_1_SameVerbTest_compareVideo1_end
newtiming_mkshort2_0301,1519917268036761,Practice_1_SameVerbTest_compareVideo2_start
newtiming_mkshort2_0301,1519917268931491,Practice_1_SameVerbTest_compareVideo2_still
newtiming_mkshort2_0301,1519917271949712,Practice_1_SameVerbTest_compareVideo2_end
newtiming_mkshort2_0301,1519917275227378,Practice_2_Training_1_audio
newtiming_mkshort2_0301,1519917277715272,Practice_2_Training_1_video
newtiming_mkshort2_0301,1519917279495758,Practice_2_Training_2_audio
newtiming_mkshort2_0301,1519917281922328,Practice_2_Training_2_video
newtiming_mkshort2_0301,1519917283136824,Practice_2_Training_3_audio
newtiming_mkshort2_0301,1519917285573913,Practice_2_Training_3_video
newtiming_mkshort2_0301,1519917286994196,Practice_2_Training_4_audio
newtiming_mkshort2_0301,1519917289425719,Practice_2_Training_4_video
newtiming_mkshort2_0301,1519917291026295,Practice_2_SameVerbTest_audio
newtiming_mkshort2_0301,1519917293350979,Practice_2_SameVerbTest_left_video
newtiming_mkshort2_0301,1519917294696910,Practice_2_SameVerbTest_right_video
newtiming_mkshort2_0301,1519917295960140,Practice_2_SameVerbTest_compareVideo1_start
newtiming_mkshort2_0301,1519917297299536,Practice_2_SameVerbTest_compareVideo1_still
newtiming_mkshort2_0301,1519917300307287,Practice_2_SameVerbTest_compareVideo1_end
newtiming_mkshort2_0301,1519917300566464,Practice_2_SameVerbTest_compareVideo2_start
newtiming_mkshort2_0301,1519917305479557,Practice_2_SameVerbTest_compareVideo2_still
newtiming_mkshort2_0301,1519917308488177,Practice_2_SameVerbTest_compareVideo2_end
