subjectID,system_time_stamp,point_description
Lotte_perfect_manner,1509631625338801,Experiment Start
Lotte_perfect_manner,1509631628022841,Start_Practice_Trial 
Lotte_perfect_manner,1509631628153985,ambigAudio_Practice 
Lotte_perfect_manner,1509631630810643,ambigAudio_Practice End 
Lotte_perfect_manner,1509631630958247,ambigVideo_Practice 
Lotte_perfect_manner,1509631636289334,ambigVideo_Practice 
Lotte_perfect_manner,1509631636521748,ambigAudio_Practice_1_ball
Lotte_perfect_manner,1509631639152530,ambigAudio_Practice_1_ball End
Lotte_perfect_manner,1509631639283289,ambigVideo_Practice_1_ball
Lotte_perfect_manner,1509631645423880,ambigVideo_Practice_1_ball End
Lotte_perfect_manner,1509631645703469,trainingAudio_Practice_1_ball
Lotte_perfect_manner,1509631648325508,trainingAudio_Practice_1_ball
Lotte_perfect_manner,1509631648467005,trainingVideo_Practice_1_ball
Lotte_perfect_manner,1509631652095857,trainingVideo_Practice_1_ball
Lotte_perfect_manner,1509631652266067,trainingAudio_Practice_3_ball
Lotte_perfect_manner,1509631654897123,trainingAudio_Practice_3_ball End
Lotte_perfect_manner,1509631655032907,trainingVideo_Practice_3_ball
Lotte_perfect_manner,1509631659962066,trainingVideo_Practice_3_ball
Lotte_perfect_manner,1509631660194029,testAudio_Practice_ball
Lotte_perfect_manner,1509631662642045,testAudio_Practice_ball End
Lotte_perfect_manner,1509631662774461,left_testVideo_Practice_ball
Lotte_perfect_manner,1509631667937880,left_testVideo_Practice_ball End
Lotte_perfect_manner,1509631668167257,right_testVideo_Practice_ball
Lotte_perfect_manner,1509631672358769,testAudio_Practice_ball
Lotte_perfect_manner,1509631674917848,testVideos_Practice_ball
Lotte_perfect_manner,1509631685084421,End_Practice_Trial_1 
Lotte_perfect_manner,1509631685164706,attention grabber start
Lotte_perfect_manner,1509631688896561,Start_Practice_Trial_3 
Lotte_perfect_manner,1509631688903069,ambigAudio_Practice_1_cake
Lotte_perfect_manner,1509631691731622,ambigVideo_Practice_1_cake
Lotte_perfect_manner,1509631696637098,trainingAudio_Practice_1_cake
Lotte_perfect_manner,1509631699251160,trainingVideo_Practice_1_cake
Lotte_perfect_manner,1509631705487912,trainingAudio_Practice_1_cake
Lotte_perfect_manner,1509631708098590,trainingVideo_Practice_2_cake
Lotte_perfect_manner,1509631712818909,trainingAudio_Practice_3_cake
Lotte_perfect_manner,1509631715436604,trainingVideo_Practice_3_cake
Lotte_perfect_manner,1509631720107247,testAudio_Practice_cake
Lotte_perfect_manner,1509631722989313,left_testVideo_Practice_cake
Lotte_perfect_manner,1509631729060177,right_testVideo_Practice_cake
Lotte_perfect_manner,1509631734023388,testAudio_Practice_cake
Lotte_perfect_manner,1509631736819333,testVideos_Practice_cake
Lotte_perfect_manner,1509631748240338,End__Practice_Trial_3 
Lotte_perfect_manner,1509631748295916,attention grabber
Lotte_perfect_manner,1509631751616475,Start_noBias_Trial 1
Lotte_perfect_manner,1509631751632540,ambigAudio_noBias1
Lotte_perfect_manner,1509631754855644,ambigVideo_noBias1
Lotte_perfect_manner,1509631761195930,ambigAudio_noBias1
Lotte_perfect_manner,1509631764224913,trainingAudio_noBias_1 1
Lotte_perfect_manner,1509631767588902,trainingVideo_noBias_1 1
Lotte_perfect_manner,1509631773845844,trainingAudio_noBias_1 1
Lotte_perfect_manner,1509631778216496,trainingAudio_noBias_2 1
Lotte_perfect_manner,1509631781613600,trainingVideo_noBias_21
Lotte_perfect_manner,1509631787909912,trainingAudio_noBias_2 1
Lotte_perfect_manner,1509631792306377,trainingAudio_noBias_3 1
Lotte_perfect_manner,1509631795826353,trainingVideo_noBias_3 1
Lotte_perfect_manner,1509631801574813,trainingAudio_noBias_3 1
Lotte_perfect_manner,1509631806063618,testAudio_noBias1
Lotte_perfect_manner,1509631808477401,left_testVideo_noBias 1
Lotte_perfect_manner,1509631814847913,left_testVideo_noBias 1
Lotte_perfect_manner,1509631821215503,testVideos_noBias 1
Lotte_perfect_manner,1509631836411462,End_NoBias_Trial 1
Lotte_perfect_manner,1509631836487614,recenter 1
Lotte_perfect_manner,1509631840160085,Start_noBias_Trial 2
Lotte_perfect_manner,1509631840173747,ambigAudio_noBias2
Lotte_perfect_manner,1509631843643210,ambigVideo_noBias2
Lotte_perfect_manner,1509631850038579,ambigAudio_noBias2
Lotte_perfect_manner,1509631852911138,trainingAudio_noBias_1 2
Lotte_perfect_manner,1509631856054142,trainingVideo_noBias_1 2
Lotte_perfect_manner,1509631862351366,trainingAudio_noBias_1 2
Lotte_perfect_manner,1509631866438637,trainingAudio_noBias_2 2
Lotte_perfect_manner,1509631869657251,trainingVideo_noBias_22
Lotte_perfect_manner,1509631876027415,trainingAudio_noBias_2 2
Lotte_perfect_manner,1509631880155756,trainingAudio_noBias_3 2
Lotte_perfect_manner,1509631883731884,trainingVideo_noBias_3 2
Lotte_perfect_manner,1509631889897992,trainingAudio_noBias_3 2
Lotte_perfect_manner,1509631894320737,testAudio_noBias2
Lotte_perfect_manner,1509631896714761,left_testVideo_noBias 2
Lotte_perfect_manner,1509631902748418,left_testVideo_noBias 2
Lotte_perfect_manner,1509631908875811,testVideos_noBias 2
Lotte_perfect_manner,1509631923496328,End_NoBias_Trial 2
Lotte_perfect_manner,1509631923574183,recenter 2
Lotte_perfect_manner,1509631927568153,Start_noBias_Trial 3
Lotte_perfect_manner,1509631927580981,ambigAudio_noBias3
Lotte_perfect_manner,1509631931200563,ambigVideo_noBias3
Lotte_perfect_manner,1509631937452465,ambigAudio_noBias3
Lotte_perfect_manner,1509631940317852,trainingAudio_noBias_1 3
Lotte_perfect_manner,1509631944107442,trainingVideo_noBias_1 3
Lotte_perfect_manner,1509631950274004,trainingAudio_noBias_1 3
Lotte_perfect_manner,1509631954750128,trainingAudio_noBias_2 3
Lotte_perfect_manner,1509631958461389,trainingVideo_noBias_23
Lotte_perfect_manner,1509631964748192,trainingAudio_noBias_2 3
Lotte_perfect_manner,1509631969363833,trainingAudio_noBias_3 3
Lotte_perfect_manner,1509631972845142,trainingVideo_noBias_3 3
Lotte_perfect_manner,1509631979143191,trainingAudio_noBias_3 3
Lotte_perfect_manner,1509631983440455,testAudio_noBias3
Lotte_perfect_manner,1509631985753731,left_testVideo_noBias 3
Lotte_perfect_manner,1509631991325275,left_testVideo_noBias 3
Lotte_perfect_manner,1509631997451240,testVideos_noBias 3
Lotte_perfect_manner,1509632012065515,End_NoBias_Trial 3
Lotte_perfect_manner,1509632012135425,recenter 3
Lotte_perfect_manner,1509632015848618,Start_noBias_Trial 4
Lotte_perfect_manner,1509632015870176,ambigAudio_noBias4
Lotte_perfect_manner,1509632020352162,ambigVideo_noBias4
Lotte_perfect_manner,1509632026627041,ambigAudio_noBias4
Lotte_perfect_manner,1509632030077016,trainingAudio_noBias_1 4
Lotte_perfect_manner,1509632033618518,trainingVideo_noBias_1 4
Lotte_perfect_manner,1509632039891878,trainingAudio_noBias_1 4
Lotte_perfect_manner,1509632044272370,trainingAudio_noBias_2 4
Lotte_perfect_manner,1509632047802047,trainingVideo_noBias_24
Lotte_perfect_manner,1509632054172007,trainingAudio_noBias_2 4
Lotte_perfect_manner,1509632058627874,trainingAudio_noBias_3 4
Lotte_perfect_manner,1509632062461460,trainingVideo_noBias_3 4
Lotte_perfect_manner,1509632068664277,trainingAudio_noBias_3 4
Lotte_perfect_manner,1509632073170061,testAudio_noBias4
Lotte_perfect_manner,1509632075444399,left_testVideo_noBias 4
Lotte_perfect_manner,1509632081465494,left_testVideo_noBias 4
Lotte_perfect_manner,1509632087757107,testVideos_noBias 4
Lotte_perfect_manner,1509632102725037,End_NoBias_Trial 4
Lotte_perfect_manner,1509632102796874,recenter 4
Lotte_perfect_manner,1509632106628742,Start_Trial 5
Lotte_perfect_manner,1509632106644378,ambigAudio_Main5
Lotte_perfect_manner,1509632110399130,ambigVideo_Main 5
Lotte_perfect_manner,1509632116449287,ambigAudio_Main 5
Lotte_perfect_manner,1509632119466077,biasAudio_Main5
Lotte_perfect_manner,1509632121980970,left_biasVideo_Main 5
Lotte_perfect_manner,1509632127954265,right_biasVideo_Main 5
Lotte_perfect_manner,1509632134185799,audio_biasTest_Main 5
Lotte_perfect_manner,1509632136021056,biasTest_Main 5
Lotte_perfect_manner,1509632152908361,trainingAudio_1_Main 5
Lotte_perfect_manner,1509632156468061,trainingVideo_1_Main 5
Lotte_perfect_manner,1509632162661778,trainingAudio_1_Main 5
Lotte_perfect_manner,1509632167001030,trainingAudio_2_Main 5
Lotte_perfect_manner,1509632170480540,trainingVideo_2_Main 5
Lotte_perfect_manner,1509632176849048,trainingAudio_2_Main 5
Lotte_perfect_manner,1509632181147526,trainingAudio_3_Main 5
Lotte_perfect_manner,1509632184490922,trainingVideo_3_Main 5
Lotte_perfect_manner,1509632190784736,trainingAudio_3_Main 5
Lotte_perfect_manner,1509632194958823,testAudio_Main 5
Lotte_perfect_manner,1509632197510351,left_testVideo_Main 5
Lotte_perfect_manner,1509632203384876,right_testVideo_Main 5
Lotte_perfect_manner,1509632209610527,testAudio_Main 5
Lotte_perfect_manner,1509632211472523,testVideos_Main 5
Lotte_perfect_manner,1509632226276891,End_Trial_Main 5
Lotte_perfect_manner,1509632226370576,recenter 5
Lotte_perfect_manner,1509632230856925,Start_Trial 6
Lotte_perfect_manner,1509632230871788,ambigAudio_Main6
Lotte_perfect_manner,1509632234419558,ambigVideo_Main 6
Lotte_perfect_manner,1509632240623075,ambigAudio_Main 6
Lotte_perfect_manner,1509632243569502,biasAudio_Main6
Lotte_perfect_manner,1509632245958438,left_biasVideo_Main 6
Lotte_perfect_manner,1509632252062050,right_biasVideo_Main 6
Lotte_perfect_manner,1509632258089580,audio_biasTest_Main 6
Lotte_perfect_manner,1509632259758232,biasTest_Main 6
Lotte_perfect_manner,1509632276239206,trainingAudio_1_Main 6
Lotte_perfect_manner,1509632279340074,trainingVideo_1_Main 6
Lotte_perfect_manner,1509632285403594,trainingAudio_1_Main 6
Lotte_perfect_manner,1509632289600646,trainingAudio_2_Main 6
Lotte_perfect_manner,1509632293175027,trainingVideo_2_Main 6
Lotte_perfect_manner,1509632299500416,trainingAudio_2_Main 6
Lotte_perfect_manner,1509632303698962,trainingAudio_3_Main 6
Lotte_perfect_manner,1509632307073866,trainingVideo_3_Main 6
Lotte_perfect_manner,1509632313420727,trainingAudio_3_Main 6
Lotte_perfect_manner,1509632317598920,testAudio_Main 6
Lotte_perfect_manner,1509632320023673,left_testVideo_Main 6
Lotte_perfect_manner,1509632326199848,right_testVideo_Main 6
Lotte_perfect_manner,1509632332378045,testAudio_Main 6
Lotte_perfect_manner,1509632334048871,testVideos_Main 6
Lotte_perfect_manner,1509632348851970,End_Trial_Main 6
Lotte_perfect_manner,1509632348939031,recenter 6
Lotte_perfect_manner,1509632353947998,Start_Trial 7
Lotte_perfect_manner,1509632353966999,ambigAudio_Main7
Lotte_perfect_manner,1509632357638998,ambigVideo_Main 7
Lotte_perfect_manner,1509632363810424,ambigAudio_Main 7
Lotte_perfect_manner,1509632366930156,biasAudio_Main7
Lotte_perfect_manner,1509632369543070,left_biasVideo_Main 7
Lotte_perfect_manner,1509632374729856,right_biasVideo_Main 7
Lotte_perfect_manner,1509632380588917,audio_biasTest_Main 7
Lotte_perfect_manner,1509632382461381,biasTest_Main 7
Lotte_perfect_manner,1509632398462204,trainingAudio_1_Main 7
Lotte_perfect_manner,1509632401734714,trainingVideo_1_Main 7
Lotte_perfect_manner,1509632407749171,trainingAudio_1_Main 7
Lotte_perfect_manner,1509632411930959,trainingAudio_2_Main 7
Lotte_perfect_manner,1509632415456551,trainingVideo_2_Main 7
Lotte_perfect_manner,1509632421378975,trainingAudio_2_Main 7
Lotte_perfect_manner,1509632425875724,trainingAudio_3_Main 7
Lotte_perfect_manner,1509632429430209,trainingVideo_3_Main 7
Lotte_perfect_manner,1509632435309293,trainingAudio_3_Main 7
Lotte_perfect_manner,1509632439790422,testAudio_Main 7
Lotte_perfect_manner,1509632442389559,left_testVideo_Main 7
Lotte_perfect_manner,1509632447840756,right_testVideo_Main 7
Lotte_perfect_manner,1509632454086877,testAudio_Main 7
Lotte_perfect_manner,1509632455956393,testVideos_Main 7
